,Type,Name,bhandhlyp-d3bj-DFT-forward,REF-forward,bhandhlyp-d3bj-DELTA-forward,bhandhlyp-d3bj-DFT-reverse,REF-reverse,bhandhlyp-d3bj-DELTA-reverse,bhandhlyp-d3bj-DFT-reaction,REF-reaction,bhandhlyp-d3bj-DELTA-reaction,cam-b3lyp-d3bj-DFT-forward,cam-b3lyp-d3bj-DELTA-forward,cam-b3lyp-d3bj-DFT-reverse,cam-b3lyp-d3bj-DELTA-reverse,cam-b3lyp-d3bj-DFT-reaction,cam-b3lyp-d3bj-DELTA-reaction,blyp-d3bj-DFT-forward,blyp-d3bj-DELTA-forward,blyp-d3bj-DFT-reverse,blyp-d3bj-DELTA-reverse,blyp-d3bj-DFT-reaction,blyp-d3bj-DELTA-reaction,b3lyp-d3bj-DFT-forward,b3lyp-d3bj-DELTA-forward,b3lyp-d3bj-DFT-reverse,b3lyp-d3bj-DELTA-reverse,b3lyp-d3bj-DFT-reaction,b3lyp-d3bj-DELTA-reaction,Range_DFT_forward,Std_DFT_forward,Range_DFT_reverse,Std_DFT_reverse,Range_DFT_reaction,Std_DFT_reaction
0,Diels-Alder,02_1,10.89,8.1,2.79,43.835,43.77,0.065,-32.945,-35.66,2.715,9.185,1.085,41.368,-2.402,-32.183,3.477,1.09,-7.01,19.735,-24.035,-18.645,17.015,4.266,-3.834,29.987,-13.783,-25.721,9.939,9.8,4.496637289871918,24.1,11.110357581254231,14.3,6.660589838745515
1,Diels-Alder,02_2,11.885,8.85,3.035,43.716,43.49,0.226,-31.831,-34.63,2.799,10.249,1.399,41.296,-2.194,-31.046,3.584,2.141,-6.709,19.628,-23.862,-17.487,17.143,5.297,-3.553,29.877,-13.613,-24.58,10.05,9.744,4.483730589587203,24.088,11.115094282850986,14.344000000000001,6.6765126126344345
2,Diels-Alder,02_3,14.134,11.45,2.684,48.825,47.83,0.995,-34.691,-36.38,1.689,12.084,0.634,46.111,-1.719,-34.027,2.353,2.876,-8.574,24.874,-22.956,-21.998,14.382,6.676,-4.774,35.207,-12.623,-28.531,7.849,11.258000000000001,5.1238051940590665,23.951000000000004,10.966404739779883,12.693000000000001,5.895490444681709
3,Diels-Alder,02_4,12.271,10.15,2.121,47.525,47.06,0.465,-35.254,-36.92,1.666,10.205,0.055,45.005,-2.055,-34.799,2.121,1.103,-9.047,24.084,-22.976,-22.981,13.939,4.894,-5.256,34.236,-12.824,-29.342,7.578,11.168000000000001,5.07311143021059,23.441,10.75930259511895,12.272999999999996,5.742325254923594
4,Diels-Alder,02_5,31.049,26.57,4.479,100.799,93.72,7.079,-69.75,-67.15,-2.6,28.245,1.675,96.365,2.645,-68.119,-0.969,20.208,-6.362,79.742,-13.978,-59.534,7.616,24.177,-2.393,89.306,-4.414,-65.129,2.021,10.841000000000001,4.73910184001146,21.057000000000002,9.186812831444865,10.216000000000001,4.493762417692625
5,Diels-Alder,02_6,32.026,26.77,5.256,68.789,62.05,6.739,-36.763,-35.27,-1.493,29.208,2.438,64.747,2.697,-35.539,-0.269,21.078,-5.692,48.161,-13.889,-27.083,8.187,25.026,-1.744,57.208,-4.842,-32.182,3.088,10.948000000000004,4.795593081152738,20.628,9.081812571471255,9.68,4.329735586614961
6,Diels-Alder,02_7,23.301,19.07,4.231,38.367,39.4,-1.033,-15.067,-20.32,5.253,21.589,2.519,37.294,-2.106,-15.706,4.614,10.942,-8.128,12.664,-26.736,-1.722,18.598,15.08,-3.99,23.549,-15.851,-8.469,11.851,12.358999999999998,5.745356095723454,25.702999999999996,12.231836234460738,13.984,6.554129639649596
7,Diels-Alder,02_8,15.627,12.2,3.427,33.568,36.77,-3.202,-17.941,-24.57,6.629,14.729,2.529,32.669,-4.101,-17.94,6.63,8.758,-3.442,15.036,-21.734,-6.278,18.292,10.941,-1.259,23.214,-13.556,-12.274,12.296,6.8690000000000015,3.223810310279851,18.531999999999996,8.749513981740167,11.663,5.569247966886254
8,Diels-Alder,02_9,22.331,17.83,4.501,48.012,47.85,0.162,-25.68,-30.02,4.34,20.767,2.937,46.062,-1.788,-25.294,4.726,12.278,-5.552,25.723,-22.127,-13.445,16.575,15.66,-2.17,35.412,-12.438,-19.752,10.268,10.052999999999999,4.633156231627276,22.289,10.329311702625688,12.235,5.743664763604041
9,Diels-Alder,02_10,24.197,19.75,4.447,51.187,50.92,0.267,-26.99,-31.17,4.18,22.456,2.706,49.404,-1.516,-26.948,4.222,14.692,-5.058,28.825,-22.095,-14.133,17.037,17.8,-1.95,38.593,-12.327,-20.793,10.377,9.504999999999999,4.33892662417792,22.362,10.39885312185916,12.857,6.12488688330922
10,Diels-Alder,02_11,28.536,23.08,5.456,46.73,45.7,1.03,-18.194,-22.62,4.426,26.377,3.297,44.559,-1.141,-18.181,4.439,18.937,-4.143,25.22,-20.48,-6.284,16.336,21.994,-1.086,34.49,-11.21,-12.496,10.124,9.599,4.315759724544451,21.509999999999998,9.91011908354284,11.91,5.677163691786008
11,Diels-Alder,02_12,29.527,24.51,5.017,45.676,44.87,0.806,-16.148,-20.36,4.212,27.576,3.066,43.894,-0.976,-16.318,4.042,20.21,-4.3,24.482,-20.388,-4.272,16.088,23.223,-1.287,33.636,-11.234,-10.413,9.947,9.317,4.209493635422991,21.194000000000003,9.845349088105849,12.046000000000001,5.712891292215061
12,Diels-Alder,02_13,29.612,24.9,4.712,61.855,60.92,0.935,-32.243,-36.03,3.787,27.853,2.953,59.373,-1.547,-31.52,4.51,20.435,-4.465,39.754,-21.166,-19.319,16.711,23.552,-1.348,49.395,-11.525,-25.842,10.188,9.177,4.156080124347942,22.101,10.113030583526054,12.924000000000003,6.001242371376114
13,Diels-Alder,02_14,26.803,21.97,4.833,61.761,60.48,1.281,-34.959,-38.51,3.551,24.986,3.016,59.31,-1.17,-34.323,4.187,17.714,-4.256,39.453,-21.027,-21.738,16.772,20.751,-1.219,49.187,-11.293,-28.436,10.074,9.089000000000002,4.1087172775291645,22.308,10.21961380141148,13.221000000000004,6.162055014360065
14,Diels-Alder,02_15,29.691,25.29,4.401,61.248,60.68,0.568,-31.558,-35.39,3.832,27.974,2.684,58.513,-2.167,-30.539,4.851,19.465,-5.825,37.522,-23.158,-18.058,17.332,22.833,-2.457,47.81,-12.87,-24.977,10.413,10.225999999999999,4.696875867708946,23.726,10.847435868290102,13.5,6.199339265868043
15,Diels-Alder,02_16,28.058,23.43,4.628,52.983,53.32,-0.337,-24.925,-29.89,4.965,26.648,3.218,50.972,-2.348,-24.323,5.567,20.065,-3.365,31.074,-22.246,-11.009,18.881,22.619,-0.811,40.607,-12.713,-17.988,11.902,7.9929999999999986,3.6691338214897526,21.908999999999995,10.130216746611758,13.916,6.507948287799056
