,Name,bhandhlyp-d3bj-DFT-forward,bhandhlyp-d3bj-DFT-reverse,bhandhlyp-d3bj-DFT-reaction,cam-b3lyp-DFT-forward,cam-b3lyp-DFT-reverse,cam-b3lyp-DFT-reaction,cam-b3lyp-d3bj-DFT-forward,cam-b3lyp-d3bj-DFT-reverse,cam-b3lyp-d3bj-DFT-reaction,blyp-DFT-forward,blyp-DFT-reverse,blyp-DFT-reaction,b3lyp-DFT-forward,b3lyp-DFT-reverse,b3lyp-DFT-reaction,bhandhlyp-DFT-forward,bhandhlyp-DFT-reverse,bhandhlyp-DFT-reaction,blyp-d3bj-DFT-forward,blyp-d3bj-DFT-reverse,blyp-d3bj-DFT-reaction,b3lyp-d3bj-DFT-forward,b3lyp-d3bj-DFT-reverse,b3lyp-d3bj-DFT-reaction,Range_DFT_forward,Std_DFT_forward,Range_DFT_reverse,Std_DFT_reverse,Range_DFT_reaction,Std_DFT_reaction
0,rxn_33,15.894,55.638,-39.744,26.932,55.317,-28.386,14.403,53.477,-39.073,30.678,34.811,-4.133,29.718,44.741,-15.022,31.585,57.864,-26.28,6.433,31.339,-24.906,9.492,41.843,-32.351,25.152,10.212703761737144,26.525,10.20633079094959,35.611,11.9841418601834
1,rxn_53,25.115,60.042,-34.927,34.926,59.395,-24.47,23.18,57.898,-34.718,37.707,38.983,-1.276,37.308,48.833,-11.524,39.94,61.925,-21.985,14.729,36.025,-21.296,18.166,46.374,-28.207,25.211,9.779939605970407,25.9,10.097061410380746,33.650999999999996,11.417326393781641
2,rxn_83,14.322,49.607,-35.285,23.737,48.589,-24.852,12.31,46.995,-34.685,26.285,28.56,-2.274,25.949,38.331,-12.382,28.845,51.775,-22.93,3.737,25.106,-21.369,7.176,35.482,-28.307,25.107999999999997,9.625228449051408,26.668999999999997,10.191586080649355,33.010999999999996,11.107074849585093
3,rxn_216,17.137,47.538,-30.4,27.282,49.034,-21.752,15.575,44.278,-28.703,31.028,31.273,-0.245,29.915,40.166,-10.251,31.698,52.942,-21.244,8.519,22.974,-14.454,11.134,33.194,-22.06,23.179000000000002,9.480182939765907,29.968,10.256572769797074,30.154999999999998,9.957030939240875
4,rxn_310,15.996,55.206,-39.21,25.128,54.813,-29.685,14.6,53.115,-38.515,27.887,33.731,-5.844,27.297,43.773,-16.476,29.474,57.188,-27.713,6.997,30.677,-23.68,9.908,41.215,-31.308,22.477,8.837440489797613,26.511000000000003,10.358043648019915,33.366,11.184918895388941
5,rxn_365,31.855,64.729,-32.874,39.459,63.318,-23.859,29.447,62.545,-33.098,39.129,41.534,-2.405,40.159,52.071,-11.911,44.525,65.485,-20.96,19.5,40.427,-20.927,23.796,51.12,-27.324,25.025,8.802488004617135,25.058,10.336170442224446,30.692999999999998,10.421973294781697
6,rxn_632,17.219,56.386,-39.167,28.441,56.546,-28.105,15.701,53.99,-38.289,32.043,37.467,-5.424,31.174,46.762,-15.588,33.201,59.486,-26.285,7.309,32.657,-25.348,10.549,42.741,-32.193,25.892,10.429647164796268,26.829,9.900874549214617,33.743,11.33100760161501
7,rxn_721,20.873,59.636,-38.764,27.622,59.156,-31.534,19.146,57.893,-38.747,27.966,38.697,-10.731,28.497,48.609,-20.111,32.012,61.331,-29.319,10.607,36.028,-25.421,14.095,46.402,-32.307,21.405,7.6387589820411455,25.303000000000004,9.98369550817732,28.033,9.488118506095626
8,rxn_745,26.993,30.026,-3.033,32.362,28.241,4.121,25.551,27.665,-2.114,35.383,13.402,21.981,34.601,20.636,13.964,35.965,30.644,5.321,21.393,12.449,8.944,22.989,19.834,3.155,14.572000000000003,5.861991468958554,18.195,7.328329558978635,25.014000000000003,8.320793402031187
9,rxn_751,9.661,21.163,-11.501,16.727,19.127,-2.4,9.459,19.18,-9.721,19.83,3.834,15.996,18.64,11.11,7.53,19.172,20.788,-1.616,5.039,4.455,0.584,6.354,11.597,-5.243,14.790999999999999,6.112981637466286,17.329,7.161559761273078,27.497,9.027510445260404
10,rxn_769,28.937,31.687,-2.75,36.59,29.651,6.938,27.945,29.267,-1.322,39.691,13.666,26.025,38.763,21.262,17.501,40.133,32.096,8.037,22.247,13.021,9.226,24.272,20.723,3.549,17.886000000000003,7.289333356742186,19.074999999999996,7.836056806063693,28.775,9.552802864679485
11,rxn_839,25.282,34.031,-8.749,29.09,31.291,-2.201,24.201,30.932,-6.731,31.863,17.075,14.788,31.047,24.268,6.779,32.167,34.419,-2.252,21.008,16.465,4.542,22.093,23.757,-1.665,11.159000000000002,4.500652411039982,17.953999999999997,7.211632166160444,23.537,7.720708709836349
12,rxn_853,28.929,32.96,-4.031,34.128,30.723,3.405,27.288,30.385,-3.098,37.818,16.562,21.256,36.819,23.553,13.266,37.884,33.333,4.551,23.888,15.985,7.903,25.245,23.068,2.177,13.995999999999999,5.822239123457081,17.348,7.045302131562563,25.287,8.41069867893608
13,rxn_942,30.543,48.474,-17.93,33.536,45.244,-11.708,28.775,44.526,-15.752,34.427,29.954,4.473,34.728,37.988,-3.26,37.128,49.237,-12.109,24.1,28.787,-4.687,26.189,37.002,-10.814,13.027999999999999,4.555796990021144,20.450000000000003,7.969773898925866,22.403,7.355170891236023
14,rxn_971,29.403,43.6,-14.197,32.685,40.251,-7.565,27.919,39.673,-11.754,35.036,25.139,9.897,34.626,33.086,1.54,36.231,44.241,-8.01,24.227,24.145,0.082,25.722,32.252,-6.53,12.004000000000001,4.548707679503205,20.096,7.87708281640028,24.094,7.902996148613511
15,rxn_1000,37.956,37.784,0.172,44.777,34.632,10.145,36.2,34.571,1.629,48.627,19.783,28.844,47.749,27.221,20.528,48.954,37.575,11.379,31.568,20.177,11.391,33.536,27.514,6.022,17.386,7.151405904485794,18.000999999999998,7.319574488754696,28.672,9.558121927748896
16,rxn_1011,38.49,36.013,2.477,47.16,33.152,14.008,36.706,33.009,3.696,52.242,18.785,33.457,50.886,25.988,24.898,51.758,35.939,15.819,31.67,18.964,12.707,33.736,26.103,7.633,20.571999999999996,8.581777771201356,17.227999999999998,7.082453901569507,30.98,10.562093156154502
17,rxn_1017,32.553,36.581,-4.029,40.429,33.598,6.831,30.986,33.44,-2.454,45.447,19.028,26.419,44.009,26.333,17.675,44.618,36.561,8.056,26.739,19.084,7.655,28.423,26.36,2.063,18.708000000000002,7.783588118599289,17.553000000000004,7.242898362977944,30.448,10.164272175475373
18,rxn_1024,21.98,32.057,-10.078,25.256,29.728,-4.472,20.973,29.479,-8.506,26.58,15.602,10.978,26.301,22.627,3.675,28.125,32.294,-4.17,16.88,15.232,1.648,18.307,22.313,-4.006,11.245000000000001,4.134795546854248,17.061999999999998,6.989284226585724,21.055999999999997,6.930522634126727
19,rxn_1093,28.872,35.574,-6.701,37.263,32.493,4.771,27.669,32.563,-4.893,42.755,17.418,25.337,40.891,24.854,16.038,41.127,35.198,5.929,23.758,18.066,5.692,25.065,25.359,-0.294,18.997000000000003,7.874397373767722,18.156,7.338297504725272,32.038,10.65910955055413
20,rxn_1181,25.403,33.958,-8.555,28.094,31.6,-3.506,23.981,31.225,-7.244,29.098,17.749,11.348,29.136,24.704,4.432,31.359,34.375,-3.016,19.672,17.108,2.564,21.376,24.166,-2.789,11.687000000000001,4.1125552862111,17.267,6.9528560203189675,19.903,6.591139653244455
21,rxn_1225,21.105,30.079,-8.974,25.909,28.077,-2.168,20.083,27.64,-7.557,29.206,14.054,15.152,28.163,20.998,7.164,29.14,30.631,-1.491,16.6,13.176,3.424,17.742,20.272,-2.53,12.605999999999998,5.21112855887694,17.455,7.005450886631067,24.125999999999998,7.950335626338587
22,rxn_1248,29.768,34.055,-4.288,37.354,31.226,6.128,28.336,31.023,-2.687,42.409,16.628,25.782,40.853,23.921,16.931,41.369,34.071,7.299,24.398,16.642,7.755,25.862,23.908,1.954,18.011,7.476647547769752,17.442999999999998,7.222606766258288,30.07,9.989241637882227
