index;type;sub-type;round;pred;TRUE
365;DA;1;1;6.505495;5.961067732863758
853;DA;2;1;5.462206;5.969150345074688
1093;DA;2;1;5.588314 ;7.40657967425266
1814;DA;4;1;5.607605 ;4.08763857965632
2012;DA;4;1; 5.647460;5.16358534430242
5534;3,3;1;1;5.164730 ;3.822016586416405
7236;3+2;1;1;4.417239;2.559582056241132
3483;3+2;1;2;5.321263;6.491776451991517
6612;3+2;3;2;4.802988;2.691411220511414
4392;3+2;2;2; 4.102131 ;3.0758676734763544
1424;DA;2;2;6.380402;7.099595898618753
33;DA;1;2;6.001668;7.477708636340414
1708;DA;4;2;5.875818;5.558110673648584
1285;DA;;2;5.127996;4.18406160610527
5245;3,3;1;2;4.904911;5.508564478920171
6105;3,3;;2;4.833506;5.683747061624604
7911;DA;;2;4.456082;3.781176980504183
6322;DA;;2;4.613765;4.3212943659705045
2482;DA;5;2;4.632273;6.532845060075078
1017;DA;;3;  6.973582   ;7.196549935650818
3225;3+2;;3;  6.047770   ;5.550645389454607
2334;DA;;3;  5.508756   ;6.4675836055467295
2211;DA;;3;  5.604032   ;4.30295443301827
5751;3,3;;3;  5.094472   ;4.7813835354589465
1466;DA;;3;  4.893173   ;6.536338910880826
6583;3+2;;3;  4.655257   ;3.501042925442286
5374;3,3;1;3;  5.112746   ;4.792644351942935
2310;DA;;3;  4.576390   ;6.158285666054868
1024;DA;2;3;  4.646440   ;4.410817554901991
1441;DA;2;4;7.101350;6.160786862551688
632;DA;;4;6.420018;7.932540998616827
2530;DA;;4;5.916631;6.740879519375558
3536;3+2;1;4;5.482937;5.211287904256742
1479;DA;;4;5.206169;7.2556838139416415
4581;3+2;;4;5.382209;7.465385540860178
1779;DA;;4;5.259520;5.5187983570033765
2890;DA;;4;5.351549;5.710670251702878
1394;DA;;4;4.942369;4.810377650947673
5345;3,3;;4;5.045484;4.865664555411672
1181;DA;;4;4.823066;4.359113553959772
5956;3,3;;4;4.833337;6.100396581370754
216;DA;;5;7.294723;7.563082830085682
1248;DA;;5;6.934168;7.036991238037072
5129;3+2;;5;6.249316;6.220979023475832
1463;DA;;5;6.463255;6.702288618351511
2270;DA;;5;6.193574;7.680989733888808
721;DA;;5;6.031257;5.320661615715414
2972;3+2;;5;5.919506;6.077668423265446
6178;3,3;;5;5.604708;6.390683877415048
1536;DA;;5;5.608505;5.42110369685964
6180;3,3;;5;5.487898;5.049194041731078
2517;DA;;5;5.300948;6.852728969273176
971;DA;;5;5.281306;4.743778954145047
769;DA;;5;5.082291;6.367821186287059
6410;3+2;;5;4.915258;2.9910386419929007
2645;DA;;5;5.029302;5.831720893211179
53;DA;;6;7.396373;7.215179506101227
2672;DA;;6;7.023356;6.920105008330133
1000;DA;;6;6.995841;6.45700309720914
1480;DA;;6;6.497488;8.01873037906284
4652;3+2;;6;6.146796;5.937547238371645
5854;3,3;;6;5.869836;5.255050958488965
2468;DA;;6;5.605307;6.723435370912856
1919;DA;;6;5.633342;5.077102841499066
5756;3,3;;6;5.472333;5.3406230476267575
2720;DA;;6;5.126207;7.393821872453985
5432;3,3;;6;5.367480;4.715648836028489
745;DA;;6;5.233771;5.788482874594489
5590;3,3;;6;5.268142;5.041769282963232
3759;3+2;;6;4.669943;4.895685387208447
310;DA;;7;7.445696;6.629058962151734
2260;DA;;7;7.037648;7.03113235227891
751;DA;;7;6.861022;5.469783564225708
1495;DA;;7;6.845703;7.280611066567942
4937;3+2;;7;6.202694;6.97748584848364
2760;DA;;7;5.701270;7.138341518278524
2676;DA;;7;5.782873;5.613768970130494
1886;DA;;7;5.366914;5.835927865386961
3198;3+2;;7;4.872201;5.054727733830764
5653;3,3;;7;4.989117;5.274922547697789
5506;3,3;;7;5.077924;5.011103443984748
8339;DA;;7;4.610626;3.4893124865720138
83;DA;;8;7.467151;7.222026223006218
1469;DA;;8;7.147779;6.663300731777403
2759;DA;;8;6.954616;8.057158731770608
1011;DA;;8;6.916387;7.821784234969732
2473;DA;;8;6.644698;5.921087393687429
5047;3+2;;8;6.357048;5.278200485562241
2326;DA;;8;6.078654;6.896344988279546
5581;3,3;;8;5.956744;5.445277421766498
1606;DA;;8;5.672053;5.373945065386273
5748;3,3;;8;5.303455;5.594992594651983
6261;3,3;;8;5.135439;4.7448727260952
5616;3,3;;8;5.134646;5.281394158792384
5191;3,3;;8;5.125340;4.160896852969636
839;DA;;8;5.031011;4.807177993430898
5582;3,3;;8;5.068029;6.098646556279603
4123;3+2;;8;4.800916;3.8137021559385738
1225;DA;;8;4.874534;5.480797026893078
3030;3+2;;8;4.894828;5.612421313245151
1801;DA;;8;4.818559;4.205950222444889
6317;DA;;8;4.670246;4.497896649955867
5998;3,3;;8;4.603910;4.5492139274708485
7614;3+2;;8;4.201167;3.2858500986887136
942;DA;;8;4.492198;4.093495102630899
3781;3+2;;8;4.399251;3.992044516087095
8396;DA;;8;4.142532;3.444569551826239
7955;DA;;8;4.209794;3.2106834733105463
