,Type,rxn_smiles
0,Diels-Alder,C(C=Cc1ccccc1)=Cc1ccccc1.O=C1C=CC(=O)c2c(O)cccc21>>O=C1c2cccc(O)c2C(=O)[C@H]2[C@@H]1[C@@H](c1ccccc1)C=C[C@H]2c1ccccc1
1,Diels-Alder,O=C1C=CC(=O)c2c(O)cccc21.O=CC=CC=Cc1ccccc1>>O=C[C@H]1C=C[C@@H](c2ccccc2)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@@H]12
2,Diels-Alder,O=C1C=CC(=O)c2c(O)cccc21.OC=CC=Cc1ccccc1>>O=C1c2cccc(O)c2C(=O)[C@H]2[C@@H]1[C@@H](O)C=C[C@H]2c1ccccc1
3,Diels-Alder,N#CC=CC=Cc1ccccc1.O=C1C=CC(=O)c2c(O)cccc21>>N#C[C@H]1C=C[C@@H](c2ccccc2)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
4,Diels-Alder,COC(=O)C=CC=Cc1ccccc1.O=C1C=CC(=O)c2c(O)cccc21>>COC(=O)[C@H]1C=C[C@@H](c2ccccc2)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
5,Diels-Alder,CC(=O)OC=CC=Cc1ccccc1.O=C1C=CC(=O)c2c(O)cccc21>>CC(=O)O[C@H]1C=C[C@@H](c2ccccc2)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
6,Diels-Alder,CC(C)(C)C=CC=Cc1ccccc1.O=C1C=CC(=O)c2c(O)cccc21>>CC(C)(C)[C@H]1C=C[C@@H](c2ccccc2)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
7,Diels-Alder,C=CC=Cc1ccccc1.O=C1C=CC(=O)c2c(O)cccc21>>O=C1c2c(O)cccc2C(=O)[C@H]2CC=C[C@@H](c3ccccc3)[C@@H]12
8,Diels-Alder,O=C1C=CC(=O)c2c(O)cccc21.O=CC=CC=Cc1ccccc1>>O=C[C@@H]1C=C[C@H](c2ccccc2)[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@H]12
9,Diels-Alder,O=C1C=CC(=O)c2c(O)cccc21.O=CC=CC=CC=O>>O=C[C@@H]1C=C[C@H](C=O)[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@H]12
