,cores,r_groups,name,subs,main_core,type,std_DFT_forward,Range_DFT_forward,Num_Reacs
0,C1=C([*:4])C([*:5])C([*:1])C([*:2])C1[*:3],"['*C(=O)c1cccc(O)c1C(*)=O', '*C(=O)c1cccc(O)c1C(*)=O', '*OC', '*C', '*C']",02_1,5,C1C=CCCC1,Diels-Alder,6.501950656898038,21.547,2
1,C1=C([*:4])C([*:5])C([*:1])C([*:2])C1[*:3],"['*C(=O)c1cccc(O)c1C(*)=O', '*C(=O)c1cccc(O)c1C(*)=O', '*OC', '*C', '*C']",02_2,5,C1C=CCCC1,Diels-Alder,6.676787649248544,21.964,2
2,C1C([*:3])=C([*:4])C([*:5])C([*:1])C1[*:2],"['*C(=O)c1cccc(O)c1C(*)=O', '*C(=O)c1cccc(O)c1C(*)=O', '*OC', '*C', '*C']",02_3,5,C1C=CCCC1,Diels-Alder,6.418757515446838,21.578,2
3,C1C([*:3])=C([*:4])C([*:5])C([*:1])C1[*:2],"['*C(=O)c1cccc(O)c1C(*)=O', '*C(=O)c1cccc(O)c1C(*)=O', '*OC', '*C', '*C']",02_4,5,C1C=CCCC1,Diels-Alder,6.336663869061834,21.336,2
4,C1=C([*:1])C([*:2])C([*:3])=C([*:4])N1,"['*CCC=*', '*CCC=*', '*CCC*', '*CCC*']",02_5,4,N1C=CCC=C1,Diels-Alder,2.989286598134992,10.755,1
5,C1N=C([*:4])C([*:3])C([*:2])=C1[*:1],"['*CCC*', '*CCC*', '*CCC=*', '*CCC=*']",02_6,4,C1N=CCC=C1,Diels-Alder,3.3065629141546897,11.390999999999998,1
6,C1=CC([*:4])C([*:1])C([*:2])C1[*:3],"['*/C=C/C(=O)O[C@@H](CC)CCC[C@H](O)[C@@H](C)C(=O)/C=C/*', '*C[C@H](O)C*', '*C[C@H](O)C*', '*/C=C/C(=O)O[C@@H](CC)CCC[C@H](O)[C@@H](C)C(=O)/C=C/*']",02_7,4,C1C=CCCC1,Diels-Alder,5.011557867622234,18.118,1
7,C1=CC([*:4])C([*:1])C([*:2])C1[*:3],"['*C(=O)NC=C(C(*)=O)c1ccccc1', '*CCC[C@H](*)C', '*CCC[C@H](*)C', '*C']",02_8,4,C1C=CCCC1,Diels-Alder,3.7415775817160335,13.220000000000002,1
8,C1=CC([*:4])C([*:1])C([*:2])C1[*:3],"['*C[C@@H](C)C[C@H](*)C', '*C(C)=O', '*/C(C)=C/C', '*C[C@@H](C)C[C@H](*)C']",02_9,4,C1C=CCCC1,Diels-Alder,4.581280509053292,16.292,1
9,C1=CC([*:4])C([*:1])C([*:2])C1[*:3],"['*C[C@@H](C)C[C@H](*)C', '*C(C)=O', '*/C(C)=C/C', '*C[C@@H](C)C[C@H](*)C']",02_10,4,C1C=CCCC1,Diels-Alder,5.178730479465732,17.891000000000002,1
10,C1=CC([*:4])C([*:1])C([*:2])C1[*:3],"['*C[C@@H](C)C[C@H](*)C', '*C(C)=O', '*/C(C)=C/C', '*C[C@@H](C)C[C@H](*)C']",02_11,4,C1C=CCCC1,Diels-Alder,5.74263561235743,19.722,1
11,C1=CC([*:4])C([*:1])C([*:2])C1[*:3],"['*C[C@@H](C)C[C@H](*)C', '*C(C)=O', '*/C(C)=C/C', '*C[C@@H](C)C[C@H](*)C']",02_12,4,C1C=CCCC1,Diels-Alder,4.858616907375141,17.583000000000002,1
12,C1=CC([*:4])C([*:1])C([*:2])C1[*:3],"['*/C=C/C(=O)O[C@@H](CC)CCC[C@H](O)[C@@H](C)C(=O)/C=C/*', '*C[C@H](O)C*', '*C[C@H](O)C*', '*/C=C/C(=O)O[C@@H](CC)CCC[C@H](O)[C@@H](C)C(=O)/C=C/*']",02_13,4,C1C=CCCC1,Diels-Alder,4.366855743161085,16.218,1
13,C1=CC([*:4])C([*:1])C([*:2])C1[*:3],"['*/C=C/C(=O)O[C@@H](CC)CCC[C@H](O)[C@@H](C)C(=O)/C=C/*', '*C[C@H](O)C*', '*C[C@H](O)C*', '*/C=C/C(=O)O[C@@H](CC)CCC[C@H](O)[C@@H](C)C(=O)/C=C/*']",02_14,4,C1C=CCCC1,Diels-Alder,4.582560591955917,16.811999999999998,1
14,C1=CC([*:4])C([*:1])C([*:2])C1[*:3],"['*C.*C(=O)OC', '*C[C@@H](C[C@@H](*)OC)OC', '*C[C@@H](C[C@@H](*)OC)OC', '*CO']",02_15,4,C1C=CCCC1,Diels-Alder,5.257833573020255,18.641,1
15,C1=CC([*:4])C([*:1])C([*:2])C1[*:3],"['*C[C@@H](C[C@@H](*)OC)OC', '*C.*C(=O)OC', '*CO', '*C[C@@H](C[C@@H](*)OC)OC']",02_16,4,C1C=CCCC1,Diels-Alder,3.831678141356261,13.869,1
16,C1=C([*:4])C([*:5])C([*:1])C([*:2])C1[*:3],"['*C[C@@H](C[C@@H](*)OC)OC', '*C.*COC(*)=O', '*COC(*)=O', '*C', '*C[C@@H](C[C@@H](*)OC)OC']",02_17,5,C1C=CCCC1,Diels-Alder,3.6008983732864275,13.086,1
17,C1=C([*:4])C([*:5])C([*:1])C([*:2])C1[*:3],"['*C[C@@H](C[C@@H](*)OC)OC', '*C.*COC(*)=O', '*COC(*)=O', '*C', '*C[C@@H](C[C@@H](*)OC)OC']",02_18,5,C1C=CCCC1,Diels-Alder,3.265511493343408,12.21,1
18,C1=C([*:4])C([*:5])C([*:1])C([*:2])C1[*:3],"['*C(=O)C1=C[C@H](C)NC1=O', '*CC[C@@H](C)C*', '*C.*CC[C@@H](C)C*', '*C', '*/C(C)=C/C']",02_19,5,C1C=CCCC1,Diels-Alder,4.5400967932529,15.299,1
19,C1=C([*:4])C([*:5])C([*:1])C([*:2])C1[*:3],"['*C(=O)C1=C[C@H](C)NC1=O', '*CC[C@@H](C)C*', '*C.*CC[C@@H](C)C*', '*C', '*/C(C)=C/C']",02_20,5,C1C=CCCC1,Diels-Alder,4.190468915790991,14.926999999999998,1
20,C1=CC([*:4])C([*:1])C([*:2])C1[*:3],"['*COC*', '*COC*', '*COC*', '*COC*']",02_21,4,C1C=CCCC1,Diels-Alder,3.1372631598593266,10.990000000000002,1
21,C1=CC([*:4])C([*:3])=C([*:2])C1[*:1],"['*CN(C)C*', '*CN(C)C*', '*CN(C)C*', '*CN(C)C*']",02_22,4,C1C=CCC=C1,Diels-Alder,2.6850160756158967,8.814,1
22,C1=CC([*:4])C([*:1])C([*:2])C1[*:3],"['*COC*', '*COC(=O)C(C)(C)C*', '*COC(=O)C(C)(C)C*', '*COC*']",02_23,4,C1C=CCCC1,Diels-Alder,3.851158588146252,14.183,1
23,C1=CC([*:4])C([*:3])=C([*:2])C1[*:1],"['*COC*', '*COC*', '*C', '*C']",02_24,4,C1C=CCC=C1,Diels-Alder,3.393799824680294,13.211,1
24,C1=CC([*:3])C([*:1])C([*:2])C1,"['*CC(*)=O.*CCC*', '*CC(*)=O', '*CCC*']",02_25,3,C1C=CCCC1,Diels-Alder,3.997269165186074,15.273000000000003,1
25,C1=CC([*:3])C([*:1])C([*:2])C1,"['*CCC(*)=O.*CCC*', '*CCC(*)=O', '*CCC*']",02_26,3,C1C=CCCC1,Diels-Alder,4.304218902181294,16.361,1
26,C1=CC([*:3])C([*:1])C([*:2])C1,"['*CCC*.*CCCC(*)=O', '*CCCC(*)=O', '*CCC*']",02_27,3,C1C=CCCC1,Diels-Alder,4.358195873717037,16.563,1
27,C1=CC([*:4])C([*:1])C([*:2])C1[*:3],"['*N(C(=O)NC)C(=O)C(=*)C', '*c1ccccc1', '*C=C*', '*C=C*.*N(C(=O)NC)C(=O)C(=*)C']",02_28,4,C1C=CCCC1,Diels-Alder,3.5884781039643503,12.82,1
28,N1=NC([*:4])C([*:1])C([*:2])C1[*:3],"['*CCCCCC*', '*CCCCCC*', '*C.*N=N*', '*C.*N=N*']",02_29,4,C1N=NCCC1,Diels-Alder,5.992712815754253,20.779,2
29,N1=NC([*:4])C([*:1])=C([*:2])C1[*:3],"['*CCCCCC*', '*CCCCCC*', '*C.*N=N*', '*C.*N=N*']",02_30,4,C1N=NCC=C1,Diels-Alder,5.039565393490113,18.418,2
30,N1=NC([*:4])C([*:1])=C([*:2])C1[*:3],"['*c1ccccc1CCc1ccccc1*', '*c1ccccc1CCc1ccccc1*', '*C.*N=N*', '*C.*N=N*']",02_31,4,C1N=NCC=C1,Diels-Alder,5.81423312475062,20.492000000000004,2
31,N1=NC([*:4])C([*:1])C([*:2])C1[*:3],"['*C.*C*', '*C*', '*C.*N=N*', '*C.*N=N*']",02_32,4,C1N=NCCC1,Diels-Alder,5.129859260150066,18.417,2
32,C1C([*:3])C([*:2])=N[NH+]([*:1])C1[*:4],"['*CCCC(=*)C', '*C=CC=C*', '*C=CC=C*', '*CCCC(=*)C']",02_33,4,C1CCC=NN1,Diels-Alder,2.8640022690927496,10.638999999999998,1
33,CN1C([*:1])=C([*:2])C=CC1[*:3],"['*COC(*)=O', '*COC(*)=O', '*[C@@H](C)[Si](C)(C)C']",02_34,3,C1C=CC=CN1C,Diels-Alder,2.144056629137246,8.423,1
34,CN1C([*:1])=C([*:2])C=CC1[*:3],"['*COC(*)=O', '*COC(*)=O', '*[C@@H](C)[Si](C)(C)C']",02_35,3,C1C=CC=CN1C,Diels-Alder,1.8448688271727296,7.382999999999999,1
35,CN1C([*:1])=C([*:2])C=CC1[*:3],"['*CCCC(*)=O', '*CCCC(*)=O', '*[C@@H](C)[Si](C)(C)C']",02_36,3,C1C=CC=CN1C,Diels-Alder,1.550155089015289,6.249999999999998,1
