,Name,Type,b2-plyp-DFT-forward,REF-forward,b2-plyp-DELTA-forward,b2-plyp-DFT-reverse,REF-reverse,b2-plyp-DELTA-reverse,b2-plyp-DFT-reaction,REF-reaction,b2-plyp-DELTA-reaction
0,02_1,Diels-Alder,10.995,8.1,2.895,34.508,43.77,-9.262,-23.513,-35.66,12.147
1,02_2,Diels-Alder,12.198,8.85,3.348,34.598,43.49,-8.892,-22.399,-34.63,12.231
2,02_3,Diels-Alder,13.722,11.45,2.272,39.227,47.83,-8.603,-25.505,-36.38,10.875
3,02_4,Diels-Alder,12.16,10.15,2.010,38.627,47.06,-8.433,-26.467,-36.92,10.453
4,02_5,Diels-Alder,24.026,26.57,-2.544,89.776,93.72,-3.944,-65.75,-67.15,1.400
5,02_6,Diels-Alder,24.327,26.77,-2.443,56.931,62.05,-5.119,-32.604,-35.27,2.666
6,02_7,Diels-Alder,17.352,19.07,-1.718,27.827,39.4,-11.573,-10.475,-20.32,9.845
7,02_8,Diels-Alder,11.112,12.2,-1.088,25.968,36.77,-10.802,-14.856,-24.57,9.714
8,02_9,Diels-Alder,18.104,17.83,0.274,37.3,47.85,-10.550,-19.196,-30.02,10.824
9,02_10,Diels-Alder,21.786,19.75,2.036,40.23,50.92,-10.690,-18.444,-31.17,12.726
10,02_11,Diels-Alder,25.909,23.08,2.829,35.726,45.7,-9.974,-9.817,-22.62,12.803
11,02_12,Diels-Alder,25.743,24.51,1.233,35.092,44.87,-9.778,-9.349,-20.36,11.011
12,02_13,Diels-Alder,25.715,24.9,0.815,52.746,60.92,-8.174,-27.03,-36.03,9.000
13,02_14,Diels-Alder,23.473,21.97,1.503,52.306,60.48,-8.174,-28.833,-38.51,9.677
14,02_15,Diels-Alder,27.314,25.29,2.024,51.462,60.68,-9.218,-24.148,-35.39,11.242
15,02_16,Diels-Alder,22.856,23.43,-0.574,43.837,53.32,-9.483,-20.982,-29.89,8.908
16,02_17,Diels-Alder,14.52,15.27,-0.750,51.529,59.46,-7.931,-37.009,-44.18,7.171
17,02_18,Diels-Alder,18.684,19.86,-1.176,62.151,70.4,-8.249,-43.467,-50.54,7.073
18,02_19,Diels-Alder,20.448,22.04,-1.592,49.416,59.33,-9.914,-28.968,-37.29,8.322
19,02_20,Diels-Alder,18.089,19.1,-1.011,49.046,56.89,-7.844,-30.957,-37.79,6.833
20,02_21,Diels-Alder,10.928,12.4,-1.472,54.317,62.14,-7.823,-43.389,-49.74,6.351
21,02_22,Diels-Alder,6.519,8.83,-2.311,62.206,68.85,-6.644,-55.687,-60.01,4.323
22,02_23,Diels-Alder,24.729,24.81,-0.081,49.815,57.02,-7.205,-25.087,-32.21,7.123
23,02_24,Diels-Alder,26.99,26.62,0.370,66.452,73.95,-7.498,-39.461,-47.33,7.869
24,02_25,Diels-Alder,23.753,23.55,0.203,46.984,54.52,-7.536,-23.231,-30.97,7.739
25,02_26,Diels-Alder,28.84,27.83,1.010,40.017,47.79,-7.773,-11.177,-19.96,8.783
26,02_27,Diels-Alder,30.427,29.6,0.827,41.884,50.22,-8.336,-11.457,-20.62,9.163
27,02_28,Diels-Alder,23.235,21.69,1.545,29.338,38.32,-8.982,-6.103,-16.63,10.527
28,02_29,Diels-Alder,6.79,1.65,5.140,27.735,35.57,-7.835,-20.945,-33.92,12.975
29,02_30,Diels-Alder,12.341,7.98,4.361,47.634,55.02,-7.386,-35.293,-47.04,11.747
30,02_31,Diels-Alder,20.719,15.12,5.599,28.171,36.68,-8.509,-7.452,-21.56,14.108
31,02_32,Diels-Alder,10.99,6.61,4.380,45.826,54.79,-8.964,-34.836,-48.18,13.344
32,02_33,Diels-Alder,11.223,11.62,-0.397,42.332,53.25,-10.918,-31.109,-41.63,10.521
33,02_34,Diels-Alder,18.663,18.28,0.383,24.931,30.48,-5.549,-6.268,-12.21,5.942
34,02_35,Diels-Alder,16.562,16.53,0.032,24.417,29.81,-5.393,-7.855,-13.28,5.425
35,02_36,Diels-Alder,14.585,15.49,-0.905,28.376,33.65,-5.274,-13.791,-18.16,4.369
36,02_37,Diels-Alder,16.326,17.0,-0.674,28.601,34.43,-5.829,-12.275,-17.43,5.155
37,02_38,Diels-Alder,20.143,22.73,-2.587,27.878,36.09,-8.212,-7.735,-13.36,5.625
38,02_39,Diels-Alder,34.306,37.42,-3.114,30.75,39.32,-8.570,3.556,-1.9,5.456
39,02_40,Diels-Alder,19.772,14.26,5.512,18.783,27.77,-8.987,0.99,-13.51,14.500
40,02_41,Diels-Alder,34.391,28.06,6.331,22.438,31.78,-9.342,11.954,-3.72,15.674
41,02_42,Diels-Alder,11.566,8.58,2.986,40.822,47.74,-6.918,-29.256,-39.15,9.894
42,02_43,Diels-Alder,19.328,16.35,2.978,41.558,48.76,-7.202,-22.23,-32.41,10.180
43,02_44,Diels-Alder,18.515,16.64,1.875,45.456,53.18,-7.724,-26.941,-36.54,9.599
44,02_45,Diels-Alder,17.938,16.98,0.958,53.723,59.46,-5.737,-35.786,-42.48,6.694
45,02_46,Diels-Alder,28.077,26.48,1.597,42.874,51.36,-8.486,-14.797,-24.88,10.083
46,02_47,Diels-Alder,-0.033,-1.34,1.307,81.307,88.51,-7.203,-81.34,-89.85,8.510
47,02_48,Diels-Alder,2.931,1.98,0.951,77.934,86.44,-8.506,-75.002,-84.47,9.468
48,02_49,Diels-Alder,16.955,13.95,3.005,38.831,47.2,-8.369,-21.876,-33.24,11.364
49,02_50,[3+2]cycloaddition,19.38,18.44,0.940,27.789,35.48,-7.691,-8.409,-17.04,8.631
50,02_51,[3+2]cycloaddition,0.854,-1.95,2.804,17.772,24.26,-6.488,-16.917,-26.21,9.293
51,02_52,[3+2]cycloaddition,15.06,12.39,2.670,28.347,36.11,-7.763,-13.287,-23.72,10.433
52,02_53,[3+2]cycloaddition,14.543,10.45,4.093,28.596,35.89,-7.294,-14.054,-25.44,11.386
53,02_54,[3+2]cycloaddition,5.072,-0.12,5.192,20.752,26.38,-5.628,-15.68,-26.5,10.820
54,02_55,[3+2]cycloaddition,13.0,12.65,0.350,43.628,52.78,-9.152,-30.628,-40.12,9.492
55,02_56,[3+2]cycloaddition,11.915,11.6,0.315,84.125,91.82,-7.695,-72.211,-80.21,7.999
56,02_57,[3+2]cycloaddition,9.857,8.1,1.757,77.245,84.96,-7.715,-67.388,-76.87,9.482
57,02_58,[3+2]cycloaddition,16.004,15.43,0.574,59.302,68.29,-8.988,-43.298,-52.86,9.562
58,02_59,[3+2]cycloaddition,16.129,15.3,0.829,58.904,67.99,-9.086,-42.776,-52.69,9.914
59,02_60,[3+2]cycloaddition,7.2,5.93,1.270,78.296,86.94,-8.644,-71.095,-81.0,9.905
60,02_61,[3+2]cycloaddition,3.05,0.41,2.640,46.997,56.6,-9.603,-43.947,-56.19,12.243
61,02_62,[3+2]cycloaddition,6.815,3.87,2.945,49.088,58.42,-9.332,-42.274,-54.55,12.276
