      NAME                          TYPE|                                   FORWARD BH|                                   REVERSE BH|                              REACTION ENERGY|
                                        |            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|
      02_1                   Diels-Alder|         10.995          8.100          2.895|         34.508         43.770         -9.262|        -23.513        -35.660         12.147|
      02_2                   Diels-Alder|         12.198          8.850          3.348|         34.598         43.490         -8.892|        -22.399        -34.630         12.231|
      02_3                   Diels-Alder|         13.722         11.450          2.272|         39.227         47.830         -8.603|        -25.505        -36.380         10.875|
      02_4                   Diels-Alder|         12.160         10.150          2.010|         38.627         47.060         -8.433|        -26.467        -36.920         10.453|
      02_5                   Diels-Alder|         24.026         26.570         -2.544|         89.776         93.720         -3.944|        -65.750        -67.150          1.400|
      02_6                   Diels-Alder|         24.327         26.770         -2.443|         56.931         62.050         -5.119|        -32.604        -35.270          2.666|
      02_7                   Diels-Alder|         17.352         19.070         -1.718|         27.827         39.400        -11.573|        -10.475        -20.320          9.845|
      02_8                   Diels-Alder|         11.112         12.200         -1.088|         25.968         36.770        -10.802|        -14.856        -24.570          9.714|
      02_9                   Diels-Alder|         18.104         17.830          0.274|         37.300         47.850        -10.550|        -19.196        -30.020         10.824|
     02_10                   Diels-Alder|         21.786         19.750          2.036|         40.230         50.920        -10.690|        -18.444        -31.170         12.726|
     02_11                   Diels-Alder|         25.909         23.080          2.829|         35.726         45.700         -9.974|         -9.817        -22.620         12.803|
     02_12                   Diels-Alder|         25.743         24.510          1.233|         35.092         44.870         -9.778|         -9.349        -20.360         11.011|
     02_13                   Diels-Alder|         25.715         24.900          0.815|         52.746         60.920         -8.174|        -27.030        -36.030          9.000|
     02_14                   Diels-Alder|         23.473         21.970          1.503|         52.306         60.480         -8.174|        -28.833        -38.510          9.677|
     02_15                   Diels-Alder|         27.314         25.290          2.024|         51.462         60.680         -9.218|        -24.148        -35.390         11.242|
     02_16                   Diels-Alder|         22.856         23.430         -0.574|         43.837         53.320         -9.483|        -20.982        -29.890          8.908|
     02_17                   Diels-Alder|         14.520         15.270         -0.750|         51.529         59.460         -7.931|        -37.009        -44.180          7.171|
     02_18                   Diels-Alder|         18.684         19.860         -1.176|         62.151         70.400         -8.249|        -43.467        -50.540          7.073|
     02_19                   Diels-Alder|         20.448         22.040         -1.592|         49.416         59.330         -9.914|        -28.968        -37.290          8.322|
     02_20                   Diels-Alder|         18.089         19.100         -1.011|         49.046         56.890         -7.844|        -30.957        -37.790          6.833|
     02_21                   Diels-Alder|         10.928         12.400         -1.472|         54.317         62.140         -7.823|        -43.389        -49.740          6.351|
     02_22                   Diels-Alder|          6.519          8.830         -2.311|         62.206         68.850         -6.644|        -55.687        -60.010          4.323|
     02_23                   Diels-Alder|         24.729         24.810         -0.081|         49.815         57.020         -7.205|        -25.087        -32.210          7.123|
     02_24                   Diels-Alder|         26.990         26.620          0.370|         66.452         73.950         -7.498|        -39.461        -47.330          7.869|
     02_25                   Diels-Alder|         23.753         23.550          0.203|         46.984         54.520         -7.536|        -23.231        -30.970          7.739|
     02_26                   Diels-Alder|         28.840         27.830          1.010|         40.017         47.790         -7.773|        -11.177        -19.960          8.783|
     02_27                   Diels-Alder|         30.427         29.600          0.827|         41.884         50.220         -8.336|        -11.457        -20.620          9.163|
     02_28                   Diels-Alder|         23.235         21.690          1.545|         29.338         38.320         -8.982|         -6.103        -16.630         10.527|
     02_29                   Diels-Alder|          6.790          1.650          5.140|         27.735         35.570         -7.835|        -20.945        -33.920         12.975|
     02_30                   Diels-Alder|         12.341          7.980          4.361|         47.634         55.020         -7.386|        -35.293        -47.040         11.747|
     02_31                   Diels-Alder|         20.719         15.120          5.599|         28.171         36.680         -8.509|         -7.452        -21.560         14.108|
     02_32                   Diels-Alder|         10.990          6.610          4.380|         45.826         54.790         -8.964|        -34.836        -48.180         13.344|
     02_33                   Diels-Alder|         11.223         11.620         -0.397|         42.332         53.250        -10.918|        -31.109        -41.630         10.521|
     02_34                   Diels-Alder|         18.663         18.280          0.383|         24.931         30.480         -5.549|         -6.268        -12.210          5.942|
     02_35                   Diels-Alder|         16.562         16.530          0.032|         24.417         29.810         -5.393|         -7.855        -13.280          5.425|
     02_36                   Diels-Alder|         14.585         15.490         -0.905|         28.376         33.650         -5.274|        -13.791        -18.160          4.369|
     02_37                   Diels-Alder|         16.326         17.000         -0.674|         28.601         34.430         -5.829|        -12.275        -17.430          5.155|
     02_38                   Diels-Alder|         20.143         22.730         -2.587|         27.878         36.090         -8.212|         -7.735        -13.360          5.625|
     02_39                   Diels-Alder|         34.306         37.420         -3.114|         30.750         39.320         -8.570|          3.556         -1.900          5.456|
     02_40                   Diels-Alder|         19.772         14.260          5.512|         18.783         27.770         -8.987|          0.990        -13.510         14.500|
     02_41                   Diels-Alder|         34.391         28.060          6.331|         22.438         31.780         -9.342|         11.954         -3.720         15.674|
     02_42                   Diels-Alder|         11.566          8.580          2.986|         40.822         47.740         -6.918|        -29.256        -39.150          9.894|
     02_43                   Diels-Alder|         19.328         16.350          2.978|         41.558         48.760         -7.202|        -22.230        -32.410         10.180|
     02_44                   Diels-Alder|         18.515         16.640          1.875|         45.456         53.180         -7.724|        -26.941        -36.540          9.599|
     02_45                   Diels-Alder|         17.938         16.980          0.958|         53.723         59.460         -5.737|        -35.786        -42.480          6.694|
     02_46                   Diels-Alder|         28.077         26.480          1.597|         42.874         51.360         -8.486|        -14.797        -24.880         10.083|
     02_47                   Diels-Alder|         -0.033         -1.340          1.307|         81.307         88.510         -7.203|        -81.340        -89.850          8.510|
     02_48                   Diels-Alder|          2.931          1.980          0.951|         77.934         86.440         -8.506|        -75.002        -84.470          9.468|
     02_49                   Diels-Alder|         16.955         13.950          3.005|         38.831         47.200         -8.369|        -21.876        -33.240         11.364|
