,Name,Type,b2k-plyp-DFT-forward,REF-forward,b2k-plyp-DELTA-forward,b2k-plyp-DFT-reverse,REF-reverse,b2k-plyp-DELTA-reverse,b2k-plyp-DFT-reaction,REF-reaction,b2k-plyp-DELTA-reaction
0,02_1,Diels-Alder,7.185,8.1,-0.915,38.313,43.77,-5.457,-31.128,-35.66,4.532
1,02_2,Diels-Alder,8.174,8.85,-0.676,38.206,43.49,-5.284,-30.032,-34.63,4.598
2,02_3,Diels-Alder,10.418,11.45,-1.032,43.041,47.83,-4.789,-32.623,-36.38,3.757
3,02_4,Diels-Alder,8.947,10.15,-1.203,42.356,47.06,-4.704,-33.409,-36.92,3.511
4,02_5,Diels-Alder,24.354,26.57,-2.216,93.366,93.72,-0.354,-69.012,-67.15,-1.862
5,02_6,Diels-Alder,24.436,26.77,-2.334,59.927,62.05,-2.123,-35.491,-35.27,-0.221
6,02_7,Diels-Alder,15.694,19.07,-3.376,31.973,39.4,-7.427,-16.279,-20.32,4.041
7,02_8,Diels-Alder,9.72,12.2,-2.480,30.598,36.77,-6.172,-20.878,-24.57,3.692
8,02_9,Diels-Alder,15.998,17.83,-1.832,41.842,47.85,-6.008,-25.844,-30.02,4.176
9,02_10,Diels-Alder,19.019,19.75,-0.731,44.958,50.92,-5.962,-25.94,-31.17,5.230
10,02_11,Diels-Alder,22.822,23.08,-0.258,39.911,45.7,-5.789,-17.089,-22.62,5.531
11,02_12,Diels-Alder,23.387,24.51,-1.123,39.191,44.87,-5.679,-15.804,-20.36,4.556
12,02_13,Diels-Alder,23.59,24.9,-1.310,56.781,60.92,-4.139,-33.192,-36.03,2.838
13,02_14,Diels-Alder,21.064,21.97,-0.906,56.316,60.48,-4.164,-35.252,-38.51,3.258
14,02_15,Diels-Alder,24.682,25.29,-0.608,56.012,60.68,-4.668,-31.33,-35.39,4.060
15,02_16,Diels-Alder,21.39,23.43,-2.040,48.223,53.32,-5.097,-26.833,-29.89,3.057
16,02_17,Diels-Alder,13.15,15.27,-2.120,55.574,59.46,-3.886,-42.424,-44.18,1.756
17,02_18,Diels-Alder,17.65,19.86,-2.210,66.583,70.4,-3.817,-48.932,-50.54,1.608
18,02_19,Diels-Alder,19.104,22.04,-2.936,53.851,59.33,-5.479,-34.747,-37.29,2.543
19,02_20,Diels-Alder,16.483,19.1,-2.617,52.879,56.89,-4.011,-36.396,-37.79,1.394
20,02_21,Diels-Alder,9.984,12.4,-2.416,58.354,62.14,-3.786,-48.37,-49.74,1.370
21,02_22,Diels-Alder,6.211,8.83,-2.619,65.224,68.85,-3.626,-59.013,-60.01,0.997
22,02_23,Diels-Alder,23.255,24.81,-1.555,53.259,57.02,-3.761,-30.004,-32.21,2.206
23,02_24,Diels-Alder,25.865,26.62,-0.755,70.135,73.95,-3.815,-44.27,-47.33,3.060
24,02_25,Diels-Alder,22.013,23.55,-1.537,50.336,54.52,-4.184,-28.324,-30.97,2.646
