      NAME                          TYPE|                                   FORWARD BH|                                   REVERSE BH|                              REACTION ENERGY|
                                        |            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|
      02_1                   Diels-Alder|          7.185          8.100         -0.915|         38.313         43.770         -5.457|        -31.128        -35.660          4.532|
      02_2                   Diels-Alder|          8.174          8.850         -0.676|         38.206         43.490         -5.284|        -30.032        -34.630          4.598|
      02_3                   Diels-Alder|         10.418         11.450         -1.032|         43.041         47.830         -4.789|        -32.623        -36.380          3.757|
      02_4                   Diels-Alder|          8.947         10.150         -1.203|         42.356         47.060         -4.704|        -33.409        -36.920          3.511|
      02_5                   Diels-Alder|         24.354         26.570         -2.216|         93.366         93.720         -0.354|        -69.012        -67.150         -1.862|
      02_6                   Diels-Alder|         24.436         26.770         -2.334|         59.927         62.050         -2.123|        -35.491        -35.270         -0.221|
      02_7                   Diels-Alder|         15.694         19.070         -3.376|         31.973         39.400         -7.427|        -16.279        -20.320          4.041|
      02_8                   Diels-Alder|          9.720         12.200         -2.480|         30.598         36.770         -6.172|        -20.878        -24.570          3.692|
      02_9                   Diels-Alder|         15.998         17.830         -1.832|         41.842         47.850         -6.008|        -25.844        -30.020          4.176|
     02_10                   Diels-Alder|         19.019         19.750         -0.731|         44.958         50.920         -5.962|        -25.940        -31.170          5.230|
     02_11                   Diels-Alder|         22.822         23.080         -0.258|         39.911         45.700         -5.789|        -17.089        -22.620          5.531|
     02_12                   Diels-Alder|         23.387         24.510         -1.123|         39.191         44.870         -5.679|        -15.804        -20.360          4.556|
     02_13                   Diels-Alder|         23.590         24.900         -1.310|         56.781         60.920         -4.139|        -33.192        -36.030          2.838|
     02_14                   Diels-Alder|         21.064         21.970         -0.906|         56.316         60.480         -4.164|        -35.252        -38.510          3.258|
     02_15                   Diels-Alder|         24.682         25.290         -0.608|         56.012         60.680         -4.668|        -31.330        -35.390          4.060|
     02_16                   Diels-Alder|         21.390         23.430         -2.040|         48.223         53.320         -5.097|        -26.833        -29.890          3.057|
     02_17                   Diels-Alder|         13.150         15.270         -2.120|         55.574         59.460         -3.886|        -42.424        -44.180          1.756|
     02_18                   Diels-Alder|         17.650         19.860         -2.210|         66.583         70.400         -3.817|        -48.932        -50.540          1.608|
     02_19                   Diels-Alder|         19.104         22.040         -2.936|         53.851         59.330         -5.479|        -34.747        -37.290          2.543|
     02_20                   Diels-Alder|         16.483         19.100         -2.617|         52.879         56.890         -4.011|        -36.396        -37.790          1.394|
     02_21                   Diels-Alder|          9.984         12.400         -2.416|         58.354         62.140         -3.786|        -48.370        -49.740          1.370|
     02_22                   Diels-Alder|          6.211          8.830         -2.619|         65.224         68.850         -3.626|        -59.013        -60.010          0.997|
     02_23                   Diels-Alder|         23.255         24.810         -1.555|         53.259         57.020         -3.761|        -30.004        -32.210          2.206|
     02_24                   Diels-Alder|         25.865         26.620         -0.755|         70.135         73.950         -3.815|        -44.270        -47.330          3.060|
     02_25                   Diels-Alder|         22.013         23.550         -1.537|         50.336         54.520         -4.184|        -28.324        -30.970          2.646|
     02_26                   Diels-Alder|         26.778         27.830         -1.052|         43.409         47.790         -4.381|        -16.632        -19.960          3.328|
     02_27                   Diels-Alder|         28.398         29.600         -1.202|         45.591         50.220         -4.629|        -17.194        -20.620          3.426|
     02_28                   Diels-Alder|         21.622         21.690         -0.068|         32.665         38.320         -5.655|        -11.043        -16.630          5.587|
     02_29                   Diels-Alder|          3.298          1.650          1.648|         29.620         35.570         -5.950|        -26.323        -33.920          7.597|
     02_30                   Diels-Alder|          9.722          7.980          1.742|         49.340         55.020         -5.680|        -39.618        -47.040          7.422|
     02_31                   Diels-Alder|         17.389         15.120          2.269|         29.946         36.680         -6.734|        -12.556        -21.560          9.004|
     02_32                   Diels-Alder|          8.169          6.610          1.559|         48.513         54.790         -6.277|        -40.344        -48.180          7.836|
     02_33                   Diels-Alder|         10.234         11.620         -1.386|         47.001         53.250         -6.249|        -36.767        -41.630          4.863|
     02_34                   Diels-Alder|         18.070         18.280         -0.210|         28.233         30.480         -2.247|        -10.163        -12.210          2.047|
     02_35                   Diels-Alder|         16.152         16.530         -0.378|         27.694         29.810         -2.116|        -11.542        -13.280          1.738|
     02_36                   Diels-Alder|         14.627         15.490         -0.863|         31.811         33.650         -1.839|        -17.183        -18.160          0.977|
     02_37                   Diels-Alder|         16.271         17.000         -0.729|         32.274         34.430         -2.156|        -16.003        -17.430          1.427|
     02_38                   Diels-Alder|         19.181         22.730         -3.549|         31.367         36.090         -4.723|        -12.186        -13.360          1.174|
     02_39                   Diels-Alder|         34.245         37.420         -3.175|         34.852         39.320         -4.468|         -0.607         -1.900          1.293|
     02_40                   Diels-Alder|         15.874         14.260          1.614|         22.510         27.770         -5.260|         -6.636        -13.510          6.874|
     02_41                   Diels-Alder|         30.750         28.060          2.690|         26.195         31.780         -5.585|          4.555         -3.720          8.275|
     02_42                   Diels-Alder|          8.075          8.580         -0.505|         43.568         47.740         -4.172|        -35.492        -39.150          3.658|
     02_43                   Diels-Alder|         16.445         16.350          0.095|         44.790         48.760         -3.970|        -28.344        -32.410          4.066|
     02_44                   Diels-Alder|         16.235         16.640         -0.405|         49.261         53.180         -3.919|        -33.026        -36.540          3.514|
     02_45                   Diels-Alder|         15.896         16.980         -1.084|         57.194         59.460         -2.266|        -41.298        -42.480          1.182|
     02_46                   Diels-Alder|         25.738         26.480         -0.742|         46.788         51.360         -4.572|        -21.050        -24.880          3.830|
