      NAME                          TYPE|                                   FORWARD BH|                                   REVERSE BH|                              REACTION ENERGY|
                                        |            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|
      02_1                   Diels-Alder|         21.102          8.100         13.002|         33.490         43.770        -10.280|        -12.388        -35.660         23.272|
      02_2                   Diels-Alder|         22.622          8.850         13.772|         33.896         43.490         -9.594|        -11.274        -34.630         23.356|
      02_3                   Diels-Alder|         23.469         11.450         12.019|         38.864         47.830         -8.966|        -15.395        -36.380         20.985|
      02_4                   Diels-Alder|         21.726         10.150         11.576|         38.323         47.060         -8.737|        -16.597        -36.920         20.323|
      02_5                   Diels-Alder|         25.958         26.570         -0.612|         89.912         93.720         -3.808|        -63.954        -67.150          3.196|
      02_6                   Diels-Alder|         26.840         26.770          0.070|         58.165         62.050         -3.885|        -31.325        -35.270          3.945|
      02_7                   Diels-Alder|         23.805         19.070          4.735|         26.353         39.400        -13.047|         -2.549        -20.320         17.771|
      02_8                   Diels-Alder|         15.918         12.200          3.718|         22.079         36.770        -14.691|         -6.160        -24.570         18.410|
      02_9                   Diels-Alder|         24.571         17.830          6.741|         34.198         47.850        -13.652|         -9.627        -30.020         20.393|
     02_10                   Diels-Alder|         29.562         19.750          9.812|         36.886         50.920        -14.034|         -7.324        -31.170         23.846|
     02_11                   Diels-Alder|         34.386         23.080         11.306|         33.234         45.700        -12.466|          1.151        -22.620         23.771|
     02_12                   Diels-Alder|         32.667         24.510          8.157|         32.703         44.870        -12.167|         -0.036        -20.360         20.324|
     02_13                   Diels-Alder|         32.086         24.900          7.186|         50.616         60.920        -10.304|        -18.529        -36.030         17.501|
     02_14                   Diels-Alder|         30.428         21.970          8.458|         50.355         60.480        -10.125|        -19.927        -38.510         18.583|
     02_15                   Diels-Alder|         34.707         25.290          9.417|         48.614         60.680        -12.066|        -13.908        -35.390         21.482|
     02_16                   Diels-Alder|         27.597         23.430          4.167|         40.839         53.320        -12.481|        -13.242        -29.890         16.648|
     02_17                   Diels-Alder|         18.940         15.270          3.670|         49.383         59.460        -10.077|        -30.442        -44.180         13.738|
     02_18                   Diels-Alder|         22.767         19.860          2.907|         59.703         70.400        -10.697|        -36.936        -50.540         13.604|
     02_19                   Diels-Alder|         26.260         22.040          4.220|         47.664         59.330        -11.666|        -21.404        -37.290         15.886|
     02_20                   Diels-Alder|         23.822         19.100          4.722|         47.819         56.890         -9.071|        -23.997        -37.790         13.793|
     02_21                   Diels-Alder|         14.114         12.400          1.714|         52.371         62.140         -9.769|        -38.257        -49.740         11.483|
     02_22                   Diels-Alder|          8.164          8.830         -0.666|         62.191         68.850         -6.659|        -54.027        -60.010          5.983|
     02_23                   Diels-Alder|         29.345         24.810          4.535|         48.405         57.020         -8.615|        -19.060        -32.210         13.150|
     02_24                   Diels-Alder|         31.367         26.620          4.747|         65.309         73.950         -8.641|        -33.942        -47.330         13.388|
     02_25                   Diels-Alder|         29.235         23.550          5.685|         45.822         54.520         -8.698|        -16.587        -30.970         14.383|
     02_26                   Diels-Alder|         35.025         27.830          7.195|         38.573         47.790         -9.217|         -3.548        -19.960         16.412|
     02_27                   Diels-Alder|         36.595         29.600          6.995|         40.083         50.220        -10.137|         -3.488        -20.620         17.132|
     02_28                   Diels-Alder|         27.726         21.690          6.036|         27.520         38.320        -10.800|          0.206        -16.630         16.836|
     02_29                   Diels-Alder|         16.092          1.650         14.442|         27.133         35.570         -8.437|        -11.042        -33.920         22.878|
     02_30                   Diels-Alder|         20.211          7.980         12.231|         45.955         55.020         -9.065|        -25.744        -47.040         21.296|
     02_31                   Diels-Alder|         30.297         15.120         15.177|         25.497         36.680        -11.183|          4.800        -21.560         26.360|
     02_32                   Diels-Alder|         19.074          6.610         12.464|         43.418         54.790        -11.372|        -24.343        -48.180         23.837|
     02_33                   Diels-Alder|         15.614         11.620          3.994|         40.893         53.250        -12.357|        -25.280        -41.630         16.350|
     02_34                   Diels-Alder|         21.955         18.280          3.675|         22.736         30.480         -7.744|         -0.781        -12.210         11.429|
     02_35                   Diels-Alder|         19.419         16.530          2.889|         22.207         29.810         -7.603|         -2.788        -13.280         10.492|
     02_36                   Diels-Alder|         16.645         15.490          1.155|         25.765         33.650         -7.885|         -9.120        -18.160          9.040|
     02_37                   Diels-Alder|         18.644         17.000          1.644|         25.577         34.430         -8.853|         -6.933        -17.430         10.497|
     02_38                   Diels-Alder|         26.342         22.730          3.612|         27.937         36.090         -8.153|         -1.594        -13.360         11.766|
     02_39                   Diels-Alder|         39.572         37.420          2.152|         30.231         39.320         -9.089|          9.341         -1.900         11.241|
     02_40                   Diels-Alder|         28.693         14.260         14.433|         16.163         27.770        -11.607|         12.529        -13.510         26.039|
     02_41                   Diels-Alder|         42.679         28.060         14.619|         19.712         31.780        -12.068|         22.967         -3.720         26.687|
     02_42                   Diels-Alder|         20.151          8.580         11.571|         39.851         47.740         -7.889|        -19.700        -39.150         19.450|
     02_43                   Diels-Alder|         27.438         16.350         11.088|         40.336         48.760         -8.424|        -12.898        -32.410         19.512|
     02_44                   Diels-Alder|         25.428         16.640          8.788|         43.555         53.180         -9.625|        -18.128        -36.540         18.412|
     02_45                   Diels-Alder|         23.335         16.980          6.355|         51.787         59.460         -7.673|        -28.452        -42.480         14.028|
     02_46                   Diels-Alder|         34.932         26.480          8.452|         40.720         51.360        -10.640|         -5.787        -24.880         19.093|
     02_47                   Diels-Alder|          5.005         -1.340          6.345|         79.076         88.510         -9.434|        -74.071        -89.850         15.779|
     02_48                   Diels-Alder|          9.142          1.980          7.162|         75.539         86.440        -10.901|        -66.397        -84.470         18.073|
     02_49                   Diels-Alder|         26.697         13.950         12.747|         37.276         47.200         -9.924|        -10.579        -33.240         22.661|
     02_50           [3+2]cycloaddition|         23.376         18.440          4.936|         26.860         35.480         -8.620|         -3.484        -17.040         13.556|
     02_51           [3+2]cycloaddition|          6.901         -1.950          8.851|         18.261         24.260         -5.999|        -11.359        -26.210         14.851|
     02_52           [3+2]cycloaddition|         22.071         12.390          9.681|         28.248         36.110         -7.862|         -6.178        -23.720         17.542|
     02_53           [3+2]cycloaddition|         21.679         10.450         11.229|         27.800         35.890         -8.090|         -6.121        -25.440         19.319|
     02_54           [3+2]cycloaddition|          9.953         -0.120         10.073|         19.507         26.380         -6.873|         -9.554        -26.500         16.946|
     02_55           [3+2]cycloaddition|         17.331         12.650          4.681|         45.290         52.780         -7.490|        -27.959        -40.120         12.161|
     02_56           [3+2]cycloaddition|         15.730         11.600          4.130|         84.691         91.820         -7.129|        -68.962        -80.210         11.248|
     02_57           [3+2]cycloaddition|         15.774          8.100          7.674|         78.836         84.960         -6.124|        -63.062        -76.870         13.808|
     02_58           [3+2]cycloaddition|         20.359         15.430          4.929|         59.974         68.290         -8.316|        -39.615        -52.860         13.245|
     02_59           [3+2]cycloaddition|         20.415         15.300          5.115|         59.275         67.990         -8.715|        -38.860        -52.690         13.830|
     02_60           [3+2]cycloaddition|         12.454          5.930          6.524|         78.780         86.940         -8.160|        -66.326        -81.000         14.674|
     02_61           [3+2]cycloaddition|          7.511          0.410          7.101|         41.488         56.600        -15.112|        -33.977        -56.190         22.213|
     02_62           [3+2]cycloaddition|         12.314          3.870          8.444|         44.672         58.420        -13.748|        -32.358        -54.550         22.192|
     02_63           [3+2]cycloaddition|         19.027         16.870          2.157|         30.896         41.500        -10.604|        -11.870        -24.630         12.760|
     02_64           [3+2]cycloaddition|          8.054          5.380          2.674|         38.189         50.910        -12.721|        -30.134        -45.540         15.406|
     02_65           [3+2]cycloaddition|         10.431          8.080          2.351|         43.219         56.870        -13.651|        -32.787        -48.790         16.003|
     02_66           [3+2]cycloaddition|          9.892          6.790          3.102|         40.433         55.770        -15.337|        -30.541        -48.980         18.439|
     02_67           [3+2]cycloaddition|         14.287          6.930          7.357|         20.129         34.090        -13.961|         -5.842        -27.160         21.318|
     02_68           [3+2]cycloaddition|         16.920          8.700          8.220|         21.243         35.150        -13.907|         -4.323        -26.450         22.127|
     02_69           [3+2]cycloaddition|         22.082         13.350          8.732|         25.999         38.420        -12.421|         -3.917        -25.070         21.153|
     02_70           [3+2]cycloaddition|         43.912         33.300         10.612|         31.919         41.800         -9.881|         11.993         -8.510         20.503|
     02_71           [3+2]cycloaddition|         44.400         34.780          9.620|         30.772         40.160         -9.388|         13.628         -5.380         19.008|
     02_72           [3+2]cycloaddition|         29.213         26.380          2.833|         41.825         51.440         -9.615|        -12.612        -25.060         12.448|
     02_73           [3+2]cycloaddition|         19.513         10.060          9.453|         34.171         45.530        -11.359|        -14.658        -35.470         20.812|
     02_74           [3+2]cycloaddition|         28.250         27.860          0.390|         14.499         26.230        -11.731|         13.751          1.630         12.121|
     02_75           [3+2]cycloaddition|         20.589          9.790         10.799|         30.379         41.830        -11.451|         -9.790        -32.040         22.250|
     02_76           [3+2]cycloaddition|         20.067         20.350         -0.283|         24.196         37.370        -13.174|         -4.130        -17.020         12.890|
     02_77           [3+2]cycloaddition|         17.049          6.990         10.059|         33.990         46.280        -12.290|        -16.941        -39.300         22.359|
     02_78           [3+2]cycloaddition|         20.624         19.130          1.494|         25.626         38.270        -12.644|         -5.002        -19.140         14.138|
     02_79           [3+2]cycloaddition|         12.086          1.940         10.146|         30.338         42.250        -11.912|        -18.252        -40.310         22.058|
     02_80           [3+2]cycloaddition|         30.077         28.380          1.697|         29.375         41.250        -11.875|          0.702        -12.870         13.572|
     02_81           [3+2]cycloaddition|         22.281         11.140         11.141|         30.861         43.060        -12.199|         -8.580        -31.920         23.340|
     02_82                 Electrocyclic|         18.987         10.610          8.377|         24.297         37.950        -13.653|         -5.310        -27.340         22.030|
     02_83                 Electrocyclic|         12.005         17.650         -5.645|         45.181         44.980          0.201|        -33.176        -27.330         -5.846|
     02_84                 Electrocyclic|         26.602         26.680         -0.078|         43.455         50.510         -7.055|        -16.852        -23.830          6.978|
     02_85                 Electrocyclic|         30.561         30.660         -0.099|         44.466         51.430         -6.964|        -13.905        -20.780          6.875|
     02_86                 Electrocyclic|         31.975         27.740          4.235|         50.351         52.700         -2.349|        -18.376        -24.960          6.584|
     02_87                 Electrocyclic|         33.063         30.730          2.333|         49.165         53.650         -4.485|        -16.102        -22.910          6.808|
     02_88                 Electrocyclic|         24.248         24.910         -0.662|         45.144         51.360         -6.216|        -20.896        -26.450          5.554|
     02_89                 Electrocyclic|         27.482         28.620         -1.138|         46.366         52.880         -6.514|        -18.883        -24.260          5.377|
     02_90                 Electrocyclic|         26.620         27.430         -0.810|         45.487         52.170         -6.683|        -18.866        -24.740          5.874|
     02_91                 Electrocyclic|         30.261         31.000         -0.739|         48.033         54.550         -6.517|        -17.772        -23.550          5.778|
     02_92                 Electrocyclic|         22.663         23.660         -0.997|         48.215         53.480         -5.265|        -25.552        -29.820          4.268|
     02_93                 Electrocyclic|         27.624         28.690         -1.066|         50.148         54.950         -4.802|        -22.523        -26.260          3.737|
     02_94                 Electrocyclic|         23.931         25.600         -1.669|         48.276         54.460         -6.184|        -24.345        -28.860          4.515|
     02_95                 Electrocyclic|         26.311         28.020         -1.709|         49.602         55.880         -6.278|        -23.291        -27.860          4.569|
     02_96                 Electrocyclic|          6.226         11.390         -5.164|         15.048         15.190         -0.142|         -8.822         -3.800         -5.022|
     02_97                 Electrocyclic|         39.164         43.520         -4.356|         19.352         21.760         -2.408|         19.812         21.760         -1.948|
     02_98                 Electrocyclic|         28.697         33.080         -4.383|         48.058         45.420          2.638|        -19.360        -12.340         -7.020|
     02_99                 Electrocyclic|         41.738         44.280         -2.542|         58.267         54.350          3.917|        -16.529        -10.070         -6.459|
    02_100                 Electrocyclic|         32.844         36.070         -3.226|         19.676         19.790         -0.114|         13.168         16.280         -3.112|
    02_101                 Electrocyclic|         39.640         41.800         -2.160|         48.274         45.810          2.464|         -8.634         -4.010         -4.624|
