,Name,Type,b97m-v-DFT-forward,REF-forward,b97m-v-DELTA-forward,b97m-v-DFT-reverse,REF-reverse,b97m-v-DELTA-reverse,b97m-v-DFT-reaction,REF-reaction,b97m-v-DELTA-reaction
0,02_1,Diels-Alder,3.699,8.1,-4.401,33.697,43.77,-10.073,-29.998,-35.66,5.662
1,02_2,Diels-Alder,5.025,8.85,-3.825,33.793,43.49,-9.697,-28.768,-34.63,5.862
2,02_3,Diels-Alder,5.564,11.45,-5.886,36.62,47.83,-11.210,-31.055,-36.38,5.325
3,02_4,Diels-Alder,3.969,10.15,-6.181,36.0,47.06,-11.060,-32.031,-36.92,4.889
4,02_5,Diels-Alder,23.743,26.57,-2.827,93.407,93.72,-0.313,-69.663,-67.15,-2.513
5,02_6,Diels-Alder,23.071,26.77,-3.699,60.769,62.05,-1.281,-37.699,-35.27,-2.429
6,02_7,Diels-Alder,12.222,19.07,-6.848,23.51,39.4,-15.890,-11.287,-20.32,9.033
7,02_8,Diels-Alder,8.374,12.2,-3.826,25.777,36.77,-10.993,-17.403,-24.57,7.167
8,02_9,Diels-Alder,14.012,17.83,-3.818,38.211,47.85,-9.639,-24.199,-30.02,5.821
9,02_10,Diels-Alder,16.975,19.75,-2.775,41.559,50.92,-9.361,-24.584,-31.17,6.586
10,02_11,Diels-Alder,20.316,23.08,-2.764,35.637,45.7,-10.063,-15.321,-22.62,7.299
11,02_12,Diels-Alder,22.012,24.51,-2.498,35.16,44.87,-9.710,-13.148,-20.36,7.212
12,02_13,Diels-Alder,23.18,24.9,-1.720,54.935,60.92,-5.985,-31.754,-36.03,4.276
13,02_14,Diels-Alder,20.711,21.97,-1.259,54.646,60.48,-5.834,-33.936,-38.51,4.574
14,02_15,Diels-Alder,22.554,25.29,-2.736,52.475,60.68,-8.205,-29.921,-35.39,5.469
15,02_16,Diels-Alder,21.542,23.43,-1.888,44.997,53.32,-8.323,-23.455,-29.89,6.435
16,02_17,Diels-Alder,13.799,15.27,-1.471,53.878,59.46,-5.582,-40.079,-44.18,4.101
17,02_18,Diels-Alder,18.936,19.86,-0.924,65.126,70.4,-5.274,-46.19,-50.54,4.350
18,02_19,Diels-Alder,17.118,22.04,-4.922,48.043,59.33,-11.287,-30.925,-37.29,6.365
19,02_20,Diels-Alder,16.915,19.1,-2.185,49.281,56.89,-7.609,-32.366,-37.79,5.424
20,02_21,Diels-Alder,11.394,12.4,-1.006,56.562,62.14,-5.578,-45.168,-49.74,4.572
21,02_22,Diels-Alder,6.645,8.83,-2.185,66.513,68.85,-2.337,-59.868,-60.01,0.142
22,02_23,Diels-Alder,23.238,24.81,-1.572,51.933,57.02,-5.087,-28.695,-32.21,3.515
23,02_24,Diels-Alder,25.442,26.62,-1.178,70.716,73.95,-3.234,-45.273,-47.33,2.057
24,02_25,Diels-Alder,22.487,23.55,-1.063,48.477,54.52,-6.043,-25.99,-30.97,4.980
25,02_26,Diels-Alder,27.339,27.83,-0.491,41.515,47.79,-6.275,-14.176,-19.96,5.784
26,02_27,Diels-Alder,28.633,29.6,-0.967,43.508,50.22,-6.712,-14.875,-20.62,5.745
27,02_28,Diels-Alder,23.697,21.69,2.007,30.733,38.32,-7.587,-7.035,-16.63,9.595
28,02_29,Diels-Alder,1.681,1.65,0.031,31.623,35.57,-3.947,-29.942,-33.92,3.978
29,02_30,Diels-Alder,7.402,7.98,-0.578,54.422,55.02,-0.598,-47.02,-47.04,0.020
30,02_31,Diels-Alder,15.636,15.12,0.516,35.195,36.68,-1.485,-19.559,-21.56,2.001
31,02_32,Diels-Alder,6.542,6.61,-0.068,49.908,54.79,-4.882,-43.366,-48.18,4.814
32,02_33,Diels-Alder,10.37,11.62,-1.250,43.49,53.25,-9.760,-33.12,-41.63,8.510
33,02_34,Diels-Alder,17.597,18.28,-0.683,25.493,30.48,-4.987,-7.896,-12.21,4.314
34,02_35,Diels-Alder,15.637,16.53,-0.893,24.416,29.81,-5.394,-8.78,-13.28,4.500
35,02_36,Diels-Alder,13.359,15.49,-2.131,28.734,33.65,-4.916,-15.375,-18.16,2.785
36,02_37,Diels-Alder,15.047,17.0,-1.953,29.862,34.43,-4.568,-14.815,-17.43,2.615
37,02_38,Diels-Alder,18.469,22.73,-4.261,29.655,36.09,-6.435,-11.186,-13.36,2.174
38,02_39,Diels-Alder,32.144,37.42,-5.276,30.8,39.32,-8.520,1.344,-1.9,3.244
39,02_40,Diels-Alder,11.819,14.26,-2.441,19.801,27.77,-7.969,-7.982,-13.51,5.528
40,02_41,Diels-Alder,27.907,28.06,-0.153,23.08,31.78,-8.700,4.827,-3.72,8.547
41,02_42,Diels-Alder,8.113,8.58,-0.467,42.176,47.74,-5.564,-34.063,-39.15,5.087
42,02_43,Diels-Alder,16.781,16.35,0.431,43.729,48.76,-5.031,-26.949,-32.41,5.461
43,02_44,Diels-Alder,15.462,16.64,-1.178,47.544,53.18,-5.636,-32.082,-36.54,4.458
44,02_45,Diels-Alder,15.53,16.98,-1.450,56.24,59.46,-3.220,-40.711,-42.48,1.769
45,02_46,Diels-Alder,25.595,26.48,-0.885,44.43,51.36,-6.930,-18.835,-24.88,6.045
46,02_47,Diels-Alder,-3.216,-1.34,-1.876,89.522,88.51,1.012,-92.738,-89.85,-2.888
47,02_48,Diels-Alder,-0.245,1.98,-2.225,84.009,86.44,-2.431,-84.254,-84.47,0.216
48,02_49,Diels-Alder,10.602,13.95,-3.348,38.544,47.2,-8.656,-27.942,-33.24,5.298
49,02_50,[3+2]cycloaddition,18.541,18.44,0.101,30.434,35.48,-5.046,-11.892,-17.04,5.148
