      NAME                          TYPE|                                   FORWARD BH|                                   REVERSE BH|                              REACTION ENERGY|
                                        |            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|
      02_1                   Diels-Alder|         19.416          8.100         11.316|         43.705         43.770         -0.065|        -24.289        -35.660         11.371|
      02_2                   Diels-Alder|         20.709          8.850         11.859|         43.840         43.490          0.350|        -23.130        -34.630         11.500|
      02_3                   Diels-Alder|         22.552         11.450         11.102|         48.761         47.830          0.931|        -26.208        -36.380         10.172|
      02_4                   Diels-Alder|         20.749         10.150         10.599|         47.992         47.060          0.932|        -27.243        -36.920          9.677|
      02_5                   Diels-Alder|         28.789         26.570          2.219|         96.819         93.720          3.099|        -68.029        -67.150         -0.879|
      02_6                   Diels-Alder|         29.765         26.770          2.995|         65.348         62.050          3.298|        -35.583        -35.270         -0.313|
      02_7                   Diels-Alder|         26.466         19.070          7.396|         39.266         39.400         -0.134|        -12.800        -20.320          7.520|
      02_8                   Diels-Alder|         16.793         12.200          4.593|         32.345         36.770         -4.425|        -15.552        -24.570          9.018|
      02_9                   Diels-Alder|         25.355         17.830          7.525|         45.504         47.850         -2.346|        -20.149        -30.020          9.871|
     02_10                   Diels-Alder|         29.184         19.750          9.434|         48.347         50.920         -2.573|        -19.163        -31.170         12.007|
     02_11                   Diels-Alder|         33.474         23.080         10.394|         43.902         45.700         -1.798|        -10.427        -22.620         12.193|
     02_12                   Diels-Alder|         32.509         24.510          7.999|         43.318         44.870         -1.552|        -10.809        -20.360          9.551|
     02_13                   Diels-Alder|         32.119         24.900          7.219|         60.217         60.920         -0.703|        -28.097        -36.030          7.933|
     02_14                   Diels-Alder|         30.139         21.970          8.169|         60.111         60.480         -0.369|        -29.972        -38.510          8.538|
     02_15                   Diels-Alder|         34.259         25.290          8.969|         59.048         60.680         -1.632|        -24.789        -35.390         10.601|
     02_16                   Diels-Alder|         28.768         23.430          5.338|         51.291         53.320         -2.029|        -22.523        -29.890          7.367|
     02_17                   Diels-Alder|         20.084         15.270          4.814|         58.754         59.460         -0.706|        -38.670        -44.180          5.510|
     02_18                   Diels-Alder|         24.219         19.860          4.359|         69.399         70.400         -1.001|        -45.180        -50.540          5.360|
     02_19                   Diels-Alder|         28.776         22.040          6.736|         59.177         59.330         -0.153|        -30.401        -37.290          6.889|
     02_20                   Diels-Alder|         25.664         19.100          6.564|         58.380         56.890          1.490|        -32.716        -37.790          5.074|
     02_21                   Diels-Alder|         15.722         12.400          3.322|         61.625         62.140         -0.515|        -45.904        -49.740          3.836|
     02_22                   Diels-Alder|         10.001          8.830          1.171|         69.627         68.850          0.777|        -59.626        -60.010          0.384|
     02_23                   Diels-Alder|         30.542         24.810          5.732|         57.042         57.020          0.022|        -26.500        -32.210          5.710|
     02_24                   Diels-Alder|         32.175         26.620          5.555|         73.817         73.950         -0.133|        -41.642        -47.330          5.688|
     02_25                   Diels-Alder|         29.640         23.550          6.090|         54.947         54.520          0.427|        -25.307        -30.970          5.663|
     02_26                   Diels-Alder|         35.112         27.830          7.282|         47.598         47.790         -0.192|        -12.486        -19.960          7.474|
     02_27                   Diels-Alder|         36.782         29.600          7.182|         49.513         50.220         -0.707|        -12.731        -20.620          7.889|
     02_28                   Diels-Alder|         28.153         21.690          6.463|         36.633         38.320         -1.687|         -8.480        -16.630          8.150|
     02_29                   Diels-Alder|         13.731          1.650         12.081|         33.708         35.570         -1.862|        -19.977        -33.920         13.943|
     02_30                   Diels-Alder|         18.767          7.980         10.787|         51.261         55.020         -3.759|        -32.494        -47.040         14.546|
     02_31                   Diels-Alder|         28.330         15.120         13.210|         31.026         36.680         -5.654|         -2.695        -21.560         18.865|
     02_32                   Diels-Alder|         17.356          6.610         10.746|         50.636         54.790         -4.154|        -33.280        -48.180         14.900|
     02_33                   Diels-Alder|         16.612         11.620          4.992|         52.166         53.250         -1.084|        -35.554        -41.630          6.076|
     02_34                   Diels-Alder|         21.420         18.280          3.140|         28.641         30.480         -1.839|         -7.220        -12.210          4.990|
     02_35                   Diels-Alder|         19.201         16.530          2.671|         28.176         29.810         -1.634|         -8.975        -13.280          4.305|
     02_36                   Diels-Alder|         17.258         15.490          1.768|         31.889         33.650         -1.761|        -14.631        -18.160          3.529|
     02_37                   Diels-Alder|         19.059         17.000          2.059|         31.886         34.430         -2.544|        -12.827        -17.430          4.603|
     02_38                   Diels-Alder|         28.401         22.730          5.671|         36.315         36.090          0.225|         -7.914        -13.360          5.446|
     02_39                   Diels-Alder|         42.378         37.420          4.958|         39.009         39.320         -0.311|          3.369         -1.900          5.269|
     02_40                   Diels-Alder|         26.033         14.260         11.773|         24.569         27.770         -3.201|          1.463        -13.510         14.973|
     02_41                   Diels-Alder|         40.668         28.060         12.608|         28.453         31.780         -3.327|         12.215         -3.720         15.935|
     02_42                   Diels-Alder|         18.601          8.580         10.021|         47.296         47.740         -0.444|        -28.695        -39.150         10.455|
     02_43                   Diels-Alder|         26.699         16.350         10.349|         48.636         48.760         -0.124|        -21.936        -32.410         10.474|
     02_44                   Diels-Alder|         25.308         16.640          8.668|         52.161         53.180         -1.019|        -26.853        -36.540          9.687|
     02_45                   Diels-Alder|         23.254         16.980          6.274|         59.304         59.460         -0.156|        -36.050        -42.480          6.430|
     02_46                   Diels-Alder|         35.087         26.480          8.607|         50.623         51.360         -0.737|        -15.536        -24.880          9.344|
     02_47                   Diels-Alder|          3.862         -1.340          5.202|         85.994         88.510         -2.516|        -82.132        -89.850          7.718|
     02_48                   Diels-Alder|          8.030          1.980          6.050|         84.729         86.440         -1.711|        -76.699        -84.470          7.771|
     02_49                   Diels-Alder|         25.751         13.950         11.801|         47.144         47.200         -0.056|        -21.392        -33.240         11.848|
     02_50           [3+2]cycloaddition|         22.885         18.440          4.445|         34.264         35.480         -1.216|        -11.379        -17.040          5.661|
     02_51           [3+2]cycloaddition|          2.933         -1.950          4.883|         22.956         24.260         -1.304|        -20.023        -26.210          6.187|
     02_52           [3+2]cycloaddition|         19.563         12.390          7.173|         36.608         36.110          0.498|        -17.045        -23.720          6.675|
     02_53           [3+2]cycloaddition|         17.874         10.450          7.424|         35.571         35.890         -0.319|        -17.697        -25.440          7.743|
     02_54           [3+2]cycloaddition|          4.607         -0.120          4.727|         24.963         26.380         -1.417|        -20.355        -26.500          6.145|
     02_55           [3+2]cycloaddition|         17.220         12.650          4.570|         54.994         52.780          2.214|        -37.774        -40.120          2.346|
     02_56           [3+2]cycloaddition|         15.576         11.600          3.976|         94.548         91.820          2.728|        -78.972        -80.210          1.238|
