,Name,Type,m062x-DFT-forward,REF-forward,m062x-DELTA-forward,m062x-DFT-reverse,REF-reverse,m062x-DELTA-reverse,m062x-DFT-reaction,REF-reaction,m062x-DELTA-reaction
0,02_1,Diels-Alder,7.405,8.1,-0.695,40.423,43.77,-3.347,-33.018,-35.66,2.642
1,02_2,Diels-Alder,8.172,8.85,-0.678,40.016,43.49,-3.474,-31.843,-34.63,2.787
2,02_3,Diels-Alder,11.335,11.45,-0.115,46.196,47.83,-1.634,-34.861,-36.38,1.519
3,02_4,Diels-Alder,9.486,10.15,-0.664,44.877,47.06,-2.183,-35.391,-36.92,1.529
4,02_5,Diels-Alder,28.09,26.57,1.520,93.784,93.72,0.064,-65.694,-67.15,1.456
5,02_6,Diels-Alder,29.567,26.77,2.797,62.413,62.05,0.363,-32.846,-35.27,2.424
6,02_7,Diels-Alder,19.207,19.07,0.137,35.84,39.4,-3.560,-16.633,-20.32,3.687
7,02_8,Diels-Alder,11.925,12.2,-0.275,32.88,36.77,-3.890,-20.955,-24.57,3.615
8,02_9,Diels-Alder,17.17,17.83,-0.660,45.813,47.85,-2.037,-28.643,-30.02,1.377
9,02_10,Diels-Alder,19.498,19.75,-0.252,48.361,50.92,-2.559,-28.863,-31.17,2.307
10,02_11,Diels-Alder,22.903,23.08,-0.177,43.263,45.7,-2.437,-20.36,-22.62,2.260
11,02_12,Diels-Alder,23.951,24.51,-0.559,42.156,44.87,-2.714,-18.205,-20.36,2.155
12,02_13,Diels-Alder,23.808,24.9,-1.092,58.524,60.92,-2.396,-34.716,-36.03,1.314
13,02_14,Diels-Alder,22.054,21.97,0.084,58.351,60.48,-2.129,-36.298,-38.51,2.212
14,02_15,Diels-Alder,23.997,25.29,-1.293,57.862,60.68,-2.818,-33.864,-35.39,1.526
15,02_16,Diels-Alder,24.035,23.43,0.605,50.336,53.32,-2.984,-26.301,-29.89,3.589
16,02_17,Diels-Alder,15.546,15.27,0.276,56.023,59.46,-3.437,-40.477,-44.18,3.703
17,02_18,Diels-Alder,21.021,19.86,1.161,67.672,70.4,-2.728,-46.651,-50.54,3.889
18,02_19,Diels-Alder,23.222,22.04,1.182,56.968,59.33,-2.362,-33.747,-37.29,3.543
19,02_20,Diels-Alder,20.556,19.1,1.456,55.484,56.89,-1.406,-34.928,-37.79,2.862
20,02_21,Diels-Alder,13.407,12.4,1.007,59.318,62.14,-2.822,-45.911,-49.74,3.829
21,02_22,Diels-Alder,9.37,8.83,0.540,65.075,68.85,-3.775,-55.704,-60.01,4.306
22,02_23,Diels-Alder,24.604,24.81,-0.206,54.296,57.02,-2.724,-29.692,-32.21,2.518
23,02_24,Diels-Alder,26.845,26.62,0.225,70.705,73.95,-3.245,-43.861,-47.33,3.469
24,02_25,Diels-Alder,23.479,23.55,-0.071,51.916,54.52,-2.604,-28.438,-30.97,2.532
25,02_26,Diels-Alder,27.835,27.83,0.005,45.197,47.79,-2.593,-17.362,-19.96,2.598
26,02_27,Diels-Alder,29.479,29.6,-0.121,47.582,50.22,-2.638,-18.103,-20.62,2.517
27,02_28,Diels-Alder,25.296,21.69,3.606,35.118,38.32,-3.202,-9.821,-16.63,6.809
28,02_29,Diels-Alder,3.247,1.65,1.597,31.641,35.57,-3.929,-28.394,-33.92,5.526
29,02_30,Diels-Alder,9.605,7.98,1.625,50.323,55.02,-4.697,-40.717,-47.04,6.323
30,02_31,Diels-Alder,17.787,15.12,2.667,32.026,36.68,-4.654,-14.239,-21.56,7.321
31,02_32,Diels-Alder,7.907,6.61,1.297,49.173,54.79,-5.617,-41.265,-48.18,6.915
32,02_33,Diels-Alder,14.541,11.62,2.921,52.382,53.25,-0.868,-37.841,-41.63,3.789
33,02_34,Diels-Alder,18.245,18.28,-0.035,31.071,30.48,0.591,-12.826,-12.21,-0.616
34,02_35,Diels-Alder,16.796,16.53,0.266,30.632,29.81,0.822,-13.835,-13.28,-0.555
35,02_36,Diels-Alder,15.547,15.49,0.057,34.748,33.65,1.098,-19.201,-18.16,-1.041
36,02_37,Diels-Alder,16.893,17.0,-0.107,35.526,34.43,1.096,-18.634,-17.43,-1.204
37,02_38,Diels-Alder,25.385,22.73,2.655,34.729,36.09,-1.361,-9.343,-13.36,4.017
38,02_39,Diels-Alder,40.64,37.42,3.220,38.06,39.32,-1.260,2.58,-1.9,4.480
39,02_40,Diels-Alder,14.582,14.26,0.322,24.252,27.77,-3.518,-9.67,-13.51,3.840
40,02_41,Diels-Alder,30.368,28.06,2.308,27.95,31.78,-3.830,2.418,-3.72,6.138
41,02_42,Diels-Alder,8.581,8.58,0.001,45.19,47.74,-2.550,-36.609,-39.15,2.541
42,02_43,Diels-Alder,17.427,16.35,1.077,47.146,48.76,-1.614,-29.719,-32.41,2.691
43,02_44,Diels-Alder,17.219,16.64,0.579,51.231,53.18,-1.949,-34.012,-36.54,2.528
44,02_45,Diels-Alder,15.269,16.98,-1.711,57.902,59.46,-1.558,-42.634,-42.48,-0.154
45,02_46,Diels-Alder,26.684,26.48,0.204,48.641,51.36,-2.719,-21.957,-24.88,2.923
46,02_47,Diels-Alder,-1.431,-1.34,-0.091,86.766,88.51,-1.744,-88.197,-89.85,1.653
47,02_48,Diels-Alder,2.238,1.98,0.258,85.092,86.44,-1.348,-82.855,-84.47,1.615
48,02_49,Diels-Alder,13.326,13.95,-0.624,44.716,47.2,-2.484,-31.39,-33.24,1.850
49,02_50,[3+2]cycloaddition,21.023,18.44,2.583,35.156,35.48,-0.324,-14.133,-17.04,2.907
50,02_51,[3+2]cycloaddition,-1.402,-1.95,0.548,22.639,24.26,-1.621,-24.041,-26.21,2.169
51,02_52,[3+2]cycloaddition,13.263,12.39,0.873,38.181,36.11,2.071,-24.918,-23.72,-1.198
52,02_53,[3+2]cycloaddition,9.419,10.45,-1.031,35.18,35.89,-0.710,-25.76,-25.44,-0.320
53,02_54,[3+2]cycloaddition,-0.451,-0.12,-0.331,27.582,26.38,1.202,-28.033,-26.5,-1.533
54,02_55,[3+2]cycloaddition,15.661,12.65,3.011,54.575,52.78,1.795,-38.914,-40.12,1.206
55,02_56,[3+2]cycloaddition,14.646,11.6,3.046,94.912,91.82,3.092,-80.266,-80.21,-0.056
56,02_57,[3+2]cycloaddition,11.055,8.1,2.955,87.296,84.96,2.336,-76.241,-76.87,0.629
57,02_58,[3+2]cycloaddition,18.359,15.43,2.929,69.276,68.29,0.986,-50.916,-52.86,1.944
58,02_59,[3+2]cycloaddition,18.147,15.3,2.847,68.976,67.99,0.986,-50.829,-52.69,1.861
59,02_60,[3+2]cycloaddition,8.337,5.93,2.407,90.699,86.94,3.759,-82.362,-81.0,-1.362
60,02_61,[3+2]cycloaddition,1.603,0.41,1.193,53.873,56.6,-2.727,-52.27,-56.19,3.920
61,02_62,[3+2]cycloaddition,5.766,3.87,1.896,56.692,58.42,-1.728,-50.927,-54.55,3.623
62,02_63,[3+2]cycloaddition,20.184,16.87,3.314,40.634,41.5,-0.866,-20.45,-24.63,4.180
63,02_64,[3+2]cycloaddition,8.187,5.38,2.807,49.16,50.91,-1.750,-40.973,-45.54,4.567
64,02_65,[3+2]cycloaddition,10.104,8.08,2.024,54.579,56.87,-2.291,-44.475,-48.79,4.315
65,02_66,[3+2]cycloaddition,7.591,6.79,0.801,52.682,55.77,-3.088,-45.091,-48.98,3.889
