      NAME                          TYPE|                                   FORWARD BH|                                   REVERSE BH|                              REACTION ENERGY|
                                        |            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|
      02_1                   Diels-Alder|          7.405          8.100         -0.695|         40.423         43.770         -3.347|        -33.018        -35.660          2.642|
      02_2                   Diels-Alder|          8.172          8.850         -0.678|         40.016         43.490         -3.474|        -31.843        -34.630          2.787|
      02_3                   Diels-Alder|         11.335         11.450         -0.115|         46.196         47.830         -1.634|        -34.861        -36.380          1.519|
      02_4                   Diels-Alder|          9.486         10.150         -0.664|         44.877         47.060         -2.183|        -35.391        -36.920          1.529|
      02_5                   Diels-Alder|         28.090         26.570          1.520|         93.784         93.720          0.064|        -65.694        -67.150          1.456|
      02_6                   Diels-Alder|         29.567         26.770          2.797|         62.413         62.050          0.363|        -32.846        -35.270          2.424|
      02_7                   Diels-Alder|         19.207         19.070          0.137|         35.840         39.400         -3.560|        -16.633        -20.320          3.687|
      02_8                   Diels-Alder|         11.925         12.200         -0.275|         32.880         36.770         -3.890|        -20.955        -24.570          3.615|
      02_9                   Diels-Alder|         17.170         17.830         -0.660|         45.813         47.850         -2.037|        -28.643        -30.020          1.377|
     02_10                   Diels-Alder|         19.498         19.750         -0.252|         48.361         50.920         -2.559|        -28.863        -31.170          2.307|
     02_11                   Diels-Alder|         22.903         23.080         -0.177|         43.263         45.700         -2.437|        -20.360        -22.620          2.260|
     02_12                   Diels-Alder|         23.951         24.510         -0.559|         42.156         44.870         -2.714|        -18.205        -20.360          2.155|
     02_13                   Diels-Alder|         23.808         24.900         -1.092|         58.524         60.920         -2.396|        -34.716        -36.030          1.314|
     02_14                   Diels-Alder|         22.054         21.970          0.084|         58.351         60.480         -2.129|        -36.298        -38.510          2.212|
     02_15                   Diels-Alder|         23.997         25.290         -1.293|         57.862         60.680         -2.818|        -33.864        -35.390          1.526|
     02_16                   Diels-Alder|         24.035         23.430          0.605|         50.336         53.320         -2.984|        -26.301        -29.890          3.589|
     02_17                   Diels-Alder|         15.546         15.270          0.276|         56.023         59.460         -3.437|        -40.477        -44.180          3.703|
     02_18                   Diels-Alder|         21.021         19.860          1.161|         67.672         70.400         -2.728|        -46.651        -50.540          3.889|
     02_19                   Diels-Alder|         23.222         22.040          1.182|         56.968         59.330         -2.362|        -33.747        -37.290          3.543|
     02_20                   Diels-Alder|         20.556         19.100          1.456|         55.484         56.890         -1.406|        -34.928        -37.790          2.862|
     02_21                   Diels-Alder|         13.407         12.400          1.007|         59.318         62.140         -2.822|        -45.911        -49.740          3.829|
     02_22                   Diels-Alder|          9.370          8.830          0.540|         65.075         68.850         -3.775|        -55.704        -60.010          4.306|
     02_23                   Diels-Alder|         24.604         24.810         -0.206|         54.296         57.020         -2.724|        -29.692        -32.210          2.518|
     02_24                   Diels-Alder|         26.845         26.620          0.225|         70.705         73.950         -3.245|        -43.861        -47.330          3.469|
     02_25                   Diels-Alder|         23.479         23.550         -0.071|         51.916         54.520         -2.604|        -28.438        -30.970          2.532|
     02_26                   Diels-Alder|         27.835         27.830          0.005|         45.197         47.790         -2.593|        -17.362        -19.960          2.598|
     02_27                   Diels-Alder|         29.479         29.600         -0.121|         47.582         50.220         -2.638|        -18.103        -20.620          2.517|
     02_28                   Diels-Alder|         25.296         21.690          3.606|         35.118         38.320         -3.202|         -9.821        -16.630          6.809|
     02_29                   Diels-Alder|          3.247          1.650          1.597|         31.641         35.570         -3.929|        -28.394        -33.920          5.526|
     02_30                   Diels-Alder|          9.605          7.980          1.625|         50.323         55.020         -4.697|        -40.717        -47.040          6.323|
     02_31                   Diels-Alder|         17.787         15.120          2.667|         32.026         36.680         -4.654|        -14.239        -21.560          7.321|
     02_32                   Diels-Alder|          7.907          6.610          1.297|         49.173         54.790         -5.617|        -41.265        -48.180          6.915|
     02_33                   Diels-Alder|         14.541         11.620          2.921|         52.382         53.250         -0.868|        -37.841        -41.630          3.789|
     02_34                   Diels-Alder|         18.245         18.280         -0.035|         31.071         30.480          0.591|        -12.826        -12.210         -0.616|
     02_35                   Diels-Alder|         16.796         16.530          0.266|         30.632         29.810          0.822|        -13.835        -13.280         -0.555|
     02_36                   Diels-Alder|         15.547         15.490          0.057|         34.748         33.650          1.098|        -19.201        -18.160         -1.041|
     02_37                   Diels-Alder|         16.893         17.000         -0.107|         35.526         34.430          1.096|        -18.634        -17.430         -1.204|
     02_38                   Diels-Alder|         25.385         22.730          2.655|         34.729         36.090         -1.361|         -9.343        -13.360          4.017|
     02_39                   Diels-Alder|         40.640         37.420          3.220|         38.060         39.320         -1.260|          2.580         -1.900          4.480|
     02_40                   Diels-Alder|         14.582         14.260          0.322|         24.252         27.770         -3.518|         -9.670        -13.510          3.840|
     02_41                   Diels-Alder|         30.368         28.060          2.308|         27.950         31.780         -3.830|          2.418         -3.720          6.138|
     02_42                   Diels-Alder|          8.581          8.580          0.001|         45.190         47.740         -2.550|        -36.609        -39.150          2.541|
     02_43                   Diels-Alder|         17.427         16.350          1.077|         47.146         48.760         -1.614|        -29.719        -32.410          2.691|
     02_44                   Diels-Alder|         17.219         16.640          0.579|         51.231         53.180         -1.949|        -34.012        -36.540          2.528|
     02_45                   Diels-Alder|         15.269         16.980         -1.711|         57.902         59.460         -1.558|        -42.634        -42.480         -0.154|
     02_46                   Diels-Alder|         26.684         26.480          0.204|         48.641         51.360         -2.719|        -21.957        -24.880          2.923|
     02_47                   Diels-Alder|         -1.431         -1.340         -0.091|         86.766         88.510         -1.744|        -88.197        -89.850          1.653|
     02_48                   Diels-Alder|          2.238          1.980          0.258|         85.092         86.440         -1.348|        -82.855        -84.470          1.615|
