      NAME                          TYPE|                                   FORWARD BH|                                   REVERSE BH|                              REACTION ENERGY|
                                        |            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|
      02_1                   Diels-Alder|          6.968          8.100         -1.132|         29.737         43.770        -14.033|        -22.769        -35.660         12.891|
      02_2                   Diels-Alder|          8.662          8.850         -0.188|         30.109         43.490        -13.381|        -21.447        -34.630         13.183|
      02_3                   Diels-Alder|          8.018         11.450         -3.432|         32.427         47.830        -15.403|        -24.409        -36.380         11.971|
      02_4                   Diels-Alder|          6.346         10.150         -3.804|         31.835         47.060        -15.225|        -25.489        -36.920         11.431|
      02_5                   Diels-Alder|         26.078         26.570         -0.492|         90.275         93.720         -3.445|        -64.197        -67.150          2.953|
      02_6                   Diels-Alder|         25.239         26.770         -1.531|         57.394         62.050         -4.656|        -32.155        -35.270          3.115|
      02_7                   Diels-Alder|         11.848         19.070         -7.222|         18.371         39.400        -21.029|         -6.523        -20.320         13.797|
      02_8                   Diels-Alder|         10.417         12.200         -1.783|         21.936         36.770        -14.834|        -11.518        -24.570         13.052|
      02_9                   Diels-Alder|         14.725         17.830         -3.105|         34.628         47.850        -13.222|        -19.903        -30.020         10.117|
     02_10                   Diels-Alder|         17.843         19.750         -1.907|         38.182         50.920        -12.738|        -20.339        -31.170         10.831|
     02_11                   Diels-Alder|         20.361         23.080         -2.719|         32.134         45.700        -13.566|        -11.773        -22.620         10.847|
     02_12                   Diels-Alder|         21.841         24.510         -2.669|         32.093         44.870        -12.777|        -10.252        -20.360         10.108|
     02_13                   Diels-Alder|         23.908         24.900         -0.992|         51.188         60.920         -9.732|        -27.280        -36.030          8.750|
     02_14                   Diels-Alder|         22.628         21.970          0.658|         50.869         60.480         -9.611|        -28.241        -38.510         10.269|
     02_15                   Diels-Alder|         23.272         25.290         -2.018|         48.547         60.680        -12.133|        -25.275        -35.390         10.115|
     02_16                   Diels-Alder|         23.556         23.430          0.126|         40.861         53.320        -12.459|        -17.305        -29.890         12.585|
     02_17                   Diels-Alder|         14.558         15.270         -0.712|         49.666         59.460         -9.794|        -35.108        -44.180          9.072|
     02_18                   Diels-Alder|         20.651         19.860          0.791|         61.208         70.400         -9.192|        -40.557        -50.540          9.983|
     02_19                   Diels-Alder|         18.714         22.040         -3.326|         42.695         59.330        -16.635|        -23.981        -37.290         13.309|
     02_20                   Diels-Alder|         19.630         19.100          0.530|         44.396         56.890        -12.494|        -24.765        -37.790         13.025|
     02_21                   Diels-Alder|         13.359         12.400          0.959|         54.213         62.140         -7.927|        -40.854        -49.740          8.886|
     02_22                   Diels-Alder|          9.819          8.830          0.989|         62.299         68.850         -6.551|        -52.479        -60.010          7.531|
     02_23                   Diels-Alder|         24.818         24.810          0.008|         49.966         57.020         -7.054|        -25.148        -32.210          7.062|
     02_24                   Diels-Alder|         27.119         26.620          0.499|         65.817         73.950         -8.133|        -38.698        -47.330          8.632|
     02_25                   Diels-Alder|         24.188         23.550          0.638|         45.325         54.520         -9.195|        -21.137        -30.970          9.833|
     02_26                   Diels-Alder|         28.766         27.830          0.936|         38.897         47.790         -8.893|        -10.130        -19.960          9.830|
     02_27                   Diels-Alder|         29.541         29.600         -0.059|         41.187         50.220         -9.033|        -11.646        -20.620          8.974|
     02_28                   Diels-Alder|         26.565         21.690          4.875|         27.636         38.320        -10.684|         -1.071        -16.630         15.559|
     02_29                   Diels-Alder|          4.840          1.650          3.190|         29.190         35.570         -6.380|        -24.351        -33.920          9.569|
     02_30                   Diels-Alder|         10.341          7.980          2.361|         51.723         55.020         -3.297|        -41.382        -47.040          5.658|
     02_31                   Diels-Alder|         19.195         15.120          4.075|         32.682         36.680         -3.998|        -13.487        -21.560          8.073|
     02_32                   Diels-Alder|          9.005          6.610          2.395|         45.427         54.790         -9.363|        -36.421        -48.180         11.759|
     02_33                   Diels-Alder|         12.450         11.620          0.830|         38.385         53.250        -14.865|        -25.934        -41.630         15.696|
     02_34                   Diels-Alder|         17.567         18.280         -0.713|         23.933         30.480         -6.547|         -6.366        -12.210          5.844|
     02_35                   Diels-Alder|         15.803         16.530         -0.727|         23.150         29.810         -6.660|         -7.347        -13.280          5.933|
     02_36                   Diels-Alder|         13.346         15.490         -2.144|         27.085         33.650         -6.565|        -13.739        -18.160          4.421|
     02_37                   Diels-Alder|         14.947         17.000         -2.053|         28.124         34.430         -6.306|        -13.178        -17.430          4.252|
     02_38                   Diels-Alder|         20.479         22.730         -2.251|         23.556         36.090        -12.534|         -3.077        -13.360         10.283|
     02_39                   Diels-Alder|         34.558         37.420         -2.862|         24.860         39.320        -14.460|          9.698         -1.900         11.598|
     02_40                   Diels-Alder|         14.849         14.260          0.589|         15.793         27.770        -11.977|         -0.944        -13.510         12.566|
     02_41                   Diels-Alder|         31.889         28.060          3.829|         18.804         31.780        -12.976|         13.085         -3.720         16.805|
     02_42                   Diels-Alder|         10.849          8.580          2.269|         40.001         47.740         -7.739|        -29.152        -39.150          9.998|
     02_43                   Diels-Alder|         19.606         16.350          3.256|         41.702         48.760         -7.058|        -22.096        -32.410         10.314|
     02_44                   Diels-Alder|         17.950         16.640          1.310|         44.771         53.180         -8.409|        -26.822        -36.540          9.718|
     02_45                   Diels-Alder|         16.202         16.980         -0.778|         53.925         59.460         -5.535|        -37.723        -42.480          4.757|
     02_46                   Diels-Alder|         26.422         26.480         -0.058|         40.817         51.360        -10.543|        -14.395        -24.880         10.485|
     02_47                   Diels-Alder|         -2.781         -1.340         -1.441|         84.331         88.510         -4.179|        -87.112        -89.850          2.738|
     02_48                   Diels-Alder|          1.813          1.980         -0.167|         77.643         86.440         -8.797|        -75.829        -84.470          8.641|
     02_49                   Diels-Alder|         13.302         13.950         -0.648|         35.477         47.200        -11.723|        -22.175        -33.240         11.065|
     02_50           [3+2]cycloaddition|         21.520         18.440          3.080|         27.038         35.480         -8.442|         -5.518        -17.040         11.522|
     02_51           [3+2]cycloaddition|          1.089         -1.950          3.039|         15.529         24.260         -8.731|        -14.440        -26.210         11.770|
     02_52           [3+2]cycloaddition|         14.835         12.390          2.445|         26.354         36.110         -9.756|        -11.519        -23.720         12.201|
     02_53           [3+2]cycloaddition|         14.587         10.450          4.137|         25.396         35.890        -10.494|        -10.809        -25.440         14.631|
     02_54           [3+2]cycloaddition|          4.975         -0.120          5.095|         17.266         26.380         -9.114|        -12.291        -26.500         14.209|
     02_55           [3+2]cycloaddition|         14.565         12.650          1.915|         39.590         52.780        -13.190|        -25.025        -40.120         15.095|
     02_56           [3+2]cycloaddition|         13.740         11.600          2.140|         82.164         91.820         -9.656|        -68.424        -80.210         11.786|
     02_57           [3+2]cycloaddition|         11.882          8.100          3.782|         74.266         84.960        -10.694|        -62.383        -76.870         14.487|
