      NAME                          TYPE|                                   FORWARD BH|                                   REVERSE BH|                              REACTION ENERGY|
                                        |            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|
      02_1                   Diels-Alder|         11.619          8.100          3.519|         40.114         43.770         -3.656|        -28.495        -35.660          7.165|
      02_2                   Diels-Alder|         12.910          8.850          4.060|         40.206         43.490         -3.284|        -27.297        -34.630          7.333|
      02_3                   Diels-Alder|         13.841         11.450          2.391|         45.713         47.830         -2.117|        -31.873        -36.380          4.507|
      02_4                   Diels-Alder|         12.242         10.150          2.092|         45.344         47.060         -1.716|        -33.102        -36.920          3.818|
      02_5                   Diels-Alder|         21.697         26.570         -4.873|         99.100         93.720          5.380|        -77.404        -67.150        -10.254|
      02_6                   Diels-Alder|         22.049         26.770         -4.721|         66.154         62.050          4.104|        -44.105        -35.270         -8.835|
      02_7                   Diels-Alder|         17.060         19.070         -2.010|         34.462         39.400         -4.938|        -17.402        -20.320          2.918|
      02_8                   Diels-Alder|          9.553         12.200         -2.647|         31.142         36.770         -5.628|        -21.588        -24.570          2.982|
      02_9                   Diels-Alder|         17.308         17.830         -0.522|         43.254         47.850         -4.596|        -25.947        -30.020          4.073|
     02_10                   Diels-Alder|         21.414         19.750          1.664|         46.210         50.920         -4.710|        -24.796        -31.170          6.374|
     02_11                   Diels-Alder|         25.386         23.080          2.306|         41.310         45.700         -4.390|        -15.924        -22.620          6.696|
     02_12                   Diels-Alder|         24.638         24.510          0.128|         40.571         44.870         -4.299|        -15.933        -20.360          4.427|
     02_13                   Diels-Alder|         24.927         24.900          0.027|         58.888         60.920         -2.032|        -33.961        -36.030          2.069|
     02_14                   Diels-Alder|         23.011         21.970          1.041|         58.589         60.480         -1.891|        -35.578        -38.510          2.932|
     02_15                   Diels-Alder|         26.125         25.290          0.835|         57.237         60.680         -3.443|        -31.112        -35.390          4.278|
     02_16                   Diels-Alder|         21.026         23.430         -2.404|         49.540         53.320         -3.780|        -28.513        -29.890          1.377|
     02_17                   Diels-Alder|         12.504         15.270         -2.766|         58.190         59.460         -1.270|        -45.686        -44.180         -1.506|
     02_18                   Diels-Alder|         17.347         19.860         -2.513|         68.729         70.400         -1.671|        -51.382        -50.540         -0.842|
     02_19                   Diels-Alder|         19.889         22.040         -2.151|         55.910         59.330         -3.420|        -36.022        -37.290          1.268|
     02_20                   Diels-Alder|         17.533         19.100         -1.567|         55.677         56.890         -1.213|        -38.144        -37.790         -0.354|
     02_21                   Diels-Alder|          8.417         12.400         -3.983|         60.795         62.140         -1.345|        -52.378        -49.740         -2.638|
     02_22                   Diels-Alder|          3.637          8.830         -5.193|         70.228         68.850          1.378|        -66.591        -60.010         -6.581|
     02_23                   Diels-Alder|         22.158         24.810         -2.652|         55.995         57.020         -1.025|        -33.837        -32.210         -1.627|
     02_24                   Diels-Alder|         24.988         26.620         -1.632|         73.682         73.950         -0.268|        -48.694        -47.330         -1.364|
     02_25                   Diels-Alder|         22.015         23.550         -1.535|         52.919         54.520         -1.601|        -30.903        -30.970          0.067|
     02_26                   Diels-Alder|         27.367         27.830         -0.463|         45.946         47.790         -1.844|        -18.579        -19.960          1.381|
     02_27                   Diels-Alder|         28.796         29.600         -0.804|         47.860         50.220         -2.360|        -19.064        -20.620          1.556|
     02_28                   Diels-Alder|         21.072         21.690         -0.618|         35.253         38.320         -3.067|        -14.180        -16.630          2.450|
     02_29                   Diels-Alder|          6.590          1.650          4.940|         32.876         35.570         -2.694|        -26.286        -33.920          7.634|
     02_30                   Diels-Alder|         12.273          7.980          4.293|         53.926         55.020         -1.094|        -41.653        -47.040          5.387|
     02_31                   Diels-Alder|         22.015         15.120          6.895|         34.803         36.680         -1.877|        -12.788        -21.560          8.772|
     02_32                   Diels-Alder|         11.152          6.610          4.542|         51.290         54.790         -3.500|        -40.138        -48.180          8.042|
     02_33                   Diels-Alder|         11.818         11.620          0.198|         50.394         53.250         -2.856|        -38.576        -41.630          3.054|
     02_34                   Diels-Alder|         18.436         18.280          0.156|         27.722         30.480         -2.758|         -9.286        -12.210          2.924|
     02_35                   Diels-Alder|         16.419         16.530         -0.111|         27.513         29.810         -2.297|        -11.094        -13.280          2.186|
     02_36                   Diels-Alder|         14.466         15.490         -1.024|         31.476         33.650         -2.174|        -17.009        -18.160          1.151|
     02_37                   Diels-Alder|         16.161         17.000         -0.839|         31.393         34.430         -3.037|        -15.231        -17.430          2.199|
     02_38                   Diels-Alder|         21.033         22.730         -1.697|         35.780         36.090         -0.310|        -14.747        -13.360         -1.387|
     02_39                   Diels-Alder|         33.515         37.420         -3.905|         36.798         39.320         -2.522|         -3.283         -1.900         -1.383|
     02_40                   Diels-Alder|         18.670         14.260          4.410|         22.706         27.770         -5.064|         -4.035        -13.510          9.475|
     02_41                   Diels-Alder|         33.554         28.060          5.494|         25.604         31.780         -6.176|          7.950         -3.720         11.670|
     02_42                   Diels-Alder|         11.257          8.580          2.677|         46.899         47.740         -0.841|        -35.642        -39.150          3.508|
     02_43                   Diels-Alder|         19.203         16.350          2.853|         47.847         48.760         -0.913|        -28.644        -32.410          3.766|
     02_44                   Diels-Alder|         17.782         16.640          1.142|         51.071         53.180         -2.109|        -33.289        -36.540          3.251|
     02_45                   Diels-Alder|         15.765         16.980         -1.215|         60.423         59.460          0.963|        -44.658        -42.480         -2.178|
     02_46                   Diels-Alder|         26.472         26.480         -0.008|         48.808         51.360         -2.552|        -22.335        -24.880          2.545|
     02_47                   Diels-Alder|          0.721         -1.340          2.061|         90.216         88.510          1.706|        -89.495        -89.850          0.355|
     02_48                   Diels-Alder|          3.859          1.980          1.879|         86.601         86.440          0.161|        -82.742        -84.470          1.728|
     02_49                   Diels-Alder|         16.621         13.950          2.671|         45.309         47.200         -1.891|        -28.688        -33.240          4.552|
     02_50           [3+2]cycloaddition|         18.226         18.440         -0.214|         33.585         35.480         -1.895|        -15.359        -17.040          1.681|
     02_51           [3+2]cycloaddition|         -0.126         -1.950          1.824|         23.559         24.260         -0.701|        -23.685        -26.210          2.525|
     02_52           [3+2]cycloaddition|         15.095         12.390          2.705|         34.383         36.110         -1.727|        -19.288        -23.720          4.432|
     02_53           [3+2]cycloaddition|         14.333         10.450          3.883|         33.457         35.890         -2.433|        -19.124        -25.440          6.316|
     02_54           [3+2]cycloaddition|          2.928         -0.120          3.048|         24.466         26.380         -1.914|        -21.539        -26.500          4.961|
     02_55           [3+2]cycloaddition|         14.289         12.650          1.639|         53.817         52.780          1.037|        -39.528        -40.120          0.592|
     02_56           [3+2]cycloaddition|         12.791         11.600          1.191|         96.006         91.820          4.186|        -83.216        -80.210         -3.006|
     02_57           [3+2]cycloaddition|         11.504          8.100          3.404|         89.101         84.960          4.141|        -77.597        -76.870         -0.727|
     02_58           [3+2]cycloaddition|         17.038         15.430          1.608|         69.475         68.290          1.185|        -52.438        -52.860          0.422|
     02_59           [3+2]cycloaddition|         16.959         15.300          1.659|         68.825         67.990          0.835|        -51.866        -52.690          0.824|
     02_60           [3+2]cycloaddition|          8.752          5.930          2.822|         91.008         86.940          4.068|        -82.256        -81.000         -1.256|
     02_61           [3+2]cycloaddition|          3.704          0.410          3.294|         52.413         56.600         -4.187|        -48.709        -56.190          7.481|
     02_62           [3+2]cycloaddition|          7.817          3.870          3.947|         55.137         58.420         -3.283|        -47.320        -54.550          7.230|
     02_63           [3+2]cycloaddition|         16.279         16.870         -0.591|         39.862         41.500         -1.638|        -23.583        -24.630          1.047|
     02_64           [3+2]cycloaddition|          5.333          5.380         -0.047|         48.424         50.910         -2.486|        -43.091        -45.540          2.449|
     02_65           [3+2]cycloaddition|          7.778          8.080         -0.302|         53.743         56.870         -3.127|        -45.965        -48.790          2.825|
     02_66           [3+2]cycloaddition|          7.594          6.790          0.804|         51.740         55.770         -4.030|        -44.146        -48.980          4.834|
     02_67           [3+2]cycloaddition|         11.211          6.930          4.281|         29.910         34.090         -4.180|        -18.699        -27.160          8.461|
     02_68           [3+2]cycloaddition|         13.595          8.700          4.895|         30.948         35.150         -4.202|        -17.354        -26.450          9.096|
     02_69           [3+2]cycloaddition|         17.963         13.350          4.613|         35.453         38.420         -2.967|        -17.490        -25.070          7.580|
     02_70           [3+2]cycloaddition|         38.465         33.300          5.165|         39.630         41.800         -2.170|         -1.165         -8.510          7.345|
     02_71           [3+2]cycloaddition|         39.291         34.780          4.511|         38.093         40.160         -2.067|          1.198         -5.380          6.578|
     02_72           [3+2]cycloaddition|         26.515         26.380          0.135|         50.080         51.440         -1.360|        -23.565        -25.060          1.495|
     02_73           [3+2]cycloaddition|         12.602         10.060          2.542|         41.874         45.530         -3.656|        -29.272        -35.470          6.198|
     02_74           [3+2]cycloaddition|         23.924         27.860         -3.936|         21.575         26.230         -4.655|          2.348          1.630          0.718|
     02_75           [3+2]cycloaddition|         13.115          9.790          3.325|         38.150         41.830         -3.680|        -25.035        -32.040          7.005|
     02_76           [3+2]cycloaddition|         16.336         20.350         -4.014|         32.122         37.370         -5.248|        -15.786        -17.020          1.234|
     02_77           [3+2]cycloaddition|         10.152          6.990          3.162|         42.357         46.280         -3.923|        -32.205        -39.300          7.095|
     02_78           [3+2]cycloaddition|         16.093         19.130         -3.037|         33.603         38.270         -4.667|        -17.511        -19.140          1.629|
     02_79           [3+2]cycloaddition|          5.491          1.940          3.551|         38.642         42.250         -3.608|        -33.151        -40.310          7.159|
     02_80           [3+2]cycloaddition|         26.035         28.380         -2.345|         37.015         41.250         -4.235|        -10.980        -12.870          1.890|
     02_81           [3+2]cycloaddition|         14.739         11.140          3.599|         38.742         43.060         -4.318|        -24.003        -31.920          7.917|
     02_82                 Electrocyclic|         12.588         10.610          1.978|         32.836         37.950         -5.114|        -20.248        -27.340          7.092|
     02_83                 Electrocyclic|         16.104         17.650         -1.546|         44.718         44.980         -0.262|        -28.615        -27.330         -1.285|
     02_84                 Electrocyclic|         24.116         26.680         -2.564|         48.169         50.510         -2.341|        -24.052        -23.830         -0.222|
     02_85                 Electrocyclic|         27.874         30.660         -2.786|         49.160         51.430         -2.270|        -21.286        -20.780         -0.506|
     02_86                 Electrocyclic|         28.512         27.740          0.772|         53.825         52.700          1.125|        -25.313        -24.960         -0.353|
     02_87                 Electrocyclic|         29.747         30.730         -0.983|         53.058         53.650         -0.592|        -23.311        -22.910         -0.401|
     02_88                 Electrocyclic|         21.769         24.910         -3.141|         49.617         51.360         -1.743|        -27.848        -26.450         -1.398|
     02_89                 Electrocyclic|         24.862         28.620         -3.758|         50.917         52.880         -1.963|        -26.056        -24.260         -1.796|
     02_90                 Electrocyclic|         24.466         27.430         -2.964|         50.024         52.170         -2.146|        -25.558        -24.740         -0.818|
     02_91                 Electrocyclic|         27.875         31.000         -3.125|         52.522         54.550         -2.028|        -24.648        -23.550         -1.098|
     02_92                 Electrocyclic|         19.921         23.660         -3.739|         52.165         53.480         -1.315|        -32.244        -29.820         -2.424|
     02_93                 Electrocyclic|         25.051         28.690         -3.639|         53.923         54.950         -1.027|        -28.872        -26.260         -2.612|
     02_94                 Electrocyclic|         21.337         25.600         -4.263|         52.566         54.460         -1.894|        -31.229        -28.860         -2.369|
     02_95                 Electrocyclic|         23.639         28.020         -4.381|         53.978         55.880         -1.902|        -30.338        -27.860         -2.478|
     02_96                 Electrocyclic|          9.960         11.390         -1.430|         14.704         15.190         -0.486|         -4.744         -3.800         -0.944|
     02_97                 Electrocyclic|         42.591         43.520         -0.929|         17.910         21.760         -3.850|         24.681         21.760          2.921|
     02_98                 Electrocyclic|         32.415         33.080         -0.665|         44.962         45.420         -0.458|        -12.547        -12.340         -0.207|
     02_99                 Electrocyclic|         45.682         44.280          1.402|         55.624         54.350          1.274|         -9.942        -10.070          0.128|
    02_100                 Electrocyclic|         36.271         36.070          0.201|         16.789         19.790         -3.001|         19.482         16.280          3.202|
    02_101                 Electrocyclic|         43.439         41.800          1.639|         45.411         45.810         -0.399|         -1.972         -4.010          2.038|
    02_102                 Electrocyclic|         36.620         38.730         -2.110|         37.074         36.550          0.524|         -0.453          2.180         -2.633|
    02_103                 Electrocyclic|         35.126         36.240         -1.114|         37.471         36.680          0.791|         -2.345         -0.440         -1.905|
    02_104                 Electrocyclic|         10.329         13.100         -2.771|         40.868         40.490          0.378|        -30.539        -27.390         -3.149|
    02_105                 Electrocyclic|         48.642         48.250          0.392|         44.004         42.240          1.764|          4.637          6.010         -1.373|
    02_106           [4+6]cycloaddition|         15.686         11.530          4.156|         21.287         29.790         -8.503|         -5.601        -18.260         12.659|
    02_107           [6+4]cycloaddition|         15.686         11.530          4.156|         27.040         36.380         -9.340|        -11.354        -24.850         13.496|
    02_108           [8+2]cycloaddition|         15.686         11.530          4.156|         28.641         35.010         -6.369|        -12.955        -23.480         10.525|
    02_109           [3,3]rearrangement|         43.389         43.450         -0.061|         54.328         50.580          3.748|        -10.939         -7.130         -3.809|
    02_110           [3,3]rearrangement|         43.389         43.450         -0.061|         54.698         57.370         -2.672|        -11.310        -13.920          2.610|
    02_111           [3,3]rearrangement|         38.289         36.960          1.329|         50.290         51.170         -0.880|        -12.002        -14.220          2.218|
    02_112           [4+6]cycloaddition|         17.003         12.840          4.163|         22.297         31.120         -8.823|         -5.294        -18.280         12.986|
    02_113           [6+4]cycloaddition|         17.003         12.840          4.163|         27.225         36.750         -9.525|        -10.222        -23.910         13.688|
    02_114           [8+2]cycloaddition|         17.003         12.840          4.163|         29.606         37.940         -8.334|        -12.603        -25.100         12.497|
    02_115           [4+6]cycloaddition|         16.886         11.830          5.056|         22.180         30.110         -7.930|         -5.294        -18.280         12.986|
    02_116           [6+4]cycloaddition|         16.886         11.830          5.056|         27.007         35.810         -8.803|        -10.121        -23.980         13.859|
    02_117           [8+2]cycloaddition|         16.886         11.830          5.056|         34.629         40.210         -5.581|        -17.743        -28.380         10.637|
    02_118          [4+2]intramolecular|         20.305         22.520         -2.215|         36.107         41.610         -5.503|        -15.802        -19.090          3.288|
    02_119          [6+4]intramolecular|         16.946         18.910         -1.964|         41.457         47.580         -6.123|        -24.511        -28.670          4.159|
    02_120          [4+2]intramolecular|         14.377         16.790         -2.413|         37.115         43.120         -6.005|        -22.738        -26.330          3.592|
    02_121          [6+4]intramolecular|         14.377         16.790         -2.413|         48.415         54.330         -5.915|        -34.038        -37.540          3.502|
    02_122          [4+2]intramolecular|         14.696         19.290         -4.594|         28.382         37.460         -9.078|        -13.686        -18.170          4.484|
    02_123          [6+4]intramolecular|         14.696         19.290         -4.594|         35.356         41.950         -6.594|        -20.660        -22.660          2.000|
    02_124          [4+2]intramolecular|         17.297         21.680         -4.383|         40.318         46.020         -5.702|        -23.022        -24.340          1.318|
    02_125          [6+4]intramolecular|         17.297         21.680         -4.383|         41.316         47.320         -6.004|        -24.019        -25.640          1.621|
    02_126           [3,3]rearrangement|         17.279         20.250         -2.971|         22.629         26.190         -3.561|         -5.350         -5.950          0.600|
    02_127           [3,3]rearrangement|         17.464         20.950         -3.486|         28.765         32.160         -3.395|        -11.300        -11.210         -0.090|
    02_128           [3,3]rearrangement|         28.401         32.740         -4.339|         43.795         41.450          2.345|        -15.394         -8.710         -6.684|
    02_129           [3,3]rearrangement|         31.225         34.420         -3.195|         40.691         40.150          0.541|         -9.466         -5.730         -3.736|
    02_130           [3,3]rearrangement|         31.090         35.400         -4.310|         43.280         43.320         -0.040|        -12.190         -7.920         -4.270|
    02_131           [3,3]rearrangement|         27.269         32.390         -5.121|         44.988         43.380          1.608|        -17.719        -10.990         -6.729|
    02_132           [3,3]rearrangement|         29.732         32.920         -3.188|         41.910         41.100          0.810|        -12.177         -8.180         -3.997|
    02_133           [3,3]rearrangement|         29.281         33.840         -4.559|         45.271         44.830          0.441|        -15.990        -10.990         -5.000|
    02_134           [3,3]rearrangement|         30.632         32.080         -1.448|         48.289         49.610         -1.321|        -17.656        -17.530         -0.126|
    02_135           [3,3]rearrangement|         27.702         28.350         -0.648|         41.643         44.420         -2.777|        -13.941        -16.070          2.129|
    02_136           [3,3]rearrangement|         28.056         29.790         -1.734|         44.103         45.830         -1.727|        -16.047        -16.040         -0.007|
    02_137           [3,3]rearrangement|         25.627         25.980         -0.353|         39.472         41.350         -1.878|        -13.845        -15.370          1.525|
    02_138           [3,3]rearrangement|         29.714         31.940         -2.226|         24.219         28.090         -3.871|          5.495          3.850          1.645|
    02_139           [3,3]rearrangement|         34.558         34.370          0.188|         50.334         50.960         -0.626|        -15.776        -16.590          0.814|
    02_140        [2+2+2]intramolecular|         49.431         54.840         -5.409|        155.524        144.390         11.134|       -106.093        -89.550        -16.543|
