      NAME                          TYPE|                                   FORWARD BH|                                   REVERSE BH|                              REACTION ENERGY|
                                        |            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|
      02_1                   Diels-Alder|          7.654          8.100         -0.446|         57.955         43.770         14.185|        -50.301        -35.660        -14.641|
      02_2                   Diels-Alder|          8.556          8.850         -0.294|         57.578         43.490         14.088|        -49.022        -34.630        -14.392|
      02_3                   Diels-Alder|         11.188         11.450         -0.262|         63.005         47.830         15.175|        -51.817        -36.380        -15.437|
      02_4                   Diels-Alder|          9.501         10.150         -0.649|         62.284         47.060         15.224|        -52.783        -36.920        -15.863|
      02_5                   Diels-Alder|         25.638         26.570         -0.932|        113.066         93.720         19.346|        -87.428        -67.150        -20.278|
      02_6                   Diels-Alder|         25.952         26.770         -0.818|         79.861         62.050         17.811|        -53.909        -35.270        -18.639|
      02_7                   Diels-Alder|         19.618         19.070          0.548|         56.163         39.400         16.763|        -36.544        -20.320        -16.224|
      02_8                   Diels-Alder|          8.554         12.200         -3.646|         49.362         36.770         12.592|        -40.808        -24.570        -16.238|
      02_9                   Diels-Alder|         16.431         17.830         -1.399|         62.963         47.850         15.113|        -46.531        -30.020        -16.511|
     02_10                   Diels-Alder|         19.252         19.750         -0.498|         66.484         50.920         15.564|        -47.232        -31.170        -16.062|
     02_11                   Diels-Alder|         22.321         23.080         -0.759|         59.856         45.700         14.156|        -37.535        -22.620        -14.915|
     02_12                   Diels-Alder|         22.512         24.510         -1.998|         58.842         44.870         13.972|        -36.330        -20.360        -15.970|
     02_13                   Diels-Alder|         23.071         24.900         -1.829|         76.327         60.920         15.407|        -53.256        -36.030        -17.226|
     02_14                   Diels-Alder|         20.851         21.970         -1.119|         76.003         60.480         15.523|        -55.152        -38.510        -16.642|
     02_15                   Diels-Alder|         23.639         25.290         -1.651|         76.361         60.680         15.681|        -52.722        -35.390        -17.332|
     02_16                   Diels-Alder|         20.644         23.430         -2.786|         68.238         53.320         14.918|        -47.595        -29.890        -17.705|
     02_17                   Diels-Alder|         12.464         15.270         -2.806|         75.279         59.460         15.819|        -62.814        -44.180        -18.634|
     02_18                   Diels-Alder|         18.176         19.860         -1.684|         86.677         70.400         16.277|        -68.501        -50.540        -17.961|
     02_19                   Diels-Alder|         20.967         22.040         -1.073|         76.246         59.330         16.916|        -55.278        -37.290        -17.988|
     02_20                   Diels-Alder|         17.824         19.100         -1.276|         74.483         56.890         17.593|        -56.658        -37.790        -18.868|
     02_21                   Diels-Alder|          9.615         12.400         -2.785|         77.738         62.140         15.598|        -68.124        -49.740        -18.384|
     02_22                   Diels-Alder|          5.763          8.830         -3.067|         83.751         68.850         14.901|        -77.987        -60.010        -17.977|
     02_23                   Diels-Alder|         22.128         24.810         -2.682|         71.545         57.020         14.525|        -49.416        -32.210        -17.206|
     02_24                   Diels-Alder|         25.814         26.620         -0.806|         89.362         73.950         15.412|        -63.548        -47.330        -16.218|
     02_25                   Diels-Alder|         21.252         23.550         -2.298|         68.701         54.520         14.181|        -47.448        -30.970        -16.478|
     02_26                   Diels-Alder|         26.010         27.830         -1.820|         61.707         47.790         13.917|        -35.698        -19.960        -15.738|
     02_27                   Diels-Alder|         27.542         29.600         -2.058|         64.498         50.220         14.278|        -36.955        -20.620        -16.335|
     02_28                   Diels-Alder|         19.618         21.690         -2.072|         51.153         38.320         12.833|        -31.534        -16.630        -14.904|
     02_29                   Diels-Alder|          1.049          1.650         -0.601|         44.369         35.570          8.799|        -43.321        -33.920         -9.401|
     02_30                   Diels-Alder|          8.980          7.980          1.000|         63.949         55.020          8.929|        -54.969        -47.040         -7.929|
     02_31                   Diels-Alder|         17.709         15.120          2.589|         45.482         36.680          8.802|        -27.773        -21.560         -6.213|
     02_32                   Diels-Alder|          7.204          6.610          0.594|         64.790         54.790         10.000|        -57.585        -48.180         -9.405|
     02_33                   Diels-Alder|         12.359         11.620          0.739|         71.159         53.250         17.909|        -58.799        -41.630        -17.169|
     02_34                   Diels-Alder|         17.246         18.280         -1.034|         38.378         30.480          7.898|        -21.131        -12.210         -8.921|
     02_35                   Diels-Alder|         15.856         16.530         -0.674|         38.511         29.810          8.701|        -22.655        -13.280         -9.375|
     02_36                   Diels-Alder|         15.212         15.490         -0.278|         42.817         33.650          9.167|        -27.605        -18.160         -9.445|
