,Name,Type,rsx-qidh-DFT-forward,REF-forward,rsx-qidh-DELTA-forward,rsx-qidh-DFT-reverse,REF-reverse,rsx-qidh-DELTA-reverse,rsx-qidh-DFT-reaction,REF-reaction,rsx-qidh-DELTA-reaction
0,02_1,Diels-Alder,2.935,8.1,-5.165,51.568,43.77,7.798,-48.633,-35.66,-12.973
1,02_2,Diels-Alder,3.737,8.85,-5.113,51.14,43.49,7.650,-47.404,-34.63,-12.774
2,02_3,Diels-Alder,6.461,11.45,-4.989,56.436,47.83,8.606,-49.975,-36.38,-13.595
3,02_4,Diels-Alder,4.95,10.15,-5.200,55.798,47.06,8.738,-50.848,-36.92,-13.928
4,02_5,Diels-Alder,23.462,26.57,-3.108,107.359,93.72,13.639,-83.897,-67.15,-16.747
5,02_6,Diels-Alder,23.438,26.77,-3.332,73.533,62.05,11.483,-50.095,-35.27,-14.825
6,02_7,Diels-Alder,14.861,19.07,-4.209,48.324,39.4,8.924,-33.463,-20.32,-13.143
7,02_8,Diels-Alder,6.191,12.2,-6.009,44.529,36.77,7.759,-38.338,-24.57,-13.768
8,02_9,Diels-Alder,12.846,17.83,-4.984,56.934,47.85,9.084,-44.088,-30.02,-14.068
9,02_10,Diels-Alder,15.364,19.75,-4.386,60.458,50.92,9.538,-45.094,-31.17,-13.924
10,02_11,Diels-Alder,18.361,23.08,-4.719,53.946,45.7,8.246,-35.584,-22.62,-12.964
11,02_12,Diels-Alder,19.163,24.51,-5.347,52.983,44.87,8.113,-33.82,-20.36,-13.460
12,02_13,Diels-Alder,19.931,24.9,-4.969,70.592,60.92,9.672,-50.662,-36.03,-14.632
13,02_14,Diels-Alder,17.43,21.97,-4.540,70.157,60.48,9.677,-52.727,-38.51,-14.217
14,02_15,Diels-Alder,20.128,25.29,-5.162,70.512,60.68,9.832,-50.384,-35.39,-14.994
15,02_16,Diels-Alder,17.994,23.43,-5.436,62.569,53.32,9.249,-44.575,-29.89,-14.685
16,02_17,Diels-Alder,10.047,15.27,-5.223,69.608,59.46,10.148,-59.561,-44.18,-15.381
17,02_18,Diels-Alder,15.586,19.86,-4.274,80.979,70.4,10.579,-65.393,-50.54,-14.853
18,02_19,Diels-Alder,17.095,22.04,-4.945,69.29,59.33,9.960,-52.195,-37.29,-14.905
19,02_20,Diels-Alder,14.21,19.1,-4.890,67.623,56.89,10.733,-53.412,-37.79,-15.622
20,02_21,Diels-Alder,7.559,12.4,-4.841,72.025,62.14,9.885,-64.467,-49.74,-14.727
21,02_22,Diels-Alder,4.34,8.83,-4.490,78.034,68.85,9.184,-73.694,-60.01,-13.684
22,02_23,Diels-Alder,19.625,24.81,-5.185,65.993,57.02,8.973,-46.368,-32.21,-14.158
23,02_24,Diels-Alder,23.234,26.62,-3.386,83.704,73.95,9.754,-60.47,-47.33,-13.140
24,02_25,Diels-Alder,18.445,23.55,-5.105,62.915,54.52,8.395,-44.471,-30.97,-13.501
25,02_26,Diels-Alder,22.965,27.83,-4.865,56.077,47.79,8.287,-33.112,-19.96,-13.152
26,02_27,Diels-Alder,24.48,29.6,-5.120,58.787,50.22,8.567,-34.307,-20.62,-13.687
27,02_28,Diels-Alder,17.8,21.69,-3.890,45.605,38.32,7.285,-27.804,-16.63,-11.174
28,02_29,Diels-Alder,-2.352,1.65,-4.002,39.599,35.57,4.029,-41.951,-33.92,-8.031
29,02_30,Diels-Alder,5.678,7.98,-2.302,60.084,55.02,5.064,-54.406,-47.04,-7.366
30,02_31,Diels-Alder,13.57,15.12,-1.550,41.821,36.68,5.141,-28.251,-21.56,-6.691
31,02_32,Diels-Alder,3.93,6.61,-2.680,60.293,54.79,5.503,-56.363,-48.18,-8.183
32,02_33,Diels-Alder,9.513,11.62,-2.107,63.903,53.25,10.653,-54.389,-41.63,-12.759
33,02_34,Diels-Alder,15.97,18.28,-2.310,35.878,30.48,5.398,-19.907,-12.21,-7.697
34,02_35,Diels-Alder,14.598,16.53,-1.932,35.845,29.81,6.035,-21.247,-13.28,-7.967
35,02_36,Diels-Alder,13.929,15.49,-1.561,40.252,33.65,6.602,-26.322,-18.16,-8.162
36,02_37,Diels-Alder,15.137,17.0,-1.863,40.551,34.43,6.121,-25.414,-17.43,-7.984
37,02_38,Diels-Alder,18.922,22.73,-3.808,44.893,36.09,8.803,-25.971,-13.36,-12.611
38,02_39,Diels-Alder,33.488,37.42,-3.932,47.237,39.32,7.917,-13.75,-1.9,-11.850
39,02_40,Diels-Alder,9.423,14.26,-4.837,33.433,27.77,5.663,-24.01,-13.51,-10.500
40,02_41,Diels-Alder,25.487,28.06,-2.573,36.774,31.78,4.994,-11.288,-3.72,-7.568
41,02_42,Diels-Alder,3.467,8.58,-5.113,55.065,47.74,7.325,-51.599,-39.15,-12.449
42,02_43,Diels-Alder,12.764,16.35,-3.586,57.121,48.76,8.361,-44.357,-32.41,-11.947
43,02_44,Diels-Alder,13.031,16.64,-3.609,61.696,53.18,8.516,-48.665,-36.54,-12.125
44,02_45,Diels-Alder,12.175,16.98,-4.805,69.73,59.46,10.270,-57.556,-42.48,-15.076
45,02_46,Diels-Alder,21.821,26.48,-4.659,60.519,51.36,9.159,-38.698,-24.88,-13.818
46,02_47,Diels-Alder,-4.046,-1.34,-2.706,99.289,88.51,10.779,-103.335,-89.85,-13.485
47,02_48,Diels-Alder,-1.999,1.98,-3.979,98.057,86.44,11.617,-100.055,-84.47,-15.585
48,02_49,Diels-Alder,8.555,13.95,-5.395,56.289,47.2,9.089,-47.735,-33.24,-14.495
49,02_50,[3+2]cycloaddition,14.876,18.44,-3.564,42.76,35.48,7.280,-27.884,-17.04,-10.844
50,02_51,[3+2]cycloaddition,-7.55,-1.95,-5.600,30.271,24.26,6.011,-37.821,-26.21,-11.611
51,02_52,[3+2]cycloaddition,8.367,12.39,-4.023,44.2,36.11,8.090,-35.833,-23.72,-12.113
52,02_53,[3+2]cycloaddition,5.934,10.45,-4.516,42.853,35.89,6.963,-36.919,-25.44,-11.479
53,02_54,[3+2]cycloaddition,-6.124,-0.12,-6.004,31.822,26.38,5.442,-37.945,-26.5,-11.445
54,02_55,[3+2]cycloaddition,12.049,12.65,-0.601,63.153,52.78,10.373,-51.104,-40.12,-10.984
55,02_56,[3+2]cycloaddition,11.112,11.6,-0.488,106.875,91.82,15.055,-95.763,-80.21,-15.553
56,02_57,[3+2]cycloaddition,6.776,8.1,-1.324,98.95,84.96,13.990,-92.174,-76.87,-15.304
57,02_58,[3+2]cycloaddition,14.809,15.43,-0.621,80.005,68.29,11.715,-65.196,-52.86,-12.336
58,02_59,[3+2]cycloaddition,14.8,15.3,-0.500,79.734,67.99,11.744,-64.934,-52.69,-12.244
59,02_60,[3+2]cycloaddition,5.015,5.93,-0.915,102.445,86.94,15.505,-97.43,-81.0,-16.430
60,02_61,[3+2]cycloaddition,-0.327,0.41,-0.737,67.34,56.6,10.740,-67.667,-56.19,-11.477
61,02_62,[3+2]cycloaddition,3.044,3.87,-0.826,69.299,58.42,10.879,-66.255,-54.55,-11.705
62,02_63,[3+2]cycloaddition,15.581,16.87,-1.289,50.714,41.5,9.214,-35.133,-24.63,-10.503
63,02_64,[3+2]cycloaddition,3.784,5.38,-1.596,61.272,50.91,10.362,-57.488,-45.54,-11.948
64,02_65,[3+2]cycloaddition,5.954,8.08,-2.126,67.643,56.87,10.773,-61.689,-48.79,-12.899
65,02_66,[3+2]cycloaddition,5.342,6.79,-1.448,66.642,55.77,10.872,-61.3,-48.98,-12.320
66,02_67,[3+2]cycloaddition,8.843,6.93,1.913,44.604,34.09,10.514,-35.762,-27.16,-8.602
67,02_68,[3+2]cycloaddition,10.851,8.7,2.151,45.641,35.15,10.491,-34.79,-26.45,-8.340
68,02_69,[3+2]cycloaddition,14.873,13.35,1.523,49.3,38.42,10.880,-34.428,-25.07,-9.358
69,02_70,[3+2]cycloaddition,33.806,33.3,0.506,49.279,41.8,7.479,-15.473,-8.51,-6.963
70,02_71,[3+2]cycloaddition,35.263,34.78,0.483,47.503,40.16,7.343,-12.24,-5.38,-6.860
71,02_72,[3+2]cycloaddition,25.586,26.38,-0.794,60.088,51.44,8.648,-34.501,-25.06,-9.441
72,02_73,[3+2]cycloaddition,7.141,10.06,-2.919,54.149,45.53,8.619,-47.008,-35.47,-11.538
73,02_74,[3+2]cycloaddition,24.732,27.86,-3.128,33.143,26.23,6.913,-8.412,1.63,-10.042
74,02_75,[3+2]cycloaddition,6.824,9.79,-2.966,50.294,41.83,8.464,-43.471,-32.04,-11.431
