      NAME                          TYPE|                                   FORWARD BH|                                   REVERSE BH|                              REACTION ENERGY|
                                        |            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|
      02_1                   Diels-Alder|          2.935          8.100         -5.165|         51.568         43.770          7.798|        -48.633        -35.660        -12.973|
      02_2                   Diels-Alder|          3.737          8.850         -5.113|         51.140         43.490          7.650|        -47.404        -34.630        -12.774|
      02_3                   Diels-Alder|          6.461         11.450         -4.989|         56.436         47.830          8.606|        -49.975        -36.380        -13.595|
      02_4                   Diels-Alder|          4.950         10.150         -5.200|         55.798         47.060          8.738|        -50.848        -36.920        -13.928|
      02_5                   Diels-Alder|         23.462         26.570         -3.108|        107.359         93.720         13.639|        -83.897        -67.150        -16.747|
      02_6                   Diels-Alder|         23.438         26.770         -3.332|         73.533         62.050         11.483|        -50.095        -35.270        -14.825|
      02_7                   Diels-Alder|         14.861         19.070         -4.209|         48.324         39.400          8.924|        -33.463        -20.320        -13.143|
      02_8                   Diels-Alder|          6.191         12.200         -6.009|         44.529         36.770          7.759|        -38.338        -24.570        -13.768|
      02_9                   Diels-Alder|         12.846         17.830         -4.984|         56.934         47.850          9.084|        -44.088        -30.020        -14.068|
     02_10                   Diels-Alder|         15.364         19.750         -4.386|         60.458         50.920          9.538|        -45.094        -31.170        -13.924|
     02_11                   Diels-Alder|         18.361         23.080         -4.719|         53.946         45.700          8.246|        -35.584        -22.620        -12.964|
     02_12                   Diels-Alder|         19.163         24.510         -5.347|         52.983         44.870          8.113|        -33.820        -20.360        -13.460|
     02_13                   Diels-Alder|         19.931         24.900         -4.969|         70.592         60.920          9.672|        -50.662        -36.030        -14.632|
     02_14                   Diels-Alder|         17.430         21.970         -4.540|         70.157         60.480          9.677|        -52.727        -38.510        -14.217|
     02_15                   Diels-Alder|         20.128         25.290         -5.162|         70.512         60.680          9.832|        -50.384        -35.390        -14.994|
     02_16                   Diels-Alder|         17.994         23.430         -5.436|         62.569         53.320          9.249|        -44.575        -29.890        -14.685|
     02_17                   Diels-Alder|         10.047         15.270         -5.223|         69.608         59.460         10.148|        -59.561        -44.180        -15.381|
     02_18                   Diels-Alder|         15.586         19.860         -4.274|         80.979         70.400         10.579|        -65.393        -50.540        -14.853|
     02_19                   Diels-Alder|         17.095         22.040         -4.945|         69.290         59.330          9.960|        -52.195        -37.290        -14.905|
     02_20                   Diels-Alder|         14.210         19.100         -4.890|         67.623         56.890         10.733|        -53.412        -37.790        -15.622|
     02_21                   Diels-Alder|          7.559         12.400         -4.841|         72.025         62.140          9.885|        -64.467        -49.740        -14.727|
     02_22                   Diels-Alder|          4.340          8.830         -4.490|         78.034         68.850          9.184|        -73.694        -60.010        -13.684|
     02_23                   Diels-Alder|         19.625         24.810         -5.185|         65.993         57.020          8.973|        -46.368        -32.210        -14.158|
     02_24                   Diels-Alder|         23.234         26.620         -3.386|         83.704         73.950          9.754|        -60.470        -47.330        -13.140|
     02_25                   Diels-Alder|         18.445         23.550         -5.105|         62.915         54.520          8.395|        -44.471        -30.970        -13.501|
     02_26                   Diels-Alder|         22.965         27.830         -4.865|         56.077         47.790          8.287|        -33.112        -19.960        -13.152|
     02_27                   Diels-Alder|         24.480         29.600         -5.120|         58.787         50.220          8.567|        -34.307        -20.620        -13.687|
     02_28                   Diels-Alder|         17.800         21.690         -3.890|         45.605         38.320          7.285|        -27.804        -16.630        -11.174|
     02_29                   Diels-Alder|         -2.352          1.650         -4.002|         39.599         35.570          4.029|        -41.951        -33.920         -8.031|
     02_30                   Diels-Alder|          5.678          7.980         -2.302|         60.084         55.020          5.064|        -54.406        -47.040         -7.366|
     02_31                   Diels-Alder|         13.570         15.120         -1.550|         41.821         36.680          5.141|        -28.251        -21.560         -6.691|
     02_32                   Diels-Alder|          3.930          6.610         -2.680|         60.293         54.790          5.503|        -56.363        -48.180         -8.183|
     02_33                   Diels-Alder|          9.513         11.620         -2.107|         63.903         53.250         10.653|        -54.389        -41.630        -12.759|
     02_34                   Diels-Alder|         15.970         18.280         -2.310|         35.878         30.480          5.398|        -19.907        -12.210         -7.697|
     02_35                   Diels-Alder|         14.598         16.530         -1.932|         35.845         29.810          6.035|        -21.247        -13.280         -7.967|
     02_36                   Diels-Alder|         13.929         15.490         -1.561|         40.252         33.650          6.602|        -26.322        -18.160         -8.162|
     02_37                   Diels-Alder|         15.137         17.000         -1.863|         40.551         34.430          6.121|        -25.414        -17.430         -7.984|
     02_38                   Diels-Alder|         18.922         22.730         -3.808|         44.893         36.090          8.803|        -25.971        -13.360        -12.611|
     02_39                   Diels-Alder|         33.488         37.420         -3.932|         47.237         39.320          7.917|        -13.750         -1.900        -11.850|
     02_40                   Diels-Alder|          9.423         14.260         -4.837|         33.433         27.770          5.663|        -24.010        -13.510        -10.500|
