      NAME                          TYPE|                                   FORWARD BH|                                   REVERSE BH|                              REACTION ENERGY|
                                        |            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|
      02_1                   Diels-Alder|          6.827          8.100         -1.273|         47.386         43.770          3.616|        -40.559        -35.660         -4.899|
      02_2                   Diels-Alder|          7.761          8.850         -1.089|         47.120         43.490          3.630|        -39.360        -34.630         -4.730|
      02_3                   Diels-Alder|         10.373         11.450         -1.077|         51.631         47.830          3.801|        -41.257        -36.380         -4.877|
      02_4                   Diels-Alder|          8.729         10.150         -1.421|         50.824         47.060          3.764|        -42.095        -36.920         -5.175|
      02_5                   Diels-Alder|         26.343         26.570         -0.227|        100.774         93.720          7.054|        -74.430        -67.150         -7.280|
      02_6                   Diels-Alder|         26.806         26.770          0.036|         68.141         62.050          6.091|        -41.334        -35.270         -6.064|
      02_7                   Diels-Alder|         19.231         19.070          0.161|         43.455         39.400          4.055|        -24.223        -20.320         -3.903|
      02_8                   Diels-Alder|         10.799         12.200         -1.401|         39.069         36.770          2.299|        -28.270        -24.570         -3.700|
      02_9                   Diels-Alder|         17.600         17.830         -0.230|         51.820         47.850          3.970|        -34.220        -30.020         -4.200|
     02_10                   Diels-Alder|         19.774         19.750          0.024|         54.999         50.920          4.079|        -35.225        -31.170         -4.055|
     02_11                   Diels-Alder|         23.129         23.080          0.049|         49.288         45.700          3.588|        -26.159        -22.620         -3.539|
     02_12                   Diels-Alder|         24.030         24.510         -0.480|         48.541         44.870          3.671|        -24.511        -20.360         -4.151|
     02_13                   Diels-Alder|         24.501         24.900         -0.399|         65.358         60.920          4.438|        -40.857        -36.030         -4.827|
     02_14                   Diels-Alder|         21.728         21.970         -0.242|         65.181         60.480          4.701|        -43.453        -38.510         -4.943|
     02_15                   Diels-Alder|         24.845         25.290         -0.445|         64.886         60.680          4.206|        -40.041        -35.390         -4.651|
     02_16                   Diels-Alder|         22.901         23.430         -0.529|         57.295         53.320          3.975|        -34.394        -29.890         -4.504|
     02_17                   Diels-Alder|         14.837         15.270         -0.433|         63.953         59.460          4.493|        -49.116        -44.180         -4.936|
     02_18                   Diels-Alder|         19.711         19.860         -0.149|         75.082         70.400          4.682|        -55.371        -50.540         -4.831|
     02_19                   Diels-Alder|         21.969         22.040         -0.071|         63.833         59.330          4.503|        -41.865        -37.290         -4.575|
     02_20                   Diels-Alder|         19.098         19.100         -0.002|         62.459         56.890          5.569|        -43.361        -37.790         -5.571|
     02_21                   Diels-Alder|         12.115         12.400         -0.285|         66.453         62.140          4.313|        -54.339        -49.740         -4.599|
     02_22                   Diels-Alder|          7.913          8.830         -0.917|         72.570         68.850          3.720|        -64.657        -60.010         -4.647|
     02_23                   Diels-Alder|         24.938         24.810          0.128|         61.270         57.020          4.250|        -36.333        -32.210         -4.123|
     02_24                   Diels-Alder|         26.766         26.620          0.146|         78.295         73.950          4.345|        -51.529        -47.330         -4.199|
     02_25                   Diels-Alder|         22.956         23.550         -0.594|         58.757         54.520          4.237|        -35.802        -30.970         -4.832|
     02_26                   Diels-Alder|         27.723         27.830         -0.107|         51.657         47.790          3.867|        -23.934        -19.960         -3.974|
     02_27                   Diels-Alder|         29.344         29.600         -0.256|         54.076         50.220          3.856|        -24.733        -20.620         -4.113|
     02_28                   Diels-Alder|         22.836         21.690          1.146|         41.123         38.320          2.803|        -18.287        -16.630         -1.657|
     02_29                   Diels-Alder|          1.800          1.650          0.150|         36.479         35.570          0.909|        -34.679        -33.920         -0.759|
     02_30                   Diels-Alder|          8.751          7.980          0.771|         55.302         55.020          0.282|        -46.551        -47.040          0.489|
     02_31                   Diels-Alder|         16.729         15.120          1.609|         36.306         36.680         -0.374|        -19.577        -21.560          1.983|
     02_32                   Diels-Alder|          7.000          6.610          0.390|         55.563         54.790          0.773|        -48.563        -48.180         -0.383|
     02_33                   Diels-Alder|         11.785         11.620          0.165|         57.968         53.250          4.718|        -46.183        -41.630         -4.553|
     02_34                   Diels-Alder|         17.494         18.280         -0.786|         33.008         30.480          2.528|        -15.514        -12.210         -3.304|
     02_35                   Diels-Alder|         15.935         16.530         -0.595|         32.587         29.810          2.777|        -16.653        -13.280         -3.373|
     02_36                   Diels-Alder|         14.836         15.490         -0.654|         36.773         33.650          3.123|        -21.938        -18.160         -3.778|
     02_37                   Diels-Alder|         16.236         17.000         -0.764|         37.302         34.430          2.872|        -21.066        -17.430         -3.636|
     02_38                   Diels-Alder|         21.883         22.730         -0.847|         39.877         36.090          3.787|        -17.994        -13.360         -4.634|
     02_39                   Diels-Alder|         36.997         37.420         -0.423|         43.080         39.320          3.760|         -6.083         -1.900         -4.183|
     02_40                   Diels-Alder|         14.293         14.260          0.033|         29.807         27.770          2.037|        -15.514        -13.510         -2.004|
     02_41                   Diels-Alder|         29.956         28.060          1.896|         33.219         31.780          1.439|         -3.263         -3.720          0.457|
     02_42                   Diels-Alder|          7.839          8.580         -0.741|         50.721         47.740          2.981|        -42.882        -39.150         -3.732|
     02_43                   Diels-Alder|         16.815         16.350          0.465|         52.553         48.760          3.793|        -35.738        -32.410         -3.328|
     02_44                   Diels-Alder|         16.656         16.640          0.016|         56.918         53.180          3.738|        -40.262        -36.540         -3.722|
     02_45                   Diels-Alder|         15.970         16.980         -1.010|         64.042         59.460          4.582|        -48.072        -42.480         -5.592|
     02_46                   Diels-Alder|         27.085         26.480          0.605|         55.730         51.360          4.370|        -28.645        -24.880         -3.765|
     02_47                   Diels-Alder|         -2.623         -1.340         -1.283|         92.320         88.510          3.810|        -94.942        -89.850         -5.092|
     02_48                   Diels-Alder|          0.337          1.980         -1.643|         91.237         86.440          4.797|        -90.899        -84.470         -6.429|
