,Name,Type,wb2-plyp18-DFT-forward,REF-forward,wb2-plyp18-DELTA-forward,wb2-plyp18-DFT-reverse,REF-reverse,wb2-plyp18-DELTA-reverse,wb2-plyp18-DFT-reaction,REF-reaction,wb2-plyp18-DELTA-reaction
0,02_1,Diels-Alder,2.369,8.1,-5.731,41.401,43.77,-2.369,-39.031,-35.66,-3.371
1,02_2,Diels-Alder,3.323,8.85,-5.527,41.155,43.49,-2.335,-37.831,-34.63,-3.201
2,02_3,Diels-Alder,5.561,11.45,-5.889,45.437,47.83,-2.393,-39.875,-36.38,-3.495
3,02_4,Diels-Alder,4.028,10.15,-6.122,44.823,47.06,-2.237,-40.795,-36.92,-3.875
4,02_5,Diels-Alder,23.027,26.57,-3.543,96.788,93.72,3.068,-73.76,-67.15,-6.610
5,02_6,Diels-Alder,23.296,26.77,-3.474,63.818,62.05,1.768,-40.521,-35.27,-5.251
6,02_7,Diels-Alder,14.468,19.07,-4.602,36.298,39.4,-3.102,-21.83,-20.32,-1.510
7,02_8,Diels-Alder,7.841,12.2,-4.359,34.277,36.77,-2.493,-26.436,-24.57,-1.866
8,02_9,Diels-Alder,13.9,17.83,-3.930,46.412,47.85,-1.438,-32.512,-30.02,-2.492
9,02_10,Diels-Alder,15.872,19.75,-3.878,49.527,50.92,-1.393,-33.655,-31.17,-2.485
10,02_11,Diels-Alder,19.07,23.08,-4.010,43.911,45.7,-1.789,-24.84,-22.62,-2.220
11,02_12,Diels-Alder,20.311,24.51,-4.199,43.197,44.87,-1.673,-22.886,-20.36,-2.526
12,02_13,Diels-Alder,21.188,24.9,-3.712,60.165,60.92,-0.755,-38.977,-36.03,-2.947
13,02_14,Diels-Alder,18.216,21.97,-3.754,60.017,60.48,-0.463,-41.801,-38.51,-3.291
14,02_15,Diels-Alder,20.829,25.29,-4.461,59.265,60.68,-1.415,-38.435,-35.39,-3.045
15,02_16,Diels-Alder,19.743,23.43,-3.687,52.018,53.32,-1.302,-32.276,-29.89,-2.386
16,02_17,Diels-Alder,12.149,15.27,-3.121,58.924,59.46,-0.536,-46.775,-44.18,-2.595
17,02_18,Diels-Alder,17.001,19.86,-2.859,69.849,70.4,-0.551,-52.848,-50.54,-2.308
18,02_19,Diels-Alder,17.813,22.04,-4.227,57.21,59.33,-2.120,-39.398,-37.29,-2.108
19,02_20,Diels-Alder,15.522,19.1,-3.578,56.326,56.89,-0.564,-40.804,-37.79,-3.014
20,02_21,Diels-Alder,9.753,12.4,-2.647,61.212,62.14,-0.928,-51.459,-49.74,-1.719
21,02_22,Diels-Alder,5.864,8.83,-2.966,68.111,68.85,-0.739,-62.247,-60.01,-2.237
22,02_23,Diels-Alder,21.878,24.81,-2.932,56.498,57.02,-0.522,-34.62,-32.21,-2.410
23,02_24,Diels-Alder,23.347,26.62,-3.273,73.721,73.95,-0.229,-50.374,-47.33,-3.044
24,02_25,Diels-Alder,19.652,23.55,-3.898,53.752,54.52,-0.768,-34.1,-30.97,-3.130
25,02_26,Diels-Alder,24.372,27.83,-3.458,46.77,47.79,-1.020,-22.398,-19.96,-2.438
26,02_27,Diels-Alder,25.888,29.6,-3.712,49.007,50.22,-1.213,-23.119,-20.62,-2.499
27,02_28,Diels-Alder,21.057,21.69,-0.633,36.449,38.32,-1.871,-15.392,-16.63,1.238
28,02_29,Diels-Alder,-1.489,1.65,-3.139,32.81,35.57,-2.760,-34.299,-33.92,-0.379
29,02_30,Diels-Alder,5.352,7.98,-2.628,53.045,55.02,-1.975,-47.693,-47.04,-0.653
30,02_31,Diels-Alder,13.217,15.12,-1.903,34.647,36.68,-2.033,-21.43,-21.56,0.130
31,02_32,Diels-Alder,3.718,6.61,-2.892,52.054,54.79,-2.736,-48.336,-48.18,-0.156
32,02_33,Diels-Alder,8.851,11.62,-2.769,51.903,53.25,-1.347,-43.051,-41.63,-1.421
33,02_34,Diels-Alder,15.737,18.28,-2.543,30.377,30.48,-0.103,-14.64,-12.21,-2.430
34,02_35,Diels-Alder,14.331,16.53,-2.199,29.923,29.81,0.113,-15.591,-13.28,-2.311
35,02_36,Diels-Alder,13.08,15.49,-2.410,34.216,33.65,0.566,-21.136,-18.16,-2.976
36,02_37,Diels-Alder,14.378,17.0,-2.622,34.877,34.43,0.447,-20.499,-17.43,-3.069
37,02_38,Diels-Alder,17.382,22.73,-5.348,35.212,36.09,-0.878,-17.83,-13.36,-4.470
38,02_39,Diels-Alder,32.333,37.42,-5.087,38.295,39.32,-1.025,-5.962,-1.9,-4.062
39,02_40,Diels-Alder,11.242,14.26,-3.018,25.887,27.77,-1.883,-14.645,-13.51,-1.135
40,02_41,Diels-Alder,27.083,28.06,-0.977,28.633,31.78,-3.147,-1.55,-3.72,2.170
41,02_42,Diels-Alder,4.404,8.58,-4.176,46.662,47.74,-1.078,-42.258,-39.15,-3.108
42,02_43,Diels-Alder,13.124,16.35,-3.226,48.122,48.76,-0.638,-34.998,-32.41,-2.588
43,02_44,Diels-Alder,12.908,16.64,-3.732,52.416,53.18,-0.764,-39.509,-36.54,-2.969
44,02_45,Diels-Alder,12.539,16.98,-4.441,60.084,59.46,0.624,-47.545,-42.48,-5.065
45,02_46,Diels-Alder,23.625,26.48,-2.855,50.608,51.36,-0.752,-26.983,-24.88,-2.103
46,02_47,Diels-Alder,-4.47,-1.34,-3.130,89.527,88.51,1.017,-93.996,-89.85,-4.146
47,02_48,Diels-Alder,-1.889,1.98,-3.869,87.22,86.44,0.780,-89.109,-84.47,-4.639
48,02_49,Diels-Alder,9.331,13.95,-4.619,45.905,47.2,-1.295,-36.573,-33.24,-3.333
49,02_50,[3+2]cycloaddition,16.613,18.44,-1.827,33.338,35.48,-2.142,-16.725,-17.04,0.315
50,02_51,[3+2]cycloaddition,-8.807,-1.95,-6.857,17.265,24.26,-6.995,-26.072,-26.21,0.138
51,02_52,[3+2]cycloaddition,8.044,12.39,-4.346,34.726,36.11,-1.384,-26.682,-23.72,-2.962
52,02_53,[3+2]cycloaddition,6.091,10.45,-4.359,34.014,35.89,-1.876,-27.923,-25.44,-2.483
53,02_54,[3+2]cycloaddition,-5.005,-0.12,-4.885,25.183,26.38,-1.197,-30.189,-26.5,-3.689
54,02_55,[3+2]cycloaddition,9.047,12.65,-3.603,52.85,52.78,0.070,-43.804,-40.12,-3.684
55,02_56,[3+2]cycloaddition,7.986,11.6,-3.614,94.583,91.82,2.763,-86.597,-80.21,-6.387
56,02_57,[3+2]cycloaddition,4.165,8.1,-3.935,86.643,84.96,1.683,-82.479,-76.87,-5.609
57,02_58,[3+2]cycloaddition,11.827,15.43,-3.603,68.971,68.29,0.681,-57.144,-52.86,-4.284
