      NAME                          TYPE|                                   FORWARD BH|                                   REVERSE BH|                              REACTION ENERGY|
                                        |            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|
      02_1                   Diels-Alder|          2.369          8.100         -5.731|         41.401         43.770         -2.369|        -39.031        -35.660         -3.371|
      02_2                   Diels-Alder|          3.323          8.850         -5.527|         41.155         43.490         -2.335|        -37.831        -34.630         -3.201|
      02_3                   Diels-Alder|          5.561         11.450         -5.889|         45.437         47.830         -2.393|        -39.875        -36.380         -3.495|
      02_4                   Diels-Alder|          4.028         10.150         -6.122|         44.823         47.060         -2.237|        -40.795        -36.920         -3.875|
      02_5                   Diels-Alder|         23.027         26.570         -3.543|         96.788         93.720          3.068|        -73.760        -67.150         -6.610|
      02_6                   Diels-Alder|         23.296         26.770         -3.474|         63.818         62.050          1.768|        -40.521        -35.270         -5.251|
      02_7                   Diels-Alder|         14.468         19.070         -4.602|         36.298         39.400         -3.102|        -21.830        -20.320         -1.510|
      02_8                   Diels-Alder|          7.841         12.200         -4.359|         34.277         36.770         -2.493|        -26.436        -24.570         -1.866|
      02_9                   Diels-Alder|         13.900         17.830         -3.930|         46.412         47.850         -1.438|        -32.512        -30.020         -2.492|
     02_10                   Diels-Alder|         15.872         19.750         -3.878|         49.527         50.920         -1.393|        -33.655        -31.170         -2.485|
     02_11                   Diels-Alder|         19.070         23.080         -4.010|         43.911         45.700         -1.789|        -24.840        -22.620         -2.220|
     02_12                   Diels-Alder|         20.311         24.510         -4.199|         43.197         44.870         -1.673|        -22.886        -20.360         -2.526|
     02_13                   Diels-Alder|         21.188         24.900         -3.712|         60.165         60.920         -0.755|        -38.977        -36.030         -2.947|
     02_14                   Diels-Alder|         18.216         21.970         -3.754|         60.017         60.480         -0.463|        -41.801        -38.510         -3.291|
     02_15                   Diels-Alder|         20.829         25.290         -4.461|         59.265         60.680         -1.415|        -38.435        -35.390         -3.045|
     02_16                   Diels-Alder|         19.743         23.430         -3.687|         52.018         53.320         -1.302|        -32.276        -29.890         -2.386|
     02_17                   Diels-Alder|         12.149         15.270         -3.121|         58.924         59.460         -0.536|        -46.775        -44.180         -2.595|
     02_18                   Diels-Alder|         17.001         19.860         -2.859|         69.849         70.400         -0.551|        -52.848        -50.540         -2.308|
     02_19                   Diels-Alder|         17.813         22.040         -4.227|         57.210         59.330         -2.120|        -39.398        -37.290         -2.108|
     02_20                   Diels-Alder|         15.522         19.100         -3.578|         56.326         56.890         -0.564|        -40.804        -37.790         -3.014|
     02_21                   Diels-Alder|          9.753         12.400         -2.647|         61.212         62.140         -0.928|        -51.459        -49.740         -1.719|
     02_22                   Diels-Alder|          5.864          8.830         -2.966|         68.111         68.850         -0.739|        -62.247        -60.010         -2.237|
     02_23                   Diels-Alder|         21.878         24.810         -2.932|         56.498         57.020         -0.522|        -34.620        -32.210         -2.410|
     02_24                   Diels-Alder|         23.347         26.620         -3.273|         73.721         73.950         -0.229|        -50.374        -47.330         -3.044|
     02_25                   Diels-Alder|         19.652         23.550         -3.898|         53.752         54.520         -0.768|        -34.100        -30.970         -3.130|
     02_26                   Diels-Alder|         24.372         27.830         -3.458|         46.770         47.790         -1.020|        -22.398        -19.960         -2.438|
     02_27                   Diels-Alder|         25.888         29.600         -3.712|         49.007         50.220         -1.213|        -23.119        -20.620         -2.499|
     02_28                   Diels-Alder|         21.057         21.690         -0.633|         36.449         38.320         -1.871|        -15.392        -16.630          1.238|
     02_29                   Diels-Alder|         -1.489          1.650         -3.139|         32.810         35.570         -2.760|        -34.299        -33.920         -0.379|
     02_30                   Diels-Alder|          5.352          7.980         -2.628|         53.045         55.020         -1.975|        -47.693        -47.040         -0.653|
     02_31                   Diels-Alder|         13.217         15.120         -1.903|         34.647         36.680         -2.033|        -21.430        -21.560          0.130|
     02_32                   Diels-Alder|          3.718          6.610         -2.892|         52.054         54.790         -2.736|        -48.336        -48.180         -0.156|
     02_33                   Diels-Alder|          8.851         11.620         -2.769|         51.903         53.250         -1.347|        -43.051        -41.630         -1.421|
     02_34                   Diels-Alder|         15.737         18.280         -2.543|         30.377         30.480         -0.103|        -14.640        -12.210         -2.430|
     02_35                   Diels-Alder|         14.331         16.530         -2.199|         29.923         29.810          0.113|        -15.591        -13.280         -2.311|
     02_36                   Diels-Alder|         13.080         15.490         -2.410|         34.216         33.650          0.566|        -21.136        -18.160         -2.976|
     02_37                   Diels-Alder|         14.378         17.000         -2.622|         34.877         34.430          0.447|        -20.499        -17.430         -3.069|
     02_38                   Diels-Alder|         17.382         22.730         -5.348|         35.212         36.090         -0.878|        -17.830        -13.360         -4.470|
     02_39                   Diels-Alder|         32.333         37.420         -5.087|         38.295         39.320         -1.025|         -5.962         -1.900         -4.062|
     02_40                   Diels-Alder|         11.242         14.260         -3.018|         25.887         27.770         -1.883|        -14.645        -13.510         -1.135|
     02_41                   Diels-Alder|         27.083         28.060         -0.977|         28.633         31.780         -3.147|         -1.550         -3.720          2.170|
     02_42                   Diels-Alder|          4.404          8.580         -4.176|         46.662         47.740         -1.078|        -42.258        -39.150         -3.108|
     02_43                   Diels-Alder|         13.124         16.350         -3.226|         48.122         48.760         -0.638|        -34.998        -32.410         -2.588|
     02_44                   Diels-Alder|         12.908         16.640         -3.732|         52.416         53.180         -0.764|        -39.509        -36.540         -2.969|
     02_45                   Diels-Alder|         12.539         16.980         -4.441|         60.084         59.460          0.624|        -47.545        -42.480         -5.065|
     02_46                   Diels-Alder|         23.625         26.480         -2.855|         50.608         51.360         -0.752|        -26.983        -24.880         -2.103|
     02_47                   Diels-Alder|         -4.470         -1.340         -3.130|         89.527         88.510          1.017|        -93.996        -89.850         -4.146|
     02_48                   Diels-Alder|         -1.889          1.980         -3.869|         87.220         86.440          0.780|        -89.109        -84.470         -4.639|
     02_49                   Diels-Alder|          9.331         13.950         -4.619|         45.905         47.200         -1.295|        -36.573        -33.240         -3.333|
     02_50           [3+2]cycloaddition|         16.613         18.440         -1.827|         33.338         35.480         -2.142|        -16.725        -17.040          0.315|
     02_51           [3+2]cycloaddition|         -8.807         -1.950         -6.857|         17.265         24.260         -6.995|        -26.072        -26.210          0.138|
     02_52           [3+2]cycloaddition|          8.044         12.390         -4.346|         34.726         36.110         -1.384|        -26.682        -23.720         -2.962|
     02_53           [3+2]cycloaddition|          6.091         10.450         -4.359|         34.014         35.890         -1.876|        -27.923        -25.440         -2.483|
     02_54           [3+2]cycloaddition|         -5.005         -0.120         -4.885|         25.183         26.380         -1.197|        -30.189        -26.500         -3.689|
     02_55           [3+2]cycloaddition|          9.047         12.650         -3.603|         52.850         52.780          0.070|        -43.804        -40.120         -3.684|
     02_56           [3+2]cycloaddition|          7.986         11.600         -3.614|         94.583         91.820          2.763|        -86.597        -80.210         -6.387|
     02_57           [3+2]cycloaddition|          4.165          8.100         -3.935|         86.643         84.960          1.683|        -82.479        -76.870         -5.609|
     02_58           [3+2]cycloaddition|         11.827         15.430         -3.603|         68.971         68.290          0.681|        -57.144        -52.860         -4.284|
     02_59           [3+2]cycloaddition|         11.709         15.300         -3.591|         68.574         67.990          0.584|        -56.864        -52.690         -4.174|
     02_60           [3+2]cycloaddition|          1.959          5.930         -3.971|         89.853         86.940          2.913|        -87.894        -81.000         -6.894|
     02_61           [3+2]cycloaddition|         -2.036          0.410         -2.446|         56.142         56.600         -0.458|        -58.178        -56.190         -1.988|
     02_62           [3+2]cycloaddition|          1.254          3.870         -2.616|         57.844         58.420         -0.576|        -56.590        -54.550         -2.040|
     02_63           [3+2]cycloaddition|         15.908         16.870         -0.962|         40.788         41.500         -0.712|        -24.881        -24.630         -0.251|
     02_64           [3+2]cycloaddition|          3.646          5.380         -1.734|         50.083         50.910         -0.827|        -46.437        -45.540         -0.897|
     02_65           [3+2]cycloaddition|          6.150          8.080         -1.930|         56.297         56.870         -0.573|        -50.147        -48.790         -1.357|
     02_66           [3+2]cycloaddition|          4.779          6.790         -2.011|         55.354         55.770         -0.416|        -50.576        -48.980         -1.596|
     02_67           [3+2]cycloaddition|          3.813          6.930         -3.117|         32.281         34.090         -1.809|        -28.468        -27.160         -1.308|
     02_68           [3+2]cycloaddition|          5.952          8.700         -2.748|         33.140         35.150         -2.010|        -27.188        -26.450         -0.738|
     02_69           [3+2]cycloaddition|         10.663         13.350         -2.687|         36.869         38.420         -1.551|        -26.206        -25.070         -1.136|
     02_70           [3+2]cycloaddition|         34.081         33.300          0.781|         39.766         41.800         -2.034|         -5.685         -8.510          2.825|
     02_71           [3+2]cycloaddition|         35.408         34.780          0.628|         37.753         40.160         -2.407|         -2.345         -5.380          3.035|
     02_72           [3+2]cycloaddition|         24.828         26.380         -1.552|         49.522         51.440         -1.918|        -24.694        -25.060          0.366|
     02_73           [3+2]cycloaddition|          6.808         10.060         -3.252|         45.055         45.530         -0.475|        -38.247        -35.470         -2.777|
     02_74           [3+2]cycloaddition|         25.232         27.860         -2.628|         24.593         26.230         -1.637|          0.639          1.630         -0.991|
     02_75           [3+2]cycloaddition|          6.656          9.790         -3.134|         41.217         41.830         -0.613|        -34.562        -32.040         -2.522|
     02_76           [3+2]cycloaddition|         17.545         20.350         -2.805|         35.664         37.370         -1.706|        -18.119        -17.020         -1.099|
     02_77           [3+2]cycloaddition|          4.019          6.990         -2.971|         46.042         46.280         -0.238|        -42.023        -39.300         -2.723|
     02_78           [3+2]cycloaddition|         16.374         19.130         -2.756|         36.616         38.270         -1.654|        -20.242        -19.140         -1.102|
     02_79           [3+2]cycloaddition|         -1.204          1.940         -3.144|         41.699         42.250         -0.551|        -42.903        -40.310         -2.593|
     02_80           [3+2]cycloaddition|         25.269         28.380         -3.111|         40.171         41.250         -1.079|        -14.902        -12.870         -2.032|
     02_81           [3+2]cycloaddition|          8.063         11.140         -3.077|         42.156         43.060         -0.904|        -34.094        -31.920         -2.174|
     02_82                 Electrocyclic|          6.835         10.610         -3.775|         37.276         37.950         -0.674|        -30.441        -27.340         -3.101|
     02_83                 Electrocyclic|         16.448         17.650         -1.202|         46.918         44.980          1.938|        -30.470        -27.330         -3.140|
     02_84                 Electrocyclic|         24.498         26.680         -2.182|         50.135         50.510         -0.375|        -25.637        -23.830         -1.807|
     02_85                 Electrocyclic|         28.610         30.660         -2.050|         51.065         51.430         -0.365|        -22.455        -20.780         -1.675|
     02_86                 Electrocyclic|         25.661         27.740         -2.079|         52.454         52.700         -0.246|        -26.793        -24.960         -1.833|
     02_87                 Electrocyclic|         28.791         30.730         -1.939|         53.646         53.650         -0.004|        -24.855        -22.910         -1.945|
     02_88                 Electrocyclic|         22.448         24.910         -2.462|         51.239         51.360         -0.121|        -28.791        -26.450         -2.341|
     02_89                 Electrocyclic|         26.099         28.620         -2.521|         52.748         52.880         -0.132|        -26.649        -24.260         -2.389|
     02_90                 Electrocyclic|         25.275         27.430         -2.155|         51.791         52.170         -0.379|        -26.516        -24.740         -1.776|
     02_91                 Electrocyclic|         28.996         31.000         -2.004|         54.265         54.550         -0.285|        -25.269        -23.550         -1.719|
     02_92                 Electrocyclic|         20.769         23.660         -2.891|         53.400         53.480         -0.080|        -32.631        -29.820         -2.811|
     02_93                 Electrocyclic|         26.644         28.690         -2.046|         55.072         54.950          0.122|        -28.428        -26.260         -2.168|
     02_94                 Electrocyclic|         22.643         25.600         -2.957|         54.246         54.460         -0.214|        -31.603        -28.860         -2.743|
     02_95                 Electrocyclic|         25.172         28.020         -2.848|         55.572         55.880         -0.308|        -30.400        -27.860         -2.540|
     02_96                 Electrocyclic|         10.207         11.390         -1.183|         16.119         15.190          0.929|         -5.912         -3.800         -2.112|
     02_97                 Electrocyclic|         42.831         43.520         -0.689|         21.233         21.760         -0.527|         21.598         21.760         -0.162|
     02_98                 Electrocyclic|         33.372         33.080          0.292|         45.914         45.420          0.494|        -12.542        -12.340         -0.202|
     02_99                 Electrocyclic|         45.687         44.280          1.407|         55.985         54.350          1.635|        -10.298        -10.070         -0.228|
    02_100                 Electrocyclic|         36.379         36.070          0.309|         18.659         19.790         -1.131|         17.720         16.280          1.440|
    02_101                 Electrocyclic|         43.075         41.800          1.275|         46.582         45.810          0.772|         -3.507         -4.010          0.503|
    02_102                 Electrocyclic|         38.845         38.730          0.115|         37.343         36.550          0.793|          1.501          2.180         -0.679|
    02_103                 Electrocyclic|         36.539         36.240          0.299|         37.333         36.680          0.653|         -0.794         -0.440         -0.354|
