,Name,Type,wb97m-v-DFT-forward,REF-forward,wb97m-v-DELTA-forward,wb97m-v-DFT-reverse,REF-reverse,wb97m-v-DELTA-reverse,wb97m-v-DFT-reaction,REF-reaction,wb97m-v-DELTA-reaction
0,02_1,Diels-Alder,6.726,8.1,-1.374,44.769,43.77,0.999,-38.043,-35.66,-2.383
1,02_2,Diels-Alder,7.51,8.85,-1.340,44.406,43.49,0.916,-36.896,-34.63,-2.266
2,02_3,Diels-Alder,10.22,11.45,-1.230,49.196,47.83,1.366,-38.977,-36.38,-2.597
3,02_4,Diels-Alder,8.552,10.15,-1.598,48.104,47.06,1.044,-39.553,-36.92,-2.633
4,02_5,Diels-Alder,27.414,26.57,0.844,95.022,93.72,1.302,-67.608,-67.15,-0.458
5,02_6,Diels-Alder,28.336,26.77,1.566,64.154,62.05,2.104,-35.818,-35.27,-0.548
6,02_7,Diels-Alder,20.378,19.07,1.308,42.714,39.4,3.314,-22.335,-20.32,-2.015
7,02_8,Diels-Alder,12.409,12.2,0.209,37.429,36.77,0.659,-25.02,-24.57,-0.450
8,02_9,Diels-Alder,18.079,17.83,0.249,50.103,47.85,2.253,-32.024,-30.02,-2.004
9,02_10,Diels-Alder,19.502,19.75,-0.248,53.281,50.92,2.361,-33.778,-31.17,-2.608
10,02_11,Diels-Alder,22.707,23.08,-0.373,47.809,45.7,2.109,-25.102,-22.62,-2.482
11,02_12,Diels-Alder,24.292,24.51,-0.218,47.069,44.87,2.199,-22.777,-20.36,-2.417
12,02_13,Diels-Alder,24.612,24.9,-0.288,62.319,60.92,1.399,-37.708,-36.03,-1.678
13,02_14,Diels-Alder,21.993,21.97,0.023,62.14,60.48,1.660,-40.147,-38.51,-1.637
14,02_15,Diels-Alder,25.01,25.29,-0.280,62.266,60.68,1.586,-37.256,-35.39,-1.866
15,02_16,Diels-Alder,24.292,23.43,0.862,54.942,53.32,1.622,-30.651,-29.89,-0.761
16,02_17,Diels-Alder,15.808,15.27,0.538,60.708,59.46,1.248,-44.9,-44.18,-0.720
17,02_18,Diels-Alder,20.336,19.86,0.476,71.914,70.4,1.514,-51.578,-50.54,-1.038
18,02_19,Diels-Alder,24.41,22.04,2.370,61.951,59.33,2.621,-37.542,-37.29,-0.252
19,02_20,Diels-Alder,21.049,19.1,1.949,59.948,56.89,3.058,-38.899,-37.79,-1.109
20,02_21,Diels-Alder,12.854,12.4,0.454,63.472,62.14,1.332,-50.618,-49.74,-0.878
21,02_22,Diels-Alder,8.631,8.83,-0.199,70.489,68.85,1.639,-61.858,-60.01,-1.848
22,02_23,Diels-Alder,25.276,24.81,0.466,58.379,57.02,1.359,-33.103,-32.21,-0.893
23,02_24,Diels-Alder,26.57,26.62,-0.050,75.148,73.95,1.198,-48.578,-47.33,-1.248
24,02_25,Diels-Alder,23.555,23.55,0.005,56.264,54.52,1.744,-32.709,-30.97,-1.739
25,02_26,Diels-Alder,27.918,27.83,0.088,49.488,47.79,1.698,-21.569,-19.96,-1.609
26,02_27,Diels-Alder,29.482,29.6,-0.118,51.793,50.22,1.573,-22.311,-20.62,-1.691
27,02_28,Diels-Alder,24.09,21.69,2.400,39.761,38.32,1.441,-15.671,-16.63,0.959
28,02_29,Diels-Alder,3.029,1.65,1.379,35.651,35.57,0.081,-32.621,-33.92,1.299
29,02_30,Diels-Alder,9.101,7.98,1.121,54.36,55.02,-0.660,-45.259,-47.04,1.781
30,02_31,Diels-Alder,15.912,15.12,0.792,35.572,36.68,-1.108,-19.659,-21.56,1.901
31,02_32,Diels-Alder,7.952,6.61,1.342,53.506,54.79,-1.284,-45.554,-48.18,2.626
32,02_33,Diels-Alder,13.023,11.62,1.403,54.851,53.25,1.601,-41.828,-41.63,-0.198
33,02_34,Diels-Alder,17.619,18.28,-0.661,31.389,30.48,0.909,-13.769,-12.21,-1.559
34,02_35,Diels-Alder,15.866,16.53,-0.664,30.52,29.81,0.710,-14.654,-13.28,-1.374
35,02_36,Diels-Alder,15.027,15.49,-0.463,34.578,33.65,0.928,-19.551,-18.16,-1.391
36,02_37,Diels-Alder,16.574,17.0,-0.426,35.579,34.43,1.149,-19.005,-17.43,-1.575
37,02_38,Diels-Alder,24.158,22.73,1.428,37.476,36.09,1.386,-13.319,-13.36,0.041
38,02_39,Diels-Alder,39.272,37.42,1.852,40.965,39.32,1.645,-1.693,-1.9,0.207
39,02_40,Diels-Alder,14.032,14.26,-0.228,28.091,27.77,0.321,-14.06,-13.51,-0.550
40,02_41,Diels-Alder,29.143,28.06,1.083,32.324,31.78,0.544,-3.181,-3.72,0.539
41,02_42,Diels-Alder,8.67,8.58,0.090,48.844,47.74,1.104,-40.175,-39.15,-1.025
42,02_43,Diels-Alder,16.905,16.35,0.555,50.296,48.76,1.536,-33.39,-32.41,-0.980
43,02_44,Diels-Alder,16.872,16.64,0.232,54.227,53.18,1.047,-37.354,-36.54,-0.814
44,02_45,Diels-Alder,16.662,16.98,-0.318,60.759,59.46,1.299,-44.097,-42.48,-1.617
45,02_46,Diels-Alder,26.381,26.48,-0.099,53.135,51.36,1.775,-26.754,-24.88,-1.874
46,02_47,Diels-Alder,-2.434,-1.34,-1.094,88.928,88.51,0.418,-91.362,-89.85,-1.512
47,02_48,Diels-Alder,0.37,1.98,-1.610,88.169,86.44,1.729,-87.8,-84.47,-3.330
48,02_49,Diels-Alder,13.068,13.95,-0.882,49.243,47.2,2.043,-36.175,-33.24,-2.935
49,02_50,[3+2]cycloaddition,18.206,18.44,-0.234,37.058,35.48,1.578,-18.852,-17.04,-1.812
50,02_51,[3+2]cycloaddition,-3.951,-1.95,-2.001,24.129,24.26,-0.131,-28.08,-26.21,-1.870
51,02_52,[3+2]cycloaddition,11.748,12.39,-0.642,38.817,36.11,2.707,-27.069,-23.72,-3.349
52,02_53,[3+2]cycloaddition,8.055,10.45,-2.395,37.194,35.89,1.304,-29.139,-25.44,-3.699
53,02_54,[3+2]cycloaddition,-1.875,-0.12,-1.755,26.83,26.38,0.450,-28.706,-26.5,-2.206
54,02_55,[3+2]cycloaddition,13.259,12.65,0.609,56.236,52.78,3.456,-42.977,-40.12,-2.857
55,02_56,[3+2]cycloaddition,12.058,11.6,0.458,96.305,91.82,4.485,-84.247,-80.21,-4.037
56,02_57,[3+2]cycloaddition,8.772,8.1,0.672,90.129,84.96,5.169,-81.358,-76.87,-4.488
57,02_58,[3+2]cycloaddition,16.351,15.43,0.921,71.503,68.29,3.213,-55.152,-52.86,-2.292
58,02_59,[3+2]cycloaddition,16.07,15.3,0.770,71.039,67.99,3.049,-54.969,-52.69,-2.279
59,02_60,[3+2]cycloaddition,5.996,5.93,0.066,91.488,86.94,4.548,-85.492,-81.0,-4.492
60,02_61,[3+2]cycloaddition,-0.232,0.41,-0.642,54.993,56.6,-1.607,-55.225,-56.19,0.965
61,02_62,[3+2]cycloaddition,3.897,3.87,0.027,57.312,58.42,-1.108,-53.415,-54.55,1.135
62,02_63,[3+2]cycloaddition,17.198,16.87,0.328,41.327,41.5,-0.173,-24.13,-24.63,0.500
63,02_64,[3+2]cycloaddition,5.92,5.38,0.540,50.43,50.91,-0.480,-44.51,-45.54,1.030
