      NAME                          TYPE|                                   FORWARD BH|                                   REVERSE BH|                              REACTION ENERGY|
                                        |            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|
      02_1                   Diels-Alder|          6.726          8.100         -1.374|         44.769         43.770          0.999|        -38.043        -35.660         -2.383|
      02_2                   Diels-Alder|          7.510          8.850         -1.340|         44.406         43.490          0.916|        -36.896        -34.630         -2.266|
      02_3                   Diels-Alder|         10.220         11.450         -1.230|         49.196         47.830          1.366|        -38.977        -36.380         -2.597|
      02_4                   Diels-Alder|          8.552         10.150         -1.598|         48.104         47.060          1.044|        -39.553        -36.920         -2.633|
      02_5                   Diels-Alder|         27.414         26.570          0.844|         95.022         93.720          1.302|        -67.608        -67.150         -0.458|
      02_6                   Diels-Alder|         28.336         26.770          1.566|         64.154         62.050          2.104|        -35.818        -35.270         -0.548|
      02_7                   Diels-Alder|         20.378         19.070          1.308|         42.714         39.400          3.314|        -22.335        -20.320         -2.015|
      02_8                   Diels-Alder|         12.409         12.200          0.209|         37.429         36.770          0.659|        -25.020        -24.570         -0.450|
      02_9                   Diels-Alder|         18.079         17.830          0.249|         50.103         47.850          2.253|        -32.024        -30.020         -2.004|
     02_10                   Diels-Alder|         19.502         19.750         -0.248|         53.281         50.920          2.361|        -33.778        -31.170         -2.608|
     02_11                   Diels-Alder|         22.707         23.080         -0.373|         47.809         45.700          2.109|        -25.102        -22.620         -2.482|
     02_12                   Diels-Alder|         24.292         24.510         -0.218|         47.069         44.870          2.199|        -22.777        -20.360         -2.417|
     02_13                   Diels-Alder|         24.612         24.900         -0.288|         62.319         60.920          1.399|        -37.708        -36.030         -1.678|
     02_14                   Diels-Alder|         21.993         21.970          0.023|         62.140         60.480          1.660|        -40.147        -38.510         -1.637|
     02_15                   Diels-Alder|         25.010         25.290         -0.280|         62.266         60.680          1.586|        -37.256        -35.390         -1.866|
     02_16                   Diels-Alder|         24.292         23.430          0.862|         54.942         53.320          1.622|        -30.651        -29.890         -0.761|
     02_17                   Diels-Alder|         15.808         15.270          0.538|         60.708         59.460          1.248|        -44.900        -44.180         -0.720|
     02_18                   Diels-Alder|         20.336         19.860          0.476|         71.914         70.400          1.514|        -51.578        -50.540         -1.038|
     02_19                   Diels-Alder|         24.410         22.040          2.370|         61.951         59.330          2.621|        -37.542        -37.290         -0.252|
     02_20                   Diels-Alder|         21.049         19.100          1.949|         59.948         56.890          3.058|        -38.899        -37.790         -1.109|
     02_21                   Diels-Alder|         12.854         12.400          0.454|         63.472         62.140          1.332|        -50.618        -49.740         -0.878|
     02_22                   Diels-Alder|          8.631          8.830         -0.199|         70.489         68.850          1.639|        -61.858        -60.010         -1.848|
     02_23                   Diels-Alder|         25.276         24.810          0.466|         58.379         57.020          1.359|        -33.103        -32.210         -0.893|
     02_24                   Diels-Alder|         26.570         26.620         -0.050|         75.148         73.950          1.198|        -48.578        -47.330         -1.248|
     02_25                   Diels-Alder|         23.555         23.550          0.005|         56.264         54.520          1.744|        -32.709        -30.970         -1.739|
     02_26                   Diels-Alder|         27.918         27.830          0.088|         49.488         47.790          1.698|        -21.569        -19.960         -1.609|
     02_27                   Diels-Alder|         29.482         29.600         -0.118|         51.793         50.220          1.573|        -22.311        -20.620         -1.691|
     02_28                   Diels-Alder|         24.090         21.690          2.400|         39.761         38.320          1.441|        -15.671        -16.630          0.959|
     02_29                   Diels-Alder|          3.029          1.650          1.379|         35.651         35.570          0.081|        -32.621        -33.920          1.299|
     02_30                   Diels-Alder|          9.101          7.980          1.121|         54.360         55.020         -0.660|        -45.259        -47.040          1.781|
     02_31                   Diels-Alder|         15.912         15.120          0.792|         35.572         36.680         -1.108|        -19.659        -21.560          1.901|
     02_32                   Diels-Alder|          7.952          6.610          1.342|         53.506         54.790         -1.284|        -45.554        -48.180          2.626|
     02_33                   Diels-Alder|         13.023         11.620          1.403|         54.851         53.250          1.601|        -41.828        -41.630         -0.198|
