      NAME                          TYPE|                                   FORWARD BH|                                   REVERSE BH|                              REACTION ENERGY|
                                        |            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|
      02_1                   Diels-Alder|          8.226          8.100          0.126|         49.621         43.770          5.851|        -41.395        -35.660         -5.735|
      02_2                   Diels-Alder|          9.033          8.850          0.183|         49.275         43.490          5.785|        -40.242        -34.630         -5.612|
      02_3                   Diels-Alder|         11.421         11.450         -0.029|         54.072         47.830          6.242|        -42.650        -36.380         -6.270|
      02_4                   Diels-Alder|          9.645         10.150         -0.505|         52.884         47.060          5.824|        -43.239        -36.920         -6.319|
      02_5                   Diels-Alder|         28.320         26.570          1.750|         99.932         93.720          6.212|        -71.612        -67.150         -4.462|
      02_6                   Diels-Alder|         28.849         26.770          2.079|         68.770         62.050          6.720|        -39.921        -35.270         -4.651|
      02_7                   Diels-Alder|         21.807         19.070          2.737|         47.674         39.400          8.274|        -25.867        -20.320         -5.547|
      02_8                   Diels-Alder|         13.436         12.200          1.236|         41.488         36.770          4.718|        -28.052        -24.570         -3.482|
      02_9                   Diels-Alder|         19.535         17.830          1.705|         54.660         47.850          6.810|        -35.125        -30.020         -5.105|
     02_10                   Diels-Alder|         20.920         19.750          1.170|         57.815         50.920          6.895|        -36.896        -31.170         -5.726|
     02_11                   Diels-Alder|         24.328         23.080          1.248|         52.587         45.700          6.887|        -28.259        -22.620         -5.639|
     02_12                   Diels-Alder|         25.697         24.510          1.187|         51.880         44.870          7.010|        -26.183        -20.360         -5.823|
     02_13                   Diels-Alder|         26.166         24.900          1.266|         67.204         60.920          6.284|        -41.038        -36.030         -5.008|
     02_14                   Diels-Alder|         23.524         21.970          1.554|         67.049         60.480          6.569|        -43.524        -38.510         -5.014|
     02_15                   Diels-Alder|         26.639         25.290          1.349|         67.055         60.680          6.375|        -40.416        -35.390         -5.026|
     02_16                   Diels-Alder|         25.456         23.430          2.026|         59.472         53.320          6.152|        -34.016        -29.890         -4.126|
     02_17                   Diels-Alder|         16.841         15.270          1.571|         65.539         59.460          6.079|        -48.697        -44.180         -4.517|
     02_18                   Diels-Alder|         21.342         19.860          1.482|         77.081         70.400          6.681|        -55.739        -50.540         -5.199|
     02_19                   Diels-Alder|         25.953         22.040          3.913|         66.808         59.330          7.478|        -40.855        -37.290         -3.565|
     02_20                   Diels-Alder|         22.373         19.100          3.273|         64.691         56.890          7.801|        -42.319        -37.790         -4.529|
     02_21                   Diels-Alder|         13.639         12.400          1.239|         68.781         62.140          6.641|        -55.142        -49.740         -5.402|
     02_22                   Diels-Alder|          9.092          8.830          0.262|         75.623         68.850          6.773|        -66.530        -60.010         -6.520|
     02_23                   Diels-Alder|         26.510         24.810          1.700|         63.521         57.020          6.501|        -37.011        -32.210         -4.801|
     02_24                   Diels-Alder|         27.921         26.620          1.301|         80.183         73.950          6.233|        -52.262        -47.330         -4.932|
     02_25                   Diels-Alder|         24.858         23.550          1.308|         61.099         54.520          6.579|        -36.242        -30.970         -5.272|
     02_26                   Diels-Alder|         29.207         27.830          1.377|         54.035         47.790          6.245|        -24.828        -19.960         -4.868|
     02_27                   Diels-Alder|         30.798         29.600          1.198|         56.405         50.220          6.185|        -25.607        -20.620         -4.987|
     02_28                   Diels-Alder|         24.301         21.690          2.611|         43.986         38.320          5.666|        -19.685        -16.630         -3.055|
     02_29                   Diels-Alder|          3.472          1.650          1.822|         39.650         35.570          4.080|        -36.179        -33.920         -2.259|
     02_30                   Diels-Alder|          9.955          7.980          1.975|         58.336         55.020          3.316|        -48.381        -47.040         -1.341|
     02_31                   Diels-Alder|         16.861         15.120          1.741|         38.934         36.680          2.254|        -22.073        -21.560         -0.513|
     02_32                   Diels-Alder|          9.141          6.610          2.531|         57.692         54.790          2.902|        -48.551        -48.180         -0.371|
     02_33                   Diels-Alder|         13.961         11.620          2.341|         59.385         53.250          6.135|        -45.424        -41.630         -3.794|
     02_34                   Diels-Alder|         18.231         18.280         -0.049|         33.454         30.480          2.974|        -15.223        -12.210         -3.013|
     02_35                   Diels-Alder|         16.303         16.530         -0.227|         32.421         29.810          2.611|        -16.118        -13.280         -2.838|
     02_36                   Diels-Alder|         15.421         15.490         -0.069|         36.523         33.650          2.873|        -21.102        -18.160         -2.942|
     02_37                   Diels-Alder|         17.180         17.000          0.180|         37.641         34.430          3.211|        -20.461        -17.430         -3.031|
     02_38                   Diels-Alder|         25.108         22.730          2.378|         41.179         36.090          5.089|        -16.071        -13.360         -2.711|
     02_39                   Diels-Alder|         39.803         37.420          2.383|         44.341         39.320          5.021|         -4.538         -1.900         -2.638|
     02_40                   Diels-Alder|         14.973         14.260          0.713|         31.561         27.770          3.791|        -16.588        -13.510         -3.078|
     02_41                   Diels-Alder|         29.858         28.060          1.798|         36.036         31.780          4.256|         -6.178         -3.720         -2.458|
     02_42                   Diels-Alder|         10.276          8.580          1.696|         52.861         47.740          5.121|        -42.585        -39.150         -3.435|
     02_43                   Diels-Alder|         18.729         16.350          2.379|         54.725         48.760          5.965|        -35.996        -32.410         -3.586|
     02_44                   Diels-Alder|         18.428         16.640          1.788|         58.499         53.180          5.319|        -40.071        -36.540         -3.531|
     02_45                   Diels-Alder|         18.196         16.980          1.216|         65.225         59.460          5.765|        -47.028        -42.480         -4.548|
     02_46                   Diels-Alder|         27.818         26.480          1.338|         57.900         51.360          6.540|        -30.082        -24.880         -5.202|
     02_47                   Diels-Alder|         -1.733         -1.340         -0.393|         94.207         88.510          5.697|        -95.940        -89.850         -6.090|
     02_48                   Diels-Alder|          1.188          1.980         -0.792|         93.450         86.440          7.010|        -92.262        -84.470         -7.792|
     02_49                   Diels-Alder|         14.644         13.950          0.694|         53.997         47.200          6.797|        -39.353        -33.240         -6.113|
     02_50           [3+2]cycloaddition|         18.941         18.440          0.501|         40.173         35.480          4.693|        -21.232        -17.040         -4.192|
     02_51           [3+2]cycloaddition|         -2.877         -1.950         -0.927|         27.519         24.260          3.259|        -30.396        -26.210         -4.186|
     02_52           [3+2]cycloaddition|         12.235         12.390         -0.155|         41.881         36.110          5.771|        -29.646        -23.720         -5.926|
     02_53           [3+2]cycloaddition|          8.673         10.450         -1.777|         40.232         35.890          4.342|        -31.559        -25.440         -6.119|
     02_54           [3+2]cycloaddition|         -1.980         -0.120         -1.860|         28.680         26.380          2.300|        -30.661        -26.500         -4.161|
     02_55           [3+2]cycloaddition|         14.118         12.650          1.468|         60.201         52.780          7.421|        -46.083        -40.120         -5.963|
     02_56           [3+2]cycloaddition|         12.886         11.600          1.286|        100.316         91.820          8.496|        -87.430        -80.210         -7.220|
     02_57           [3+2]cycloaddition|          9.800          8.100          1.700|         94.463         84.960          9.503|        -84.663        -76.870         -7.793|
     02_58           [3+2]cycloaddition|         17.374         15.430          1.944|         75.041         68.290          6.751|        -57.667        -52.860         -4.807|
     02_59           [3+2]cycloaddition|         17.069         15.300          1.769|         74.533         67.990          6.543|        -57.464        -52.690         -4.774|
     02_60           [3+2]cycloaddition|          6.886          5.930          0.956|         95.537         86.940          8.597|        -88.651        -81.000         -7.651|
     02_61           [3+2]cycloaddition|          0.744          0.410          0.334|         59.033         56.600          2.433|        -58.289        -56.190         -2.099|
     02_62           [3+2]cycloaddition|          5.000          3.870          1.130|         61.436         58.420          3.016|        -56.435        -54.550         -1.885|
     02_63           [3+2]cycloaddition|         17.641         16.870          0.771|         44.980         41.500          3.480|        -27.339        -24.630         -2.709|
     02_64           [3+2]cycloaddition|          6.552          5.380          1.172|         54.356         50.910          3.446|        -47.804        -45.540         -2.264|
     02_65           [3+2]cycloaddition|          8.859          8.080          0.779|         59.667         56.870          2.797|        -50.808        -48.790         -2.018|
     02_66           [3+2]cycloaddition|          6.759          6.790         -0.031|         57.997         55.770          2.227|        -51.239        -48.980         -2.259|
     02_67           [3+2]cycloaddition|          7.844          6.930          0.914|         40.016         34.090          5.926|        -32.172        -27.160         -5.012|
     02_68           [3+2]cycloaddition|          9.576          8.700          0.876|         40.941         35.150          5.791|        -31.365        -26.450         -4.915|
     02_69           [3+2]cycloaddition|         14.469         13.350          1.119|         44.396         38.420          5.976|        -29.928        -25.070         -4.858|
     02_70           [3+2]cycloaddition|         34.746         33.300          1.446|         47.933         41.800          6.133|        -13.187         -8.510         -4.677|
     02_71           [3+2]cycloaddition|         36.199         34.780          1.419|         46.493         40.160          6.333|        -10.295         -5.380         -4.915|
     02_72           [3+2]cycloaddition|         30.006         26.380          3.626|         57.893         51.440          6.453|        -27.886        -25.060         -2.826|
     02_73           [3+2]cycloaddition|         10.043         10.060         -0.017|         49.679         45.530          4.149|        -39.636        -35.470         -4.166|
     02_74           [3+2]cycloaddition|         27.368         27.860         -0.492|         29.676         26.230          3.446|         -2.308          1.630         -3.938|
     02_75           [3+2]cycloaddition|          9.841          9.790          0.051|         45.931         41.830          4.101|        -36.090        -32.040         -4.050|
     02_76           [3+2]cycloaddition|         20.757         20.350          0.407|         41.016         37.370          3.646|        -20.259        -17.020         -3.239|
     02_77           [3+2]cycloaddition|          7.055          6.990          0.065|         51.065         46.280          4.785|        -44.009        -39.300         -4.709|
     02_78           [3+2]cycloaddition|         20.114         19.130          0.984|         42.137         38.270          3.867|        -22.023        -19.140         -2.883|
     02_79           [3+2]cycloaddition|          1.397          1.940         -0.543|         46.625         42.250          4.375|        -45.228        -40.310         -4.918|
     02_80           [3+2]cycloaddition|         29.327         28.380          0.947|         45.504         41.250          4.254|        -16.178        -12.870         -3.308|
     02_81           [3+2]cycloaddition|         11.161         11.140          0.021|         46.569         43.060          3.509|        -35.408        -31.920         -3.488|
     02_82                 Electrocyclic|         10.647         10.610          0.037|         41.980         37.950          4.030|        -31.333        -27.340         -3.993|
     02_83                 Electrocyclic|         19.023         17.650          1.373|         45.105         44.980          0.125|        -26.083        -27.330          1.247|
     02_84                 Electrocyclic|         28.146         26.680          1.466|         54.507         50.510          3.997|        -26.362        -23.830         -2.532|
     02_85                 Electrocyclic|         31.783         30.660          1.123|         55.517         51.430          4.087|        -23.735        -20.780         -2.955|
     02_86                 Electrocyclic|         28.607         27.740          0.867|         56.456         52.700          3.756|        -27.849        -24.960         -2.889|
     02_87                 Electrocyclic|         31.635         30.730          0.905|         57.836         53.650          4.186|        -26.201        -22.910         -3.291|
     02_88                 Electrocyclic|         26.491         24.910          1.581|         55.376         51.360          4.016|        -28.885        -26.450         -2.435|
