#    R. ID             FORWARD             REVERSE            REACTION
rxn_365                 47.911              65.485             -17.574
rxn_657                 33.402              60.734             -27.332
rxn_853                 37.884              33.333               4.551
rxn_1093                46.873              35.198              11.675
rxn_1217                32.581              34.476              -1.895
rxn_1424                45.009              35.236               9.772
rxn_1708                30.618              50.507             -19.890
rxn_1814                22.272              53.475             -31.202
rxn_2012                27.343              53.395             -26.052
rxn_3483                40.366              48.623              -8.257
rxn_4392                14.727              39.678             -24.952
rxn_5245                42.145              43.321              -1.176
rxn_5534                47.601              46.580               1.021
rxn_5964                35.634              49.671             -14.037
rxn_6612                38.012              22.447              15.565
rxn_7236                36.613              38.356              -1.743
rxn_7888                37.120              74.592             -37.472
rxn_7911                45.338              77.349             -32.011
