#    R. ID             FORWARD             REVERSE            REACTION
rxn_365                 30.887              59.914             -29.026
rxn_657                 18.219              53.734             -35.515
rxn_853                 26.659              27.105              -0.446
rxn_1093                31.829              30.173               1.657
rxn_1217                22.767              28.410              -5.643
rxn_1424                30.789              30.001               0.787
rxn_1708                16.832              44.524             -27.691
rxn_1814                13.833              48.792             -34.959
rxn_2012                15.180              46.333             -31.153
rxn_3483                26.167              40.146             -13.979
rxn_4392                 9.471              27.647             -18.176
rxn_5245                33.166              35.515              -2.349
rxn_5534                37.348              36.756               0.592
rxn_5964                27.220              43.007             -15.787
rxn_6612                28.351              16.097              12.254
rxn_7236                28.909              32.170              -3.261
rxn_7888                29.934              67.480             -37.545
rxn_7911                34.945              69.519             -34.574
