#    R. ID             FORWARD             REVERSE            REACTION
rxn_365                 27.316              74.601             -47.285
rxn_657                 12.533              67.417             -54.885
rxn_853                 18.005              36.981             -18.976
rxn_1093                24.378              40.168             -15.790
rxn_1217                16.064              38.556             -22.493
rxn_1424                23.343              40.079             -16.736
rxn_1708                11.506              58.841             -47.334
rxn_1814                 7.609              62.039             -54.429
rxn_2012                 9.203              59.970             -50.767
rxn_3483                18.303              50.716             -32.413
rxn_4392                 6.327              44.666             -38.339
rxn_5245                40.457              41.268              -0.812
rxn_5534                39.551              38.179               1.372
rxn_5964                34.105              51.727             -17.622
rxn_6612                28.357              26.644               1.713
rxn_7236                26.101              40.875             -14.774
rxn_7888                27.398              81.675             -54.277
rxn_7911                31.656              82.527             -50.872
