#    R. ID             FORWARD             REVERSE            REACTION
rxn_365                 31.616              70.737             -39.121
rxn_657                 16.733              65.621             -48.887
rxn_853                 23.431              36.114             -12.683
rxn_1093                29.531              38.757              -9.226
rxn_1217                20.924              37.015             -16.091
rxn_1424                28.946              38.661              -9.715
rxn_1708                17.316              56.192             -38.876
rxn_1814                13.617              58.095             -44.478
rxn_2012                15.363              57.190             -41.827
rxn_3483                20.388              48.139             -27.751
rxn_4392                 9.817              40.819             -31.002
rxn_5245                40.439              43.412              -2.973
rxn_5534                42.568              42.087               0.481
rxn_5964                33.727              51.394             -17.667
rxn_6612                31.566              24.200               7.366
rxn_7236                28.906              38.907             -10.001
rxn_7888                32.111              78.156             -46.045
rxn_7911                36.941              78.501             -41.560
