#    R. ID             FORWARD             REVERSE            REACTION
rxn_365                 42.218              41.534               0.684
rxn_635                 41.873              36.145               5.728
rxn_657                 31.198              38.055              -6.857
rxn_853                 37.818              16.562              21.256
rxn_1024                26.580              15.602              10.978
rxn_1093                47.383              17.418              29.966
rxn_1217                31.977              16.838              15.139
rxn_1424                45.558              17.482              28.076
rxn_1441                43.015              20.276              22.739
rxn_1487                23.623              44.347             -20.724
rxn_1708                26.098              29.389              -3.291
rxn_1814                18.777              34.696             -15.919
rxn_1909                25.695              29.077              -3.382
rxn_2012                23.215              33.131              -9.917
rxn_2482                27.641              38.315             -10.674
rxn_3483                41.933              25.946              15.988
rxn_3536                38.021              23.313              14.708
rxn_4392                 9.980              10.169              -0.190
rxn_5245                25.582              29.873              -4.291
rxn_5374                25.507              32.330              -6.823
rxn_5534                33.685              35.636              -1.950
rxn_5964                20.452              31.047             -10.596
rxn_5974                19.318              36.567             -17.249
rxn_6192                27.214              34.299              -7.085
rxn_6371                46.537              48.147              -1.610
rxn_6612                32.465               6.738              25.727
rxn_7236                31.532              17.832              13.700
rxn_7406                72.037              26.833              45.204
rxn_7888                25.915              51.396             -25.481
rxn_7911                36.543              56.917             -20.374
