#    R. ID             FORWARD             REVERSE            REACTION
rxn_365                 32.413              66.199             -33.786
rxn_635                 29.422              57.508             -28.086
rxn_657                 18.759              59.888             -41.128
rxn_853                 24.230              32.135              -7.905
rxn_1024                16.556              31.934             -15.378
rxn_1093                31.890              34.553              -2.663
rxn_1217                20.862              33.393             -12.531
rxn_1424                30.384              34.507              -4.123
rxn_1441                30.123              37.185              -7.061
rxn_1487                13.842              59.904             -46.062
rxn_1708                16.085              51.450             -35.366
rxn_1814                10.545              55.399             -44.854
rxn_1909                15.890              51.171             -35.281
rxn_2012                13.476              53.403             -39.927
rxn_2482                14.310              56.837             -42.526
rxn_3483                27.039              44.859             -17.820
rxn_3536                25.573              45.450             -19.877
rxn_4392                 8.145              36.000             -27.855
rxn_5245                36.681              38.797              -2.116
rxn_5374                35.757              40.721              -4.964
rxn_5534                37.624              37.782              -0.158
rxn_5964                30.635              46.624             -15.989
rxn_5974                30.247              50.918             -20.671
rxn_6192                37.656              50.024             -12.367
rxn_6371                45.215              66.218             -21.004
rxn_6612                28.887              21.566               7.321
rxn_7236                28.220              35.715              -7.494
rxn_7406                67.236              42.197              25.040
rxn_7888                26.260              74.439             -48.179
rxn_7911                33.177              76.893             -43.716
