#    R. ID             FORWARD             REVERSE            REACTION
rxn_365                 29.830              65.834             -36.004
rxn_635                 23.746              56.153             -32.407
rxn_657                 15.238              60.676             -45.438
rxn_853                 22.815              32.356              -9.540
rxn_1024                18.062              31.407             -13.346
rxn_1093                28.246              35.024              -6.779
rxn_1217                20.450              33.134             -12.684
rxn_1424                27.801              34.907              -7.106
rxn_1441                27.099              37.576             -10.477
rxn_1487                 9.130              58.863             -49.733
rxn_1708                15.886              51.415             -35.529
rxn_1814                12.611              53.347             -40.736
rxn_1909                16.074              51.296             -35.222
rxn_2012                14.087              52.371             -38.284
rxn_2482                11.613              55.380             -43.767
rxn_3483                19.305              45.127             -25.822
rxn_3536                19.988              47.012             -27.024
rxn_4392                 9.185              37.901             -28.715
rxn_5245                37.055              40.295              -3.240
rxn_5374                36.553              42.305              -5.752
rxn_5534                41.016              40.901               0.115
rxn_5964                31.064              47.898             -16.835
rxn_5974                30.412              50.301             -19.889
rxn_6192                36.971              51.430             -14.459
rxn_6371                48.656              63.778             -15.122
rxn_6612                31.957              21.751              10.206
rxn_7236                28.516              36.043              -7.527
rxn_7406                67.382              39.870              27.511
rxn_7888                31.101              72.867             -41.766
rxn_7911                35.620              73.154             -37.533
