#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  11.261              52.259             -40.998
rxn_365                 30.070              62.236             -32.166
rxn_635                 25.197              52.063             -26.866
rxn_657                 16.008              55.604             -39.596
rxn_795                 23.957              36.155             -12.198
rxn_853                 24.245              27.945              -3.700
rxn_1024                17.776              27.595              -9.819
rxn_1093                29.699              31.072              -1.374
rxn_1217                21.080              28.999              -7.919
rxn_1424                28.879              30.902              -2.023
rxn_1441                28.933              33.808              -4.875
rxn_1487                11.356              53.874             -42.517
rxn_1536                13.245              44.331             -31.086
rxn_1708                16.104              46.920             -30.816
rxn_1814                11.875              49.803             -37.929
rxn_1909                16.094              46.693             -30.599
rxn_2012                13.485              47.609             -34.124
rxn_2482                12.082              51.602             -39.520
rxn_2551                 8.244              51.990             -43.747
rxn_3480                19.935              44.661             -24.726
rxn_3483                22.485              42.930             -20.445
rxn_3536                22.632              45.123             -22.491
rxn_4392                 8.369              36.557             -28.188
rxn_4701                 5.538              39.613             -34.075
rxn_5245                35.515              36.817              -1.302
rxn_5345                36.716              41.079              -4.363
rxn_5374                35.061              39.047              -3.986
rxn_5534                40.060              39.854               0.207
rxn_5575                34.526              51.678             -17.153
rxn_5964                31.820              46.225             -14.405
rxn_5974                31.689              49.642             -17.952
rxn_6137                25.558              52.787             -27.229
rxn_6180                28.919              38.768              -9.849
rxn_6192                37.435              49.592             -12.157
rxn_6371                46.727              62.378             -15.651
rxn_6424                29.424              28.514               0.910
rxn_6612                32.006              21.747              10.259
rxn_7236                30.440              35.642              -5.202
rxn_7406                69.677              39.195              30.482
rxn_7888                31.951              67.892             -35.941
rxn_7911                34.589              69.103             -34.514
