#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  17.212              52.347             -35.135
rxn_365                 34.129              61.366             -27.237
rxn_635                 32.437              53.129             -20.692
rxn_657                 21.433              55.186             -33.753
rxn_795                 26.176              37.475             -11.299
rxn_853                 26.906              28.824              -1.918
rxn_1024                17.711              28.395             -10.684
rxn_1093                35.112              30.809               4.303
rxn_1217                22.685              29.668              -6.983
rxn_1424                33.342              30.757               2.586
rxn_1441                32.667              33.288              -0.621
rxn_1487                16.437              57.172             -40.736
rxn_1536                14.760              45.154             -30.395
rxn_1708                17.874              47.122             -29.248
rxn_1814                11.236              51.418             -40.182
rxn_1909                17.628              46.867             -29.239
rxn_2012                14.794              49.189             -34.395
rxn_2482                17.476              53.462             -35.985
rxn_2551                14.429              54.296             -39.868
rxn_3480                27.030              40.563             -13.533
rxn_3483                30.980              40.714              -9.734
rxn_3536                28.758              40.494             -11.736
rxn_4392                 7.773              30.351             -22.578
rxn_4701                10.040              34.648             -24.608
rxn_5245                33.924              37.420              -3.497
rxn_5345                34.702              40.272              -5.570
rxn_5374                32.925              39.328              -6.402
rxn_5534                35.461              37.303              -1.842
rxn_5575                32.373              51.563             -19.190
rxn_5964                28.622              42.965             -14.343
rxn_5974                28.065              47.978             -19.912
rxn_6137                20.782              49.907             -29.125
rxn_6180                27.858              35.120              -7.262
rxn_6192                35.620              46.370             -10.750
rxn_6371                44.229              63.038             -18.809
rxn_6424                28.513              22.541               5.972
rxn_6612                28.348              18.187              10.161
rxn_7236                28.330              32.182              -3.852
rxn_7406                67.653              39.504              28.149
rxn_7888                24.705              69.441             -44.735
rxn_7911                32.853              73.051             -40.198
