#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  12.271              70.972             -58.700
rxn_365                 32.229              81.304             -49.075
rxn_635                 28.392              71.553             -43.161
rxn_657                 17.396              73.523             -56.127
rxn_795                 22.076              50.575             -28.500
rxn_853                 20.895              41.497             -20.602
rxn_1024                14.799              41.277             -26.477
rxn_1093                28.059              44.654             -16.595
rxn_1217                18.466              42.848             -24.382
rxn_1424                26.582              44.525             -17.943
rxn_1441                27.322              47.092             -19.770
rxn_1487                12.052              68.572             -56.520
rxn_1536                12.494              62.348             -49.854
rxn_1708                16.009              65.093             -49.084
rxn_1814                10.118              67.324             -57.206
rxn_1909                15.988              64.960             -48.972
rxn_2012                12.800              65.673             -52.873
rxn_2482                11.604              67.542             -55.938
rxn_2551                 8.398              68.465             -60.067
rxn_3480                18.881              57.601             -38.720
rxn_3483                21.845              56.068             -34.223
rxn_3536                20.923              58.049             -37.126
rxn_4392                 6.815              50.127             -43.312
rxn_4701                 4.594              53.707             -49.113
rxn_5245                45.917              46.768              -0.851
rxn_5345                45.711              48.950              -3.239
rxn_5374                44.011              48.362              -4.351
rxn_5534                43.191              42.614               0.577
rxn_5575                42.373              62.605             -20.232
rxn_5964                39.211              56.437             -17.226
rxn_5974                38.778              60.163             -21.385
rxn_6137                32.750              62.850             -30.100
rxn_6180                36.667              47.960             -11.294
rxn_6192                46.318              59.860             -13.542
rxn_6371                48.159              77.371             -29.211
rxn_6424                27.048              36.731              -9.683
rxn_6612                29.257              29.664              -0.407
rxn_7236                27.459              45.731             -18.273
rxn_7406                66.197              49.918              16.279
rxn_7888                29.789              87.040             -57.251
rxn_7911                34.488              88.235             -53.747
