#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  10.989              59.194             -48.205
rxn_365                 31.162              69.081             -37.919
rxn_635                 26.252              59.933             -33.681
rxn_657                 16.343              62.976             -46.633
rxn_795                 23.237              42.694             -19.457
rxn_853                 23.146              33.762             -10.616
rxn_1024                17.269              33.358             -16.089
rxn_1093                29.128              36.511              -7.383
rxn_1217                20.136              35.018             -14.882
rxn_1424                28.298              36.448              -8.150
rxn_1441                27.910              39.314             -11.404
rxn_1487                10.346              59.209             -48.863
rxn_1536                13.018              51.098             -38.080
rxn_1708                16.005              53.528             -37.524
rxn_1814                11.769              56.560             -44.791
rxn_1909                15.903              53.245             -37.342
rxn_2012                13.409              54.967             -41.558
rxn_2482                11.454              57.617             -46.163
rxn_2551                 7.727              58.233             -50.507
rxn_3480                17.929              47.429             -29.500
rxn_3483                21.518              46.708             -25.191
rxn_3536                20.632              47.952             -27.320
rxn_4392                 6.599              39.465             -32.866
rxn_4701                 4.405              43.652             -39.247
rxn_5245                39.171              40.261              -1.091
rxn_5345                39.843              43.335              -3.492
rxn_5374                38.367              42.099              -3.732
rxn_5534                41.684              39.845               1.839
rxn_5575                36.440              54.795             -18.355
rxn_5964                32.965              48.620             -15.655
rxn_5974                32.629              52.157             -19.527
rxn_6137                26.573              56.149             -29.576
rxn_6180                30.234              40.882             -10.648
rxn_6192                39.585              52.354             -12.769
rxn_6371                48.693              67.095             -18.403
rxn_6424                28.842              28.022               0.820
rxn_6612                32.129              23.675               8.454
rxn_7236                28.615              36.900              -8.285
rxn_7406                70.259              43.463              26.796
rxn_7888                31.795              76.338             -44.544
rxn_7911                35.799              77.436             -41.638
