#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  26.832              44.741             -17.908
rxn_365                 43.354              52.071              -8.717
rxn_500                 30.907              49.570             -18.662
rxn_635                 41.682              45.807              -4.125
rxn_657                 30.828              47.828             -17.000
rxn_795                 34.418              32.238               2.180
rxn_816                 27.985              18.569               9.416
rxn_853                 36.819              23.553              13.266
rxn_1024                26.301              22.627               3.675
rxn_1083                33.781              24.295               9.485
rxn_1093                46.002              24.854              21.148
rxn_1217                31.297              24.209               7.088
rxn_1424                44.172              24.924              19.247
rxn_1441                42.184              27.812              14.373
rxn_1487                25.098              49.108             -24.010
rxn_1500                27.728              50.788             -23.059
rxn_1536                23.787              36.882             -13.096
rxn_1606                26.854              41.252             -14.398
rxn_1708                26.828              38.555             -11.727
rxn_1814                19.231              42.948             -23.717
rxn_1909                26.532              38.322             -11.791
rxn_2012                23.797              41.776             -17.979
rxn_2478                28.024              47.297             -19.274
rxn_2482                26.909              45.721             -18.812
rxn_2551                23.668              46.549             -22.881
rxn_3185                34.762              35.540              -0.779
rxn_3480                35.241              34.300               0.940
rxn_3483                40.175              35.453               4.722
rxn_3536                36.497              33.929               2.568
rxn_4392                11.871              23.150             -11.279
rxn_4701                17.693              26.986              -9.293
rxn_5245                32.186              35.228              -3.042
rxn_5345                33.363              38.580              -5.217
rxn_5374                31.620              37.882              -6.262
rxn_5534                38.828              39.639              -0.811
rxn_5575                30.613              48.282             -17.669
rxn_5894                20.631              29.446              -8.815
rxn_5947                29.605              37.607              -8.002
rxn_5964                26.712              38.800             -12.088
rxn_5974                25.579              43.935             -18.356
rxn_6105                35.845              40.084              -4.239
rxn_6117                26.187              36.347             -10.160
rxn_6137                17.381              45.774             -28.393
rxn_6180                26.528              30.683              -4.155
rxn_6192                34.027              42.510              -8.482
rxn_6371                49.943              56.520              -6.577
rxn_6424                34.269              18.268              16.002
rxn_6612                34.021              13.540              20.481
rxn_7236                33.015              26.526               6.490
rxn_7406                73.018              32.291              40.728
rxn_7888                29.876              61.443             -31.567
rxn_7911                39.338              65.756             -26.419
