#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                   6.400              53.001             -46.601
rxn_365                 26.206              63.416             -37.210
rxn_500                 13.908              56.360             -42.452
rxn_552                  5.884              53.782             -47.898
rxn_635                 21.805              53.882             -32.077
rxn_657                 12.120              57.138             -45.017
rxn_695                 14.104              50.858             -36.754
rxn_789                 17.609              33.714             -16.105
rxn_795                 20.415              38.538             -18.123
rxn_816                  9.265              26.046             -16.781
rxn_853                 20.385              29.791              -9.406
rxn_922                 19.813              26.631              -6.818
rxn_1024                14.419              29.363             -14.943
rxn_1083                19.194              30.634             -11.441
rxn_1093                25.349              32.434              -7.085
rxn_1217                17.287              30.829             -13.541
rxn_1228                13.250              28.693             -15.443
rxn_1285                21.567              37.839             -16.272
rxn_1294                13.017              28.123             -15.107
rxn_1344                23.648              43.828             -20.181
rxn_1424                24.759              32.340              -7.581
rxn_1441                24.416              35.104             -10.689
rxn_1487                 6.481              56.264             -49.783
rxn_1495                 4.787              56.707             -51.919
rxn_1500                 6.146              57.428             -51.282
rxn_1536                 9.082              45.773             -36.691
rxn_1606                11.759              49.254             -37.495
rxn_1708                11.840              48.001             -36.160
rxn_1733                11.866              45.717             -33.851
rxn_1814                 8.389              51.804             -43.415
rxn_1909                11.669              47.623             -35.955
rxn_2002                10.600              55.138             -44.538
rxn_2012                 9.399              49.580             -40.181
rxn_2246                 2.992              54.104             -51.113
rxn_2478                 8.076              54.588             -46.512
rxn_2482                 7.813              53.565             -45.751
rxn_2551                 4.029              54.100             -50.071
rxn_2645                 7.526              52.246             -44.720
rxn_2679                 8.816              54.500             -45.685
rxn_2934                 9.570              60.783             -51.213
rxn_3009                19.882              40.886             -21.005
rxn_3185                17.006              44.092             -27.086
rxn_3480                15.342              42.081             -26.738
rxn_3483                18.854              41.527             -22.674
rxn_3536                18.370              42.628             -24.257
rxn_3769                -5.707              32.988             -38.694
rxn_4074                -6.614              39.087             -45.701
rxn_4224                -3.167              32.478             -35.645
rxn_4392                 3.928              33.520             -29.592
rxn_4701                 1.568              38.357             -36.789
rxn_5245                33.697              36.129              -2.432
rxn_5345                34.834              39.326              -4.492
rxn_5374                33.387              37.757              -4.370
rxn_5383                39.465              38.340               1.125
rxn_5432                31.910              45.356             -13.446
rxn_5534                37.161              36.136               1.025
rxn_5551                34.827              35.013              -0.186
rxn_5575                31.930              49.602             -17.673
rxn_5623                28.659              40.545             -11.887
rxn_5737                24.752              51.140             -26.388
rxn_5751                27.322              40.043             -12.721
rxn_5826                31.076              48.634             -17.557
rxn_5865                25.469              34.684              -9.215
rxn_5894                23.120              35.399             -12.279
rxn_5947                31.457              42.183             -10.726
rxn_5964                28.363              43.301             -14.938
rxn_5966                22.248              47.157             -24.909
rxn_5974                28.266              47.124             -18.858
rxn_6105                36.063              46.193             -10.130
rxn_6117                26.468              41.037             -14.569
rxn_6137                22.182              51.231             -29.049
rxn_6180                25.524              36.134             -10.610
rxn_6192                34.552              46.931             -12.380
rxn_6204                20.649              51.789             -31.141
rxn_6313                56.488              54.151               2.336
rxn_6371                44.691              61.826             -17.136
rxn_6377                21.383              54.096             -32.713
rxn_6424                27.298              22.959               4.339
rxn_6612                30.157              20.412               9.745
rxn_7113                51.318              55.440              -4.122
rxn_7236                26.714              32.601              -5.888
rxn_7406                69.288              41.447              27.841
rxn_7501                50.354              55.520              -5.166
rxn_7888                28.481              70.931             -42.450
rxn_7908                33.261              75.221             -41.960
rxn_7911                32.051              72.318             -40.267
rxn_7985                23.007              68.004             -44.997
rxn_8018                11.286              39.787             -28.501
rxn_8302                44.231              77.458             -33.227
rxn_8317                45.118              84.402             -39.284
rxn_8336                22.393              80.080             -57.687
