,Name,b2-plyp-DFT-forward,b2-plyp-DFT-reverse,b2-plyp-DFT-reaction
0,rxn_33,17.755,45.992,-28.236
1,rxn_365,30.912,54.192,-23.28
10,rxn_853,28.182,24.629,3.553
14,rxn_1093,30.318,26.587,3.731
17,rxn_1285,27.688,32.907,-5.22
20,rxn_1424,29.371,26.656,2.716
27,rxn_1708,18.193,40.433,-22.24
29,rxn_1814,13.887,45.079,-31.192
32,rxn_2012,16.302,43.426,-27.124
35,rxn_2482,16.461,47.16,-30.699
43,rxn_3483,24.803,35.785,-10.982
48,rxn_4392,9.521,24.916,-15.395
50,rxn_5245,31.001,32.636,-1.635
55,rxn_5534,36.744,35.325,1.419
68,rxn_6105,33.373,41.44,-8.067
75,rxn_6322,59.896,51.259,8.637
79,rxn_6612,28.414,15.495,12.919
81,rxn_7236,29.623,26.747,2.876
86,rxn_7911,33.56,66.632,-33.072
