,Name,m06-DFT-forward,m06-DFT-reverse,m06-DFT-reaction
0,rxn_33,14.709,50.393,-35.684
1,rxn_365,28.408,59.914,-31.506
10,rxn_853,26.659,27.105,-0.446
14,rxn_1093,26.108,30.173,-4.065
17,rxn_1285,26.272,35.388,-9.116
20,rxn_1424,25.175,30.001,-4.826
27,rxn_1708,16.832,44.524,-27.691
29,rxn_1814,13.833,48.792,-34.959
32,rxn_2012,15.18,46.333,-31.153
35,rxn_2482,15.02,52.461,-37.441
43,rxn_3483,21.873,40.146,-18.272
48,rxn_4392,9.471,27.647,-18.176
50,rxn_5245,33.166,35.515,-2.349
55,rxn_5534,37.348,36.756,0.592
68,rxn_6105,32.631,44.599,-11.968
75,rxn_6322,57.4,57.779,-0.379
79,rxn_6612,25.135,16.097,9.038
81,rxn_7236,28.909,32.17,-3.261
86,rxn_7911,32.529,69.519,-36.99
