,Name,blyp-DFT-forward,blyp-DFT-reverse,blyp-DFT-reaction
0,rxn_33,30.678,34.811,-4.133
1,rxn_365,39.129,41.534,-2.405
10,rxn_853,37.818,16.562,21.256
12,rxn_1017,45.447,19.028,26.419
13,rxn_1024,26.58,15.602,10.978
15,rxn_1093,42.755,17.418,25.337
18,rxn_1285,33.15,23.844,9.306
21,rxn_1424,41.059,17.482,23.578
23,rxn_1466,20.178,44.161,-23.983
29,rxn_1708,26.098,29.389,-3.291
31,rxn_1814,18.777,34.696,-15.919
34,rxn_2012,23.215,33.131,-9.917
35,rxn_2211,28.726,39.812,-11.086
37,rxn_2310,28.613,34.83,-6.217
38,rxn_2334,27.714,38.523,-10.808
40,rxn_2482,27.641,38.315,-10.674
47,rxn_3225,25.828,29.778,-3.949
49,rxn_3483,35.921,25.946,9.975
54,rxn_4392,9.98,10.169,-0.19
56,rxn_5245,25.582,29.873,-4.291
58,rxn_5374,25.507,32.33,-6.823
61,rxn_5534,33.685,35.636,-1.95
66,rxn_5751,20.916,29.454,-8.538
74,rxn_6105,29.122,32.166,-3.044
81,rxn_6322,57.2,43.264,13.936
85,rxn_6583,50.698,20.747,29.952
86,rxn_6612,29.86,6.738,23.122
88,rxn_7236,31.532,17.832,13.7
93,rxn_7911,36.0,56.917,-20.917
