,Name,m062x-DFT-forward,m062x-DFT-reverse,m062x-DFT-reaction
0,rxn_33,12.371,52.259,-39.888
1,rxn_365,27.259,62.236,-34.977
10,rxn_853,24.245,27.945,-3.7
12,rxn_1017,27.827,31.519,-3.692
13,rxn_1024,17.776,27.595,-9.819
15,rxn_1093,23.769,31.072,-7.303
18,rxn_1285,25.053,35.622,-10.569
21,rxn_1424,23.027,30.902,-7.875
23,rxn_1466,8.16,51.594,-43.434
29,rxn_1708,16.104,46.92,-30.816
31,rxn_1814,11.875,49.803,-37.929
34,rxn_2012,13.485,47.609,-34.124
35,rxn_2211,21.614,56.246,-34.632
37,rxn_2310,16.286,52.285,-36.0
38,rxn_2334,12.992,53.236,-40.244
40,rxn_2482,12.082,51.602,-39.52
47,rxn_3225,12.967,47.617,-34.65
49,rxn_3483,19.384,42.93,-23.546
54,rxn_4392,8.369,36.557,-28.188
56,rxn_5245,35.515,36.817,-1.302
58,rxn_5374,35.061,39.047,-3.986
61,rxn_5534,40.06,39.854,0.207
66,rxn_5751,30.536,42.332,-11.796
74,rxn_6105,38.828,48.807,-9.98
81,rxn_6322,63.582,61.733,1.849
85,rxn_6583,47.207,39.604,7.603
86,rxn_6612,28.0,21.747,6.252
88,rxn_7236,30.44,35.642,-5.202
93,rxn_7911,32.414,69.103,-36.688
