,Name,pbe-qidh-DFT-forward,pbe-qidh-DFT-reverse,pbe-qidh-DFT-reaction
0,rxn_33,10.502,56.263,-45.761
1,rxn_365,24.995,65.841,-40.846
10,rxn_853,20.364,31.626,-11.262
12,rxn_1017,25.305,34.964,-9.659
13,rxn_1024,14.337,31.774,-17.437
15,rxn_1093,21.556,34.378,-12.822
18,rxn_1285,21.972,40.409,-18.437
21,rxn_1424,20.548,34.357,-13.809
23,rxn_1466,4.612,56.253,-51.641
29,rxn_1708,11.989,51.041,-39.052
31,rxn_1814,8.365,55.259,-46.894
34,rxn_2012,10.16,53.058,-42.897
35,rxn_2211,18.609,61.438,-42.828
37,rxn_2310,14.399,57.515,-43.116
38,rxn_2334,10.087,57.681,-47.594
40,rxn_2482,9.308,56.306,-46.998
47,rxn_3225,11.398,48.767,-37.369
49,rxn_3483,18.167,44.251,-26.084
54,rxn_4392,7.804,36.588,-28.784
56,rxn_5245,35.415,36.622,-1.208
58,rxn_5374,34.918,38.425,-3.508
61,rxn_5534,36.66,35.431,1.229
66,rxn_5751,28.177,42.683,-14.507
74,rxn_6105,38.083,48.943,-10.86
81,rxn_6322,58.693,59.499,-0.806
85,rxn_6583,45.042,40.097,4.945
86,rxn_6612,25.283,22.033,3.25
88,rxn_7236,26.758,35.028,-8.27
93,rxn_7911,29.421,76.102,-46.681
