,Name,wb97m-v-DFT-forward,wb97m-v-DFT-reverse,wb97m-v-DFT-reaction
0,rxn_33,11.027,56.985,-45.958
1,rxn_365,27.022,65.834,-38.813
10,rxn_853,22.815,32.356,-9.54
12,rxn_1017,25.536,35.535,-9.999
13,rxn_1024,18.062,31.407,-13.346
15,rxn_1093,22.387,35.024,-12.637
18,rxn_1285,24.92,39.337,-14.417
21,rxn_1424,22.112,34.907,-12.795
23,rxn_1466,6.877,56.663,-49.786
29,rxn_1708,15.886,51.415,-35.529
31,rxn_1814,12.611,53.347,-40.736
34,rxn_2012,14.087,52.371,-38.284
35,rxn_2211,21.998,60.179,-38.181
37,rxn_2310,16.838,57.091,-40.253
38,rxn_2334,12.333,56.653,-44.319
40,rxn_2482,11.613,55.38,-43.767
47,rxn_3225,10.855,48.961,-38.105
49,rxn_3483,17.048,45.127,-28.079
54,rxn_4392,9.185,37.901,-28.715
56,rxn_5245,37.055,40.295,-3.24
58,rxn_5374,36.553,42.305,-5.752
61,rxn_5534,41.016,40.901,0.115
66,rxn_5751,29.78,44.246,-14.466
74,rxn_6105,37.93,49.959,-12.029
81,rxn_6322,65.637,60.642,4.995
85,rxn_6583,47.491,41.28,6.211
86,rxn_6612,28.155,21.751,6.404
88,rxn_7236,28.516,36.043,-7.527
93,rxn_7911,33.215,73.154,-39.938
