,Name,pbe0-DFT-forward,pbe0-DFT-reverse,pbe0-DFT-reaction
0,rxn_33,19.839,52.347,-32.508
1,rxn_365,31.06,61.366,-30.306
4,rxn_632,20.619,52.777,-32.158
11,rxn_853,26.906,28.824,-1.918
13,rxn_1017,33.526,31.551,1.975
14,rxn_1024,17.711,28.395,-10.684
16,rxn_1093,29.84,30.809,-0.969
17,rxn_1181,20.511,30.285,-9.774
20,rxn_1285,25.18,36.831,-11.65
23,rxn_1394,20.371,26.903,-6.533
24,rxn_1424,28.129,30.757,-2.628
25,rxn_1441,32.667,33.288,-0.621
26,rxn_1466,11.784,55.237,-43.453
27,rxn_1479,26.226,59.53,-33.304
33,rxn_1708,17.874,47.122,-29.248
35,rxn_1779,16.341,45.261,-28.92
36,rxn_1814,11.236,51.418,-40.182
39,rxn_2012,14.794,49.189,-34.395
40,rxn_2211,21.839,56.941,-35.102
42,rxn_2310,20.736,52.195,-31.459
43,rxn_2334,18.187,54.781,-36.594
45,rxn_2482,17.476,53.462,-35.985
46,rxn_2530,19.515,54.393,-34.878
50,rxn_2890,15.879,52.173,-36.294
54,rxn_3225,17.867,45.409,-27.542
56,rxn_3483,26.101,40.714,-14.613
57,rxn_3536,23.885,40.494,-16.609
61,rxn_4392,7.773,30.351,-22.578
62,rxn_4581,28.693,41.846,-13.154
64,rxn_5245,33.924,37.42,-3.497
65,rxn_5345,34.702,40.272,-5.57
66,rxn_5374,32.925,39.328,-6.402
69,rxn_5534,35.461,37.303,-1.842
74,rxn_5751,28.248,40.012,-11.764
79,rxn_5956,38.314,56.837,-18.523
83,rxn_6105,37.774,45.077,-7.303
90,rxn_6322,57.485,57.561,-0.075
94,rxn_6583,47.418,37.043,10.375
95,rxn_6612,25.832,18.187,7.646
97,rxn_7236,28.33,32.182,-3.852
102,rxn_7911,31.377,73.051,-41.674
