,Name,rsx-qidh-DFT-forward,rsx-qidh-DFT-reverse,rsx-qidh-DFT-reaction
0,rxn_33,8.767,64.231,-55.464
1,rxn_365,24.292,74.601,-50.309
4,rxn_632,8.986,63.293,-54.307
11,rxn_853,18.005,36.981,-18.976
13,rxn_1017,22.439,40.331,-17.892
14,rxn_1024,12.817,37.035,-24.218
16,rxn_1093,18.458,40.168,-21.71
17,rxn_1181,15.801,38.698,-22.897
20,rxn_1285,20.503,45.576,-25.073
23,rxn_1394,14.215,36.591,-22.377
24,rxn_1424,17.402,40.079,-22.678
25,rxn_1441,23.946,42.763,-18.817
26,rxn_1466,2.686,60.655,-57.969
27,rxn_1479,15.389,68.018,-52.629
33,rxn_1708,11.506,58.841,-47.334
35,rxn_1779,9.68,56.579,-46.899
36,rxn_1814,7.609,62.039,-54.429
39,rxn_2012,9.203,59.97,-50.767
40,rxn_2211,18.028,68.505,-50.477
42,rxn_2310,13.675,64.957,-51.282
43,rxn_2334,8.239,64.202,-55.963
45,rxn_2482,7.27,62.525,-55.255
46,rxn_2530,8.899,64.101,-55.202
50,rxn_2890,8.13,62.713,-54.583
54,rxn_3225,9.142,55.393,-46.251
56,rxn_3483,15.309,50.716,-35.408
57,rxn_3536,15.127,52.545,-37.418
61,rxn_4392,6.327,44.666,-38.339
62,rxn_4581,19.525,57.399,-37.874
64,rxn_5245,40.457,41.268,-0.812
65,rxn_5345,40.661,44.0,-3.339
66,rxn_5374,39.359,42.834,-3.475
69,rxn_5534,39.551,38.179,1.372
74,rxn_5751,32.661,47.6,-14.939
79,rxn_5956,46.407,66.922,-20.515
83,rxn_6105,42.786,54.476,-11.69
90,rxn_6322,61.783,66.099,-4.317
94,rxn_6583,45.293,46.971,-1.678
95,rxn_6612,25.031,26.644,-1.613
97,rxn_7236,26.101,40.875,-14.774
102,rxn_7911,29.475,82.527,-53.053
