,Name,pbe0-dh-DFT-forward,pbe0-dh-DFT-reverse,pbe0-dh-DFT-reaction
0,rxn_33,16.311,56.893,-40.582
1,rxn_216,15.578,47.463,-31.885
2,rxn_365,29.335,66.199,-36.865
5,rxn_632,16.893,56.881,-39.988
9,rxn_721,18.239,61.559,-43.32
10,rxn_769,25.977,30.578,-4.6
14,rxn_853,24.23,32.135,-7.905
16,rxn_971,24.811,42.49,-17.679
17,rxn_1017,30.113,35.191,-5.078
18,rxn_1024,16.556,31.934,-15.378
20,rxn_1093,26.319,34.553,-8.234
21,rxn_1181,19.482,33.772,-14.291
24,rxn_1248,26.73,33.129,-6.4
25,rxn_1285,24.178,40.584,-16.406
28,rxn_1394,18.701,30.916,-12.215
29,rxn_1424,24.891,34.507,-9.616
30,rxn_1441,30.123,37.185,-7.061
31,rxn_1463,13.111,57.795,-44.684
32,rxn_1466,9.334,57.383,-48.049
33,rxn_1479,22.976,62.66,-39.684
37,rxn_1536,12.977,49.258,-36.281
39,rxn_1708,16.085,51.45,-35.366
41,rxn_1779,14.413,49.416,-35.003
42,rxn_1814,10.545,55.399,-44.854
45,rxn_2012,13.476,53.403,-39.927
46,rxn_2211,21.219,61.495,-40.276
48,rxn_2270,12.774,55.648,-42.873
49,rxn_2310,18.554,56.679,-38.125
50,rxn_2334,15.142,58.328,-43.186
52,rxn_2482,14.31,56.837,-42.526
53,rxn_2517,21.22,56.62,-35.4
54,rxn_2530,16.182,57.989,-41.806
56,rxn_2645,13.127,55.517,-42.39
58,rxn_2890,13.608,56.166,-42.558
60,rxn_2972,28.034,49.486,-21.451
63,rxn_3225,15.44,49.583,-34.143
65,rxn_3483,22.859,44.859,-22.0
66,rxn_3536,21.401,45.45,-24.05
70,rxn_4392,8.145,36.0,-27.855
71,rxn_4581,25.592,47.332,-21.739
73,rxn_5129,1.082,40.064,-38.982
74,rxn_5245,36.681,38.797,-2.116
75,rxn_5345,37.287,41.743,-4.455
76,rxn_5374,35.757,40.721,-4.964
79,rxn_5534,37.624,37.782,-0.158
84,rxn_5751,29.909,43.185,-13.276
89,rxn_5956,41.282,60.937,-19.655
93,rxn_6105,39.613,48.78,-9.167
96,rxn_6178,40.895,59.957,-19.062
97,rxn_6180,29.169,38.664,-9.496
101,rxn_6322,59.505,60.688,-1.183
104,rxn_6410,26.923,25.379,1.544
106,rxn_6583,47.041,40.914,6.127
107,rxn_6612,26.082,21.566,4.516
109,rxn_7236,28.22,35.715,-7.494
114,rxn_7911,31.446,76.893,-45.448
