#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                   7.129              64.231             -57.103
rxn_365                 27.316              74.601             -47.285
rxn_500                 13.432              66.823             -53.391
rxn_635                 23.060              64.948             -41.889
rxn_657                 12.533              67.417             -54.885
rxn_795                 19.650              46.370             -26.721
rxn_816                  7.985              34.190             -26.205
rxn_853                 18.005              36.981             -18.976
rxn_1024                12.817              37.035             -24.218
rxn_1083                17.917              38.229             -20.312
rxn_1093                24.378              40.168             -15.790
rxn_1217                16.064              38.556             -22.493
rxn_1424                23.343              40.079             -16.736
rxn_1441                23.946              42.763             -18.817
rxn_1487                 7.287              64.420             -57.133
rxn_1500                 7.242              65.694             -58.451
rxn_1536                 8.336              56.242             -47.906
rxn_1606                11.434              60.058             -48.624
rxn_1708                11.506              58.841             -47.334
rxn_1814                 7.609              62.039             -54.429
rxn_1909                11.398              58.534             -47.137
rxn_2012                 9.203              59.970             -50.767
rxn_2478                 7.747              63.887             -56.140
rxn_2482                 7.270              62.525             -55.255
rxn_2551                 3.781              63.307             -59.526
rxn_3185                17.614              54.273             -36.659
rxn_3480                15.521              52.053             -36.532
rxn_3483                18.303              50.716             -32.413
rxn_3536                18.114              52.545             -34.431
rxn_4392                 6.327              44.666             -38.339
rxn_4701                 1.436              48.615             -47.178
rxn_5245                40.457              41.268              -0.812
rxn_5345                40.661              44.000              -3.339
rxn_5374                39.359              42.834              -3.475
rxn_5534                39.551              38.179               1.372
rxn_5575                37.804              57.701             -19.897
rxn_5894                29.007              43.197             -14.190
rxn_5947                37.747              50.723             -12.976
rxn_5964                34.105              51.727             -17.622
rxn_5974                34.168              55.204             -21.036
rxn_6105                42.786              54.476             -11.690
rxn_6117                31.597              47.625             -16.028
rxn_6137                28.936              59.416             -30.480
rxn_6180                31.465              43.862             -12.397
rxn_6192                40.862              54.986             -14.125
rxn_6371                45.108              71.377             -26.270
rxn_6424                25.606              31.205              -5.599
rxn_6612                28.357              26.644               1.713
rxn_7236                26.101              40.875             -14.774
rxn_7406                66.027              47.779              18.248
rxn_7888                27.398              81.675             -54.277
rxn_7911                31.656              82.527             -50.872
