#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  20.432              62.059             -41.628
rxn_365                 38.173              70.669             -32.495
rxn_500                 25.529              65.161             -39.632
rxn_635                 33.822              61.465             -27.643
rxn_657                 24.644              65.178             -40.534
rxn_795                 29.606              44.051             -14.445
rxn_816                 20.486              31.126             -10.640
rxn_853                 30.218              35.995              -5.776
rxn_1024                23.119              34.946             -11.826
rxn_1083                28.587              36.436              -7.849
rxn_1093                37.725              37.877              -0.151
rxn_1217                26.711              36.597              -9.886
rxn_1424                36.427              37.849              -1.422
rxn_1441                35.609              40.488              -4.879
rxn_1487                17.767              60.803             -43.037
rxn_1500                18.570              62.458             -43.888
rxn_1536                21.031              53.620             -32.589
rxn_1606                23.296              56.793             -33.498
rxn_1708                23.846              55.876             -32.030
rxn_1814                18.013              58.136             -40.123
rxn_1909                23.854              55.753             -31.898
rxn_2012                20.975              56.918             -35.943
rxn_2478                21.279              60.151             -38.872
rxn_2482                20.591              58.971             -38.381
rxn_2551                17.143              59.378             -42.234
rxn_3185                26.158              49.542             -23.384
rxn_3480                24.879              47.431             -22.552
rxn_3483                28.253              46.889             -18.636
rxn_3536                27.226              47.993             -20.767
rxn_4392                12.762              38.440             -25.678
rxn_4701                 9.951              43.201             -33.250
rxn_5245                43.121              45.137              -2.016
rxn_5345                43.963              48.359              -4.396
rxn_5374                41.920              47.172              -5.252
rxn_5534                45.046              44.618               0.428
rxn_5575                37.563              58.330             -20.767
rxn_5894                29.248              43.447             -14.199
rxn_5947                37.605              51.408             -13.802
rxn_5964                35.304              52.294             -16.990
rxn_5974                34.058              55.732             -21.674
rxn_6105                42.429              53.656             -11.226
rxn_6117                32.749              48.457             -15.709
rxn_6137                26.510              57.811             -31.302
rxn_6180                32.742              44.062             -11.320
rxn_6192                41.329              56.167             -14.838
rxn_6371                52.987              70.328             -17.340
rxn_6424                31.793              29.465               2.328
rxn_6612                33.621              23.151              10.470
rxn_7236                32.444              37.929              -5.484
rxn_7406                70.520              40.514              30.006
rxn_7888                35.846              77.338             -41.492
rxn_7911                41.177              79.088             -37.910
