#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  11.436              49.889             -38.453
rxn_365                 30.765              58.633             -27.869
rxn_500                 17.942              52.851             -34.909
rxn_552                 10.181              50.589             -40.408
rxn_635                 26.370              50.781             -24.411
rxn_657                 16.528              53.859             -37.332
rxn_695                 19.689              48.073             -28.384
rxn_789                 21.443              31.612             -10.169
rxn_795                 24.702              36.940             -12.238
rxn_816                 15.176              24.426              -9.251
rxn_853                 24.353              27.301              -2.948
rxn_922                 24.170              24.283              -0.113
rxn_1024                18.239              27.301              -9.062
rxn_1083                23.520              28.792              -5.272
rxn_1093                31.219              29.750               1.469
rxn_1217                21.474              28.961              -7.487
rxn_1228                17.880              26.227              -8.347
rxn_1285                25.443              35.985             -10.542
rxn_1294                17.042              25.977              -8.935
rxn_1344                27.650              42.057             -14.407
rxn_1424                30.382              29.814               0.569
rxn_1441                29.540              32.895              -3.355
rxn_1487                10.924              53.088             -42.165
rxn_1495                 9.785              53.864             -44.080
rxn_1500                11.646              54.592             -42.947
rxn_1536                12.261              42.229             -29.968
rxn_1606                15.490              46.258             -30.768
rxn_1708                14.968              44.323             -29.356
rxn_1733                14.894              42.046             -27.151
rxn_1814                11.824              48.847             -37.024
rxn_1909                14.705              43.866             -29.160
rxn_2002                14.274              52.128             -37.854
rxn_2012                13.508              47.081             -33.573
rxn_2246                 7.590              51.130             -43.540
rxn_2478                12.561              51.483             -38.922
rxn_2482                12.196              50.251             -38.055
rxn_2551                 8.355              50.862             -42.507
rxn_2645                11.696              48.962             -37.266
rxn_2679                13.350              51.348             -37.998
rxn_2934                13.733              57.628             -43.895
rxn_3009                25.090              39.469             -14.379
rxn_3185                21.617              40.910             -19.293
rxn_3480                20.772              39.672             -18.900
rxn_3483                24.336              39.603             -15.266
rxn_3536                23.453              39.901             -16.448
rxn_3769                 1.034              32.830             -31.796
rxn_4074                -0.956              37.385             -38.341
rxn_4224                 3.089              31.321             -28.232
rxn_4392                 9.802              31.276             -21.475
rxn_4701                 5.775              35.172             -29.398
rxn_5245                32.748              33.460              -0.712
rxn_5345                33.749              37.233              -3.485
rxn_5374                32.785              35.619              -2.833
rxn_5383                39.122              36.308               2.814
rxn_5432                31.339              43.600             -12.261
rxn_5534                37.635              35.199               2.436
rxn_5551                35.171              34.078               1.093
rxn_5575                31.008              49.712             -18.704
rxn_5623                26.338              38.801             -12.463
rxn_5737                23.891              51.389             -27.499
rxn_5751                25.760              39.385             -13.625
rxn_5826                28.829              47.387             -18.558
rxn_5865                23.982              34.572             -10.590
rxn_5894                21.320              34.293             -12.973
rxn_5947                29.562              41.551             -11.988
rxn_5964                26.573              42.667             -16.094
rxn_5966                21.033              46.969             -25.937
rxn_5974                26.593              46.250             -19.658
rxn_6105                35.424              45.190              -9.767
rxn_6117                25.206              40.026             -14.820
rxn_6137                21.185              51.643             -30.458
rxn_6180                24.791              35.314             -10.522
rxn_6192                33.306              46.103             -12.797
rxn_6204                20.157              51.836             -31.678
rxn_6313                56.140              52.018               4.122
rxn_6371                46.142              59.417             -13.275
rxn_6377                22.706              51.037             -28.332
rxn_6424                28.859              20.885               7.975
rxn_6612                31.639              18.849              12.790
rxn_7113                51.455              52.933              -1.479
rxn_7236                28.874              30.336              -1.462
rxn_7406                70.282              39.045              31.238
rxn_7501                49.401              53.110              -3.709
rxn_7888                28.357              68.513             -40.156
rxn_7908                33.884              72.972             -39.089
rxn_7911                34.177              70.047             -35.870
rxn_7985                25.013              65.735             -40.722
rxn_8018                13.281              37.295             -24.014
rxn_8302                46.788              74.316             -27.528
rxn_8317                48.526              81.395             -32.868
rxn_8336                24.661              77.180             -52.519
