,Name,bhandhlyp-DFT-forward,bhandhlyp-DFT-reverse,bhandhlyp-DFT-reaction
0,rxn_33,31.585,57.864,-26.28
1,rxn_53,39.94,61.925,-21.985
2,rxn_216,31.698,52.942,-21.244
3,rxn_365,44.525,65.485,-20.96
6,rxn_632,33.201,59.486,-26.285
10,rxn_721,32.012,61.331,-29.319
11,rxn_745,35.965,30.644,5.321
12,rxn_769,40.133,32.096,8.037
16,rxn_853,37.884,33.333,4.551
18,rxn_971,36.231,44.241,-8.01
19,rxn_1000,48.954,37.575,11.379
20,rxn_1017,44.618,36.561,8.056
21,rxn_1024,28.125,32.294,-4.17
23,rxn_1093,41.127,35.198,5.929
24,rxn_1181,31.359,34.375,-3.016
27,rxn_1248,41.369,34.071,7.299
28,rxn_1285,35.387,41.6,-6.212
31,rxn_1394,30.383,32.155,-1.772
32,rxn_1424,39.56,35.236,4.324
33,rxn_1441,43.502,38.358,5.144
34,rxn_1463,29.273,57.205,-27.932
35,rxn_1466,25.703,55.594,-29.89
36,rxn_1479,38.599,57.316,-18.717
37,rxn_1480,33.185,53.013,-19.828
41,rxn_1536,27.245,48.327,-21.082
43,rxn_1708,30.618,50.507,-19.89
45,rxn_1779,28.881,48.566,-19.685
46,rxn_1814,22.272,53.475,-31.202
48,rxn_1919,28.046,45.568,-17.522
50,rxn_2012,27.343,53.395,-26.052
51,rxn_2211,33.75,61.066,-27.315
53,rxn_2270,27.982,54.59,-26.609
54,rxn_2310,32.261,53.131,-20.87
55,rxn_2334,29.582,56.927,-27.346
56,rxn_2468,38.476,53.402,-14.925
58,rxn_2482,28.583,55.247,-26.664
59,rxn_2517,36.087,53.885,-17.798
60,rxn_2530,30.856,56.184,-25.328
62,rxn_2645,26.569,53.97,-27.401
63,rxn_2672,28.031,56.666,-28.636
65,rxn_2720,25.053,54.837,-29.784
66,rxn_2890,27.165,54.545,-27.38
68,rxn_2972,40.174,51.877,-11.704
71,rxn_3225,26.543,53.256,-26.713
73,rxn_3483,35.407,48.623,-13.216
74,rxn_3536,31.563,48.485,-16.921
75,rxn_3759,-5.243,28.334,-33.577
79,rxn_4392,14.727,39.678,-24.952
80,rxn_4581,39.646,45.656,-6.01
81,rxn_4652,8.428,39.831,-31.403
83,rxn_5129,13.482,40.321,-26.839
84,rxn_5245,42.145,43.321,-1.176
85,rxn_5345,42.93,46.575,-3.644
86,rxn_5374,40.908,46.401,-5.493
88,rxn_5432,40.356,54.127,-13.771
89,rxn_5534,47.601,46.58,1.021
92,rxn_5590,37.794,42.254,-4.461
95,rxn_5751,35.415,46.365,-10.95
96,rxn_5756,38.334,53.802,-15.467
98,rxn_5854,37.08,47.293,-10.213
102,rxn_5956,45.148,63.916,-18.767
106,rxn_6105,44.959,50.594,-5.636
109,rxn_6178,45.669,63.184,-17.514
110,rxn_6180,34.619,40.713,-6.094
114,rxn_6322,70.848,63.214,7.634
117,rxn_6410,35.781,29.892,5.889
119,rxn_6583,57.235,43.922,13.313
120,rxn_6612,34.52,22.447,12.073
122,rxn_7236,36.613,38.356,-1.743
127,rxn_7911,43.797,77.349,-33.552
