#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  29.134              57.864             -28.730
rxn_365                 47.911              65.485             -17.574
rxn_500                 33.590              61.727             -28.137
rxn_552                 26.660              60.712             -34.052
rxn_635                 44.146              58.506             -14.360
rxn_657                 33.402              60.734             -27.332
rxn_695                 38.022              56.265             -18.243
rxn_789                 34.911              38.288              -3.377
rxn_795                 36.089              43.180              -7.091
rxn_816                 27.019              27.870              -0.851
rxn_853                 37.884              33.333               4.551
rxn_922                 35.297              26.914               8.383
rxn_1024                28.125              32.294              -4.170
rxn_1083                35.104              34.574               0.530
rxn_1093                46.873              35.198              11.675
rxn_1217                32.581              34.476              -1.895
rxn_1228                31.726              31.449               0.277
rxn_1285                35.387              41.600              -6.212
rxn_1294                28.102              31.634              -3.532
rxn_1344                36.895              47.224             -10.328
rxn_1424                45.009              35.236               9.772
rxn_1441                43.502              38.358               5.144
rxn_1487                28.720              55.641             -26.921
rxn_1495                28.771              57.114             -28.343
rxn_1500                30.969              58.351             -27.382
rxn_1536                27.245              48.327             -21.082
rxn_1606                29.808              52.266             -22.458
rxn_1708                30.618              50.507             -19.890
rxn_1733                29.162              47.610             -18.448
rxn_1814                22.272              53.475             -31.202
rxn_1909                30.478              50.404             -19.926
rxn_2002                26.460              57.517             -31.057
rxn_2012                27.343              53.395             -26.052
rxn_2246                23.215              55.794             -32.579
rxn_2478                29.473              56.729             -27.256
rxn_2482                28.583              55.247             -26.664
rxn_2551                24.936              56.159             -31.223
rxn_2645                26.569              53.970             -27.401
rxn_2679                29.988              56.179             -26.191
rxn_2934                27.563              62.373             -34.811
rxn_3009                38.362              48.016              -9.655
rxn_3185                35.478              50.304             -14.826
rxn_3480                35.359              48.601             -13.242
rxn_3483                40.366              48.623              -8.257
rxn_3536                36.515              48.485             -11.969
rxn_3769                 4.624              37.959             -33.335
rxn_4074                 1.129              42.583             -41.454
rxn_4224                 5.445              35.655             -30.210
rxn_4392                14.727              39.678             -24.952
rxn_4701                17.505              40.405             -22.900
rxn_5245                42.145              43.321              -1.176
rxn_5345                42.930              46.575              -3.644
rxn_5374                40.908              46.401              -5.493
rxn_5383                50.507              45.551               4.956
rxn_5432                40.356              54.127             -13.771
rxn_5534                47.601              46.580               1.021
rxn_5551                45.650              45.130               0.520
rxn_5575                39.308              58.276             -18.968
rxn_5623                35.710              44.948              -9.238
rxn_5737                32.671              57.478             -24.806
rxn_5751                35.415              46.365             -10.950
rxn_5826                34.852              52.971             -18.119
rxn_5865                30.724              40.724             -10.000
rxn_5894                29.358              39.223              -9.864
rxn_5947                38.812              48.637              -9.825
rxn_5964                35.634              49.671             -14.037
rxn_5966                26.406              50.485             -24.079
rxn_5974                34.200              54.123             -19.922
rxn_6105                44.959              50.594              -5.636
rxn_6117                34.131              46.541             -12.410
rxn_6137                26.310              55.932             -29.622
rxn_6180                34.619              40.713              -6.094
rxn_6192                43.690              54.009             -10.319
rxn_6204                26.835              55.791             -28.956
rxn_6313                65.077              59.215               5.862
rxn_6371                56.695              67.326             -10.630
rxn_6377                30.410              55.473             -25.063
rxn_6424                37.326              31.122               6.204
rxn_6612                38.012              22.447              15.565
rxn_7113                60.181              60.468              -0.287
rxn_7236                36.613              38.356              -1.743
rxn_7406                74.050              36.875              37.175
rxn_7501                59.336              60.320              -0.984
rxn_7888                37.120              74.592             -37.472
rxn_7908                44.577              79.929             -35.351
rxn_7911                45.338              77.349             -32.011
rxn_7985                36.166              72.333             -36.168
rxn_8018                22.891              47.874             -24.983
rxn_8302                60.965              80.973             -20.007
rxn_8317                60.829              88.330             -27.501
rxn_8336                34.401              84.198             -49.798
