#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  27.516              34.811              -7.294
rxn_365                 42.218              41.534               0.684
rxn_500                 31.108              40.310              -9.202
rxn_552                 24.576              41.296             -16.720
rxn_635                 41.873              36.145               5.728
rxn_657                 31.198              38.055              -6.857
rxn_695                 36.326              33.748               2.579
rxn_789                 34.608              21.131              13.476
rxn_795                 34.828              24.543              10.285
rxn_816                 30.379              11.661              18.718
rxn_853                 37.818              16.562              21.256
rxn_922                 34.930               8.823              26.107
rxn_1024                26.580              15.602              10.978
rxn_1083                34.493              16.978              17.516
rxn_1093                47.383              17.418              29.966
rxn_1217                31.977              16.838              15.139
rxn_1228                33.419              15.146              18.272
rxn_1285                33.150              23.844               9.306
rxn_1294                27.632              14.585              13.047
rxn_1344                33.555              28.384               5.171
rxn_1424                45.558              17.482              28.076
rxn_1441                43.015              20.276              22.739
rxn_1487                23.623              44.347             -20.724
rxn_1495                25.013              45.733             -20.720
rxn_1500                26.712              45.461             -18.749
rxn_1536                23.257              28.118              -4.862
rxn_1606                26.671              32.706              -6.035
rxn_1708                26.098              29.389              -3.291
rxn_1733                24.533              26.119              -1.586
rxn_1814                18.777              34.696             -15.919
rxn_1909                25.695              29.077              -3.382
rxn_2002                23.156              37.835             -14.679
rxn_2012                23.215              33.131              -9.917
rxn_2246                22.274              39.916             -17.643
rxn_2478                28.944              39.906             -10.962
rxn_2482                27.641              38.315             -10.674
rxn_2551                24.681              39.088             -14.407
rxn_2645                25.011              36.021             -11.010
rxn_2679                28.725              39.270             -10.545
rxn_2934                24.724              44.509             -19.785
rxn_3009                38.002              25.366              12.636
rxn_3185                35.853              24.947              10.906
rxn_3480                36.862              23.970              12.891
rxn_3483                41.933              25.946              15.988
rxn_3536                38.021              23.313              14.708
rxn_3769                11.770              20.385              -8.615
rxn_4074                 1.417              20.816             -19.399
rxn_4224                10.563              18.380              -7.817
rxn_4392                 9.980              10.169              -0.190
rxn_4701                19.053              16.671               2.382
rxn_5245                25.582              29.873              -4.291
rxn_5345                27.007              33.298              -6.291
rxn_5374                25.507              32.330              -6.823
rxn_5383                36.016              32.458               3.558
rxn_5432                24.220              41.276             -17.056
rxn_5534                33.685              35.636              -1.950
rxn_5551                32.410              34.063              -1.653
rxn_5575                24.333              41.086             -16.752
rxn_5623                18.659              24.973              -6.314
rxn_5737                17.432              41.519             -24.087
rxn_5751                20.916              29.454              -8.538
rxn_5826                18.063              34.805             -16.742
rxn_5865                17.466              25.439              -7.973
rxn_5894                14.313              22.465              -8.152
rxn_5947                23.065              29.698              -6.633
rxn_5964                20.452              31.047             -10.596
rxn_5966                10.520              32.607             -22.087
rxn_5974                19.318              36.567             -17.249
rxn_6105                29.122              32.166              -3.044
rxn_6117                20.561              29.379              -8.819
rxn_6137                10.445              38.232             -27.787
rxn_6180                20.652              23.187              -2.535
rxn_6192                27.214              34.299              -7.085
rxn_6204                11.346              38.623             -27.278
rxn_6313                52.625              40.357              12.268
rxn_6371                46.537              48.147              -1.610
rxn_6377                20.496              38.332             -17.836
rxn_6424                33.484               9.294              24.189
rxn_6612                32.465               6.738              25.727
rxn_7113                49.098              41.820               7.277
rxn_7236                31.532              17.832              13.700
rxn_7406                72.037              26.833              45.204
rxn_7501                46.706              43.034               3.672
rxn_7888                25.915              51.396             -25.481
rxn_7908                33.383              56.639             -23.256
rxn_7911                36.543              56.917             -20.374
rxn_7985                29.258              52.037             -22.780
rxn_8018                19.156              23.297              -4.141
rxn_8302                51.518              58.131              -6.613
rxn_8317                52.901              65.663             -12.762
rxn_8336                25.367              62.496             -37.129
