#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  14.106              50.393             -36.287
rxn_365                 30.887              59.914             -29.026
rxn_500                 20.429              53.538             -33.108
rxn_552                 12.507              51.898             -39.391
rxn_635                 26.753              49.619             -22.867
rxn_657                 18.219              53.734             -35.515
rxn_695                 20.966              48.005             -27.039
rxn_789                 22.695              30.695              -8.001
rxn_795                 25.452              35.294              -9.842
rxn_816                 14.840              22.502              -7.662
rxn_853                 26.659              27.105              -0.446
rxn_922                 23.849              21.054               2.794
rxn_1024                19.415              27.451              -8.035
rxn_1083                24.616              27.864              -3.248
rxn_1093                31.829              30.173               1.657
rxn_1217                22.767              28.410              -5.643
rxn_1228                19.855              25.843              -5.988
rxn_1285                26.272              35.388              -9.116
rxn_1294                18.851              25.758              -6.907
rxn_1344                28.230              39.841             -11.611
rxn_1424                30.789              30.001               0.787
rxn_1441                29.742              32.125              -2.383
rxn_1487                13.268              54.982             -41.714
rxn_1495                11.622              55.175             -43.553
rxn_1500                13.383              55.305             -41.922
rxn_1536                15.041              42.405             -27.363
rxn_1606                17.692              47.044             -29.352
rxn_1708                16.832              44.524             -27.691
rxn_1733                16.034              40.329             -24.296
rxn_1814                13.833              48.792             -34.959
rxn_1909                16.848              44.197             -27.349
rxn_2002                17.057              53.856             -36.800
rxn_2012                15.180              46.333             -31.153
rxn_2246                 9.760              53.092             -43.332
rxn_2478                15.319              53.089             -37.771
rxn_2482                15.020              52.461             -37.441
rxn_2551                11.254              52.540             -41.285
rxn_2645                14.429              50.941             -36.513
rxn_2679                15.740              52.884             -37.144
rxn_2934                16.075              58.193             -42.118
rxn_3009                26.999              39.437             -12.438
rxn_3185                24.893              42.113             -17.220
rxn_3480                22.701              40.807             -18.106
rxn_3483                26.167              40.146             -13.979
rxn_3536                25.635              41.257             -15.621
rxn_3769                 2.520              29.192             -26.672
rxn_4074                -0.049              36.022             -36.072
rxn_4224                 4.869              29.260             -24.392
rxn_4392                 9.471              27.647             -18.176
rxn_4701                 4.115              31.657             -27.542
rxn_5245                33.166              35.515              -2.349
rxn_5345                36.052              40.200              -4.149
rxn_5374                33.881              37.290              -3.409
rxn_5383                41.672              39.529               2.143
rxn_5432                33.309              44.955             -11.646
rxn_5534                37.348              36.756               0.592
rxn_5551                35.559              35.549               0.009
rxn_5575                30.088              48.821             -18.733
rxn_5623                27.205              38.743             -11.537
rxn_5737                24.323              49.864             -25.541
rxn_5751                26.970              40.079             -13.108
rxn_5826                30.059              48.334             -18.275
rxn_5865                23.199              31.549              -8.350
rxn_5894                21.551              32.968             -11.418
rxn_5947                29.751              40.667             -10.916
rxn_5964                27.220              43.007             -15.787
rxn_5966                19.517              44.990             -25.472
rxn_5974                26.674              46.142             -19.468
rxn_6105                32.631              44.599             -11.968
rxn_6117                25.902              39.426             -13.524
rxn_6137                18.742              48.117             -29.374
rxn_6180                24.335              35.331             -10.996
rxn_6192                33.054              45.504             -12.450
rxn_6204                19.335              49.237             -29.903
rxn_6313                51.970              54.747              -2.777
rxn_6371                45.790              62.058             -16.268
rxn_6377                22.371              53.805             -31.433
rxn_6424                27.863              24.053               3.810
rxn_6612                28.351              16.097              12.254
rxn_7113                51.923              54.911              -2.988
rxn_7236                28.909              32.170              -3.261
rxn_7406                66.509              33.485              33.025
rxn_7501                50.897              54.557              -3.660
rxn_7888                29.934              67.480             -37.545
rxn_7908                35.516              72.077             -36.561
rxn_7911                34.945              69.519             -34.574
rxn_7985                25.853              64.901             -39.048
rxn_8018                15.942              38.071             -22.129
rxn_8302                48.281              74.112             -25.831
rxn_8317                48.648              81.772             -33.124
rxn_8336                26.454              77.511             -51.057
