#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  11.261              52.259             -40.998
rxn_365                 30.070              62.236             -32.166
rxn_500                 17.843              54.778             -36.935
rxn_552                  9.890              52.015             -42.125
rxn_635                 25.197              52.063             -26.866
rxn_657                 16.008              55.604             -39.596
rxn_695                 18.575              49.633             -31.057
rxn_789                 21.324              31.517             -10.193
rxn_795                 23.957              36.155             -12.198
rxn_816                 13.117              24.659             -11.542
rxn_853                 24.245              27.945              -3.700
rxn_922                 23.639              25.118              -1.479
rxn_1024                17.776              27.595              -9.819
rxn_1083                22.930              28.614              -5.684
rxn_1093                29.699              31.072              -1.374
rxn_1217                21.080              28.999              -7.919
rxn_1228                17.569              27.102              -9.532
rxn_1285                25.053              35.622             -10.569
rxn_1294                16.812              26.357              -9.545
rxn_1344                27.122              41.345             -14.223
rxn_1424                28.879              30.902              -2.023
rxn_1441                28.933              33.808              -4.875
rxn_1487                11.356              53.874             -42.517
rxn_1495                 9.515              54.197             -44.683
rxn_1500                11.031              54.929             -43.899
rxn_1536                13.245              44.331             -31.086
rxn_1606                15.547              47.823             -32.276
rxn_1708                16.104              46.920             -30.816
rxn_1733                16.218              44.568             -28.350
rxn_1814                11.875              49.803             -37.929
rxn_1909                16.094              46.693             -30.599
rxn_2002                15.008              54.190             -39.182
rxn_2012                13.485              47.609             -34.124
rxn_2246                 7.263              51.973             -44.710
rxn_2478                12.347              52.530             -40.183
rxn_2482                12.082              51.602             -39.520
rxn_2551                 8.244              51.990             -43.747
rxn_2645                11.606              50.294             -38.688
rxn_2679                12.993              52.343             -39.350
rxn_2934                14.076              58.022             -43.946
rxn_3009                23.778              42.961             -19.184
rxn_3185                21.941              46.786             -24.844
rxn_3480                19.935              44.661             -24.726
rxn_3483                22.485              42.930             -20.445
rxn_3536                22.632              45.123             -22.491
rxn_3769                -2.052              34.770             -36.821
rxn_4074                -3.329              40.873             -44.202
rxn_4224                 0.528              34.259             -33.730
rxn_4392                 8.369              36.557             -28.188
rxn_4701                 5.538              39.613             -34.075
rxn_5245                35.515              36.817              -1.302
rxn_5345                36.716              41.079              -4.363
rxn_5374                35.061              39.047              -3.986
rxn_5383                41.246              40.415               0.832
rxn_5432                34.233              46.114             -11.881
rxn_5534                40.060              39.854               0.207
rxn_5551                38.102              38.615              -0.513
rxn_5575                34.526              51.678             -17.153
rxn_5623                32.542              43.487             -10.945
rxn_5737                27.440              51.166             -23.726
rxn_5751                30.536              42.332             -11.796
rxn_5826                35.675              51.528             -15.853
rxn_5865                27.514              35.266              -7.752
rxn_5894                27.202              37.816             -10.614
rxn_5947                34.667              45.147             -10.480
rxn_5964                31.820              46.225             -14.405
rxn_5966                25.775              49.564             -23.789
rxn_5974                31.689              49.642             -17.952
rxn_6105                38.828              48.807              -9.980
rxn_6117                29.063              42.067             -13.005
rxn_6137                25.558              52.787             -27.229
rxn_6180                28.919              38.768              -9.849
rxn_6192                37.435              49.592             -12.157
rxn_6204                23.787              51.928             -28.141
rxn_6313                57.894              58.315              -0.420
rxn_6371                46.727              62.378             -15.651
rxn_6377                24.839              54.775             -29.936
rxn_6424                29.424              28.514               0.910
rxn_6612                32.006              21.747              10.259
rxn_7113                55.113              55.790              -0.677
rxn_7236                30.440              35.642              -5.202
rxn_7406                69.677              39.195              30.482
rxn_7501                54.550              55.471              -0.920
rxn_7888                31.951              67.892             -35.941
rxn_7908                36.747              72.320             -35.573
rxn_7911                34.589              69.103             -34.514
rxn_7985                25.583              64.875             -39.292
rxn_8018                15.241              42.199             -26.958
rxn_8302                47.771              74.809             -27.038
rxn_8317                47.477              81.629             -34.152
rxn_8336                26.300              77.358             -51.059
