#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  13.842              42.737             -28.895
rxn_365                 30.610              54.086             -23.476
rxn_500                 20.143              46.611             -26.468
rxn_552                 10.785              45.170             -34.385
rxn_635                 26.799              42.571             -15.771
rxn_657                 17.993              46.804             -28.811
rxn_695                 21.024              41.224             -20.200
rxn_789                 24.804              27.104              -2.299
rxn_795                 27.175              31.545              -4.370
rxn_816                 13.851              16.525              -2.674
rxn_853                 29.050              23.416               5.634
rxn_922                 23.209              15.312               7.897
rxn_1024                19.609              23.033              -3.424
rxn_1083                26.061              23.707               2.354
rxn_1093                31.455              24.944               6.511
rxn_1217                23.570              23.522               0.047
rxn_1228                21.337              23.069              -1.733
rxn_1285                27.524              32.050              -4.526
rxn_1294                20.677              21.769              -1.092
rxn_1344                29.477              36.634              -7.157
rxn_1424                30.838              24.651               6.187
rxn_1441                30.223              27.808               2.416
rxn_1487                11.302              52.832             -41.529
rxn_1495                 9.602              53.049             -43.447
rxn_1500                10.191              52.981             -42.791
rxn_1536                14.125              35.618             -21.493
rxn_1606                16.771              40.260             -23.489
rxn_1708                15.731              37.059             -21.328
rxn_1733                14.728              32.684             -17.955
rxn_1814                13.442              43.845             -30.403
rxn_1909                15.477              36.533             -21.056
rxn_2002                16.255              48.468             -32.213
rxn_2012                14.036              40.095             -26.059
rxn_2246                 8.547              47.143             -38.596
rxn_2478                14.513              46.508             -31.995
rxn_2482                14.680              46.280             -31.600
rxn_2551                10.850              45.893             -35.043
rxn_2645                13.791              43.482             -29.691
rxn_2679                14.999              46.544             -31.545
rxn_2934                15.586              52.304             -36.718
rxn_3009                27.885              31.826              -3.941
rxn_3185                27.127              33.814              -6.687
rxn_3480                25.547              32.874              -7.327
rxn_3483                28.701              32.725              -4.024
rxn_3536                28.848              32.882              -4.034
rxn_3769                 3.425              21.928             -18.503
rxn_4074                -1.544              27.670             -29.214
rxn_4224                 5.700              23.285             -17.585
rxn_4392                 5.533              14.643              -9.110
rxn_4701                 6.636              23.355             -16.719
rxn_5245                26.930              31.755              -4.825
rxn_5345                30.956              37.457              -6.501
rxn_5374                28.643              34.186              -5.544
rxn_5383                38.211              37.865               0.346
rxn_5432                28.404              44.445             -16.041
rxn_5534                35.063              36.101              -1.037
rxn_5551                33.716              35.130              -1.414
rxn_5575                23.818              42.744             -18.925
rxn_5623                19.319              30.360             -11.042
rxn_5737                16.152              43.509             -27.357
rxn_5751                20.269              32.331             -12.062
rxn_5826                23.450              41.522             -18.072
rxn_5865                16.375              24.076              -7.701
rxn_5894                14.287              25.243             -10.956
rxn_5947                23.174              32.441              -9.267
rxn_5964                20.698              35.198             -14.499
rxn_5966                12.234              38.426             -26.191
rxn_5974                20.568              40.195             -19.628
rxn_6105                25.186              37.280             -12.095
rxn_6117                19.280              33.108             -13.827
rxn_6137                10.993              40.638             -29.645
rxn_6180                16.696              27.531             -10.835
rxn_6192                25.648              37.452             -11.804
rxn_6204                11.081              41.618             -30.537
rxn_6313                48.403              51.262              -2.859
rxn_6371                42.541              58.246             -15.705
rxn_6377                20.060              52.102             -32.041
rxn_6424                26.994              15.349              11.645
rxn_6612                27.262              11.769              15.493
rxn_7113                50.614              53.584              -2.970
rxn_7236                29.313              27.788               1.526
rxn_7406                68.837              33.051              35.786
rxn_7501                50.567              51.991              -1.425
rxn_7888                28.060              61.583             -33.523
rxn_7908                32.550              66.203             -33.653
rxn_7911                33.191              65.034             -31.843
rxn_7985                25.178              60.477             -35.299
rxn_8018                16.397              29.618             -13.221
rxn_8302                43.925              66.836             -22.911
rxn_8317                46.144              75.558             -29.414
rxn_8336                22.748              71.200             -48.452
