#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  14.109              56.893             -42.783
rxn_365                 32.413              66.199             -33.786
rxn_500                 19.125              60.607             -41.481
rxn_552                 11.786              59.255             -47.469
rxn_635                 29.422              57.508             -28.086
rxn_657                 18.759              59.888             -41.128
rxn_695                 22.495              55.016             -32.521
rxn_789                 21.795              36.568             -14.773
rxn_795                 24.481              41.395             -16.914
rxn_816                 14.653              28.411             -13.758
rxn_853                 24.230              32.135              -7.905
rxn_922                 24.215              27.976              -3.761
rxn_1024                16.556              31.934             -15.378
rxn_1083                23.022              33.217             -10.195
rxn_1093                31.890              34.553              -2.663
rxn_1217                20.862              33.393             -12.531
rxn_1228                18.347              30.893             -12.545
rxn_1285                24.178              40.584             -16.406
rxn_1294                15.775              30.741             -14.965
rxn_1344                26.601              46.246             -19.645
rxn_1424                30.384              34.507              -4.123
rxn_1441                30.123              37.185              -7.061
rxn_1487                13.842              59.904             -46.062
rxn_1495                13.223              60.945             -47.722
rxn_1500                14.921              61.137             -46.215
rxn_1536                12.977              49.258             -36.281
rxn_1606                16.194              53.549             -37.356
rxn_1708                16.085              51.450             -35.366
rxn_1733                15.374              48.759             -33.385
rxn_1814                10.545              55.399             -44.854
rxn_1909                15.890              51.171             -35.281
rxn_2002                13.751              59.022             -45.271
rxn_2012                13.476              53.403             -39.927
rxn_2246                 9.600              57.600             -48.000
rxn_2478                15.049              58.336             -43.288
rxn_2482                14.310              56.837             -42.526
rxn_2551                11.007              57.671             -46.664
rxn_2645                13.127              55.517             -42.390
rxn_2679                15.530              58.014             -42.485
rxn_2934                15.370              63.520             -48.150
rxn_3009                26.854              44.169             -17.315
rxn_3185                24.856              47.436             -22.580
rxn_3480                23.541              45.348             -21.807
rxn_3483                27.039              44.859             -17.820
rxn_3536                25.573              45.450             -19.877
rxn_3769                -0.533              36.240             -36.772
rxn_4074                -2.518              42.794             -45.312
rxn_4224                 0.879              34.975             -34.096
rxn_4392                 8.145              36.000             -27.855
rxn_4701                 6.988              39.850             -32.862
rxn_5245                36.681              38.797              -2.116
rxn_5345                37.287              41.743              -4.455
rxn_5374                35.757              40.721              -4.964
rxn_5383                43.032              40.214               2.818
rxn_5432                34.361              47.509             -13.148
rxn_5534                37.624              37.782              -0.158
rxn_5551                36.037              36.049              -0.011
rxn_5575                34.457              54.255             -19.797
rxn_5623                30.603              42.504             -11.902
rxn_5737                26.885              52.817             -25.932
rxn_5751                29.909              43.185             -13.276
rxn_5826                32.088              51.102             -19.014
rxn_5865                27.348              37.266              -9.918
rxn_5894                25.170              37.642             -12.472
rxn_5947                34.017              45.547             -11.530
rxn_5964                30.635              46.624             -15.989
rxn_5966                24.114              50.026             -25.912
rxn_5974                30.247              50.918             -20.671
rxn_6105                39.613              48.780              -9.167
rxn_6117                28.992              42.746             -13.753
rxn_6137                23.781              53.890             -30.109
rxn_6180                29.169              38.664              -9.496
rxn_6192                37.656              50.024             -12.367
rxn_6204                23.687              54.199             -30.513
rxn_6313                54.114              57.191              -3.076
rxn_6371                45.215              66.218             -21.004
rxn_6377                20.690              57.627             -36.937
rxn_6424                28.120              26.231               1.889
rxn_6612                28.887              21.566               7.321
rxn_7113                49.576              59.458              -9.882
rxn_7236                28.220              35.715              -7.494
rxn_7406                67.236              42.197              25.040
rxn_7501                46.658              59.600             -12.942
rxn_7888                26.260              74.439             -48.179
rxn_7908                32.787              79.397             -46.611
rxn_7911                33.177              76.893             -43.716
rxn_7985                24.452              72.414             -47.961
rxn_8018                13.563              43.749             -30.186
rxn_8302                46.922              81.088             -34.166
rxn_8317                48.062              88.197             -40.135
rxn_8336                22.940              84.686             -61.746
