#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  17.212              52.347             -35.135
rxn_365                 34.129              61.366             -27.237
rxn_500                 21.455              56.880             -35.425
rxn_552                 14.416              56.524             -42.108
rxn_635                 32.437              53.129             -20.692
rxn_657                 21.433              55.186             -33.753
rxn_695                 25.716              50.690             -24.974
rxn_789                 24.365              33.244              -8.879
rxn_795                 26.176              37.475             -11.299
rxn_816                 17.821              24.659              -6.838
rxn_853                 26.906              28.824              -1.918
rxn_922                 26.257              23.426               2.832
rxn_1024                17.711              28.395             -10.684
rxn_1083                24.940              29.534              -4.595
rxn_1093                35.112              30.809               4.303
rxn_1217                22.685              29.668              -6.983
rxn_1228                21.523              27.454              -5.932
rxn_1285                25.180              36.831             -11.650
rxn_1294                17.572              27.218              -9.646
rxn_1344                27.121              42.013             -14.892
rxn_1424                33.342              30.757               2.586
rxn_1441                32.667              33.288              -0.621
rxn_1487                16.437              57.172             -40.736
rxn_1495                16.446              58.351             -41.905
rxn_1500                18.084              58.252             -40.169
rxn_1536                14.760              45.154             -30.395
rxn_1606                17.980              49.645             -31.665
rxn_1708                17.874              47.122             -29.248
rxn_1733                16.810              44.165             -27.355
rxn_1814                11.236              51.418             -40.182
rxn_1909                17.628              46.867             -29.239
rxn_2002                14.881              54.967             -40.086
rxn_2012                14.794              49.189             -34.395
rxn_2246                12.432              54.444             -42.012
rxn_2478                18.463              55.067             -36.604
rxn_2482                17.476              53.462             -35.985
rxn_2551                14.429              54.296             -39.868
rxn_2645                15.652              51.817             -36.165
rxn_2679                18.655              54.636             -35.981
rxn_2934                17.281              59.739             -42.458
rxn_3009                29.520              40.069             -10.549
rxn_3185                27.913              42.599             -14.686
rxn_3480                27.030              40.563             -13.533
rxn_3483                30.980              40.714              -9.734
rxn_3536                28.758              40.494             -11.736
rxn_3769                 1.864              32.985             -31.122
rxn_4074                -2.133              38.857             -40.990
rxn_4224                 2.365              31.625             -29.259
rxn_4392                 7.773              30.351             -22.578
rxn_4701                10.040              34.648             -24.608
rxn_5245                33.924              37.420              -3.497
rxn_5345                34.702              40.272              -5.570
rxn_5374                32.925              39.328              -6.402
rxn_5383                41.484              38.806               2.678
rxn_5432                31.700              46.404             -14.704
rxn_5534                35.461              37.303              -1.842
rxn_5551                34.318              35.459              -1.141
rxn_5575                32.373              51.563             -19.190
rxn_5623                28.186              38.372             -10.185
rxn_5737                24.805              49.574             -24.769
rxn_5751                28.248              40.012             -11.764
rxn_5826                29.095              47.563             -18.468
rxn_5865                25.530              34.372              -8.842
rxn_5894                23.129              34.089             -10.960
rxn_5947                31.914              41.845              -9.931
rxn_5964                28.622              42.965             -14.343
rxn_5966                21.153              45.915             -24.762
rxn_5974                28.065              47.978             -19.912
rxn_6105                37.774              45.077              -7.303
rxn_6117                27.466              39.308             -11.843
rxn_6137                20.782              49.907             -29.125
rxn_6180                27.858              35.120              -7.262
rxn_6192                35.620              46.370             -10.750
rxn_6204                21.173              50.239             -29.066
rxn_6313                52.142              53.973              -1.831
rxn_6371                44.229              63.038             -18.809
rxn_6377                19.174              54.317             -35.144
rxn_6424                28.513              22.541               5.972
rxn_6612                28.348              18.187              10.161
rxn_7113                47.855              56.258              -8.403
rxn_7236                28.330              32.182              -3.852
rxn_7406                67.653              39.504              28.149
rxn_7501                44.769              56.645             -11.877
rxn_7888                24.705              69.441             -44.735
rxn_7908                31.733              74.586             -42.853
rxn_7911                32.853              73.051             -40.198
rxn_7985                24.626              68.407             -43.781
rxn_8018                14.437              39.245             -24.808
rxn_8302                47.381              76.482             -29.100
rxn_8317                48.111              83.649             -35.538
rxn_8336                22.235              80.538             -58.303
