#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  12.271              70.972             -58.700
rxn_365                 32.229              81.304             -49.075
rxn_500                 17.670              73.824             -56.155
rxn_552                 10.313              71.426             -61.113
rxn_635                 28.392              71.553             -43.161
rxn_657                 17.396              73.523             -56.127
rxn_695                 20.293              68.576             -48.283
rxn_789                 18.949              45.634             -26.684
rxn_795                 22.076              50.575             -28.500
rxn_816                 10.607              38.062             -27.455
rxn_853                 20.895              41.497             -20.602
rxn_922                 22.455              38.950             -16.495
rxn_1024                14.799              41.277             -26.477
rxn_1083                20.359              42.541             -22.182
rxn_1093                28.059              44.654             -16.595
rxn_1217                18.466              42.848             -24.382
rxn_1228                14.610              40.254             -25.645
rxn_1285                22.457              49.715             -27.258
rxn_1294                13.030              40.132             -27.102
rxn_1344                25.361              55.723             -30.362
rxn_1424                26.582              44.525             -17.943
rxn_1441                27.322              47.092             -19.770
rxn_1487                12.052              68.572             -56.520
rxn_1495                10.832              69.475             -58.642
rxn_1500                12.376              70.036             -57.660
rxn_1536                12.494              62.348             -49.854
rxn_1606                15.322              66.058             -50.736
rxn_1708                16.009              65.093             -49.084
rxn_1733                15.761              62.959             -47.198
rxn_1814                10.118              67.324             -57.206
rxn_1909                15.988              64.960             -48.972
rxn_2002                13.068              71.182             -58.114
rxn_2012                12.800              65.673             -52.873
rxn_2246                 7.399              67.583             -60.184
rxn_2478                12.372              69.056             -56.683
rxn_2482                11.604              67.542             -55.938
rxn_2551                 8.398              68.465             -60.067
rxn_2645                11.094              66.739             -55.645
rxn_2679                13.017              68.760             -55.743
rxn_2934                14.095              74.405             -60.310
rxn_3009                23.259              54.418             -31.159
rxn_3185                20.994              60.181             -39.188
rxn_3480                18.881              57.601             -38.720
rxn_3483                21.845              56.068             -34.223
rxn_3536                20.923              58.049             -37.126
rxn_3769                -7.526              43.390             -50.916
rxn_4074                -6.751              52.153             -58.904
rxn_4224                -5.177              42.487             -47.664
rxn_4392                 6.815              50.127             -43.312
rxn_4701                 4.594              53.707             -49.113
rxn_5245                45.917              46.768              -0.851
rxn_5345                45.711              48.950              -3.239
rxn_5374                44.011              48.362              -4.351
rxn_5383                49.712              46.874               2.839
rxn_5432                42.315              53.571             -11.256
rxn_5534                43.191              42.614               0.577
rxn_5551                41.494              40.725               0.769
rxn_5575                42.373              62.605             -20.232
rxn_5623                40.109              53.303             -13.194
rxn_5737                34.463              60.075             -25.612
rxn_5751                37.792              52.154             -14.362
rxn_5826                41.711              60.521             -18.810
rxn_5865                35.067              45.415             -10.348
rxn_5894                33.783              47.328             -13.545
rxn_5947                43.057              55.542             -12.485
rxn_5964                39.211              56.437             -17.226
rxn_5966                33.301              59.570             -26.269
rxn_5974                38.778              60.163             -21.385
rxn_6105                48.003              58.687             -10.684
rxn_6117                36.337              51.733             -15.396
rxn_6137                32.750              62.850             -30.100
rxn_6180                36.667              47.960             -11.294
rxn_6192                46.318              59.860             -13.542
rxn_6204                32.023              63.109             -31.086
rxn_6313                59.111              68.330              -9.219
rxn_6371                48.159              77.371             -29.211
rxn_6377                23.555              68.970             -45.415
rxn_6424                27.048              36.731              -9.683
rxn_6612                29.257              29.664              -0.407
rxn_7113                53.219              70.123             -16.904
rxn_7236                27.459              45.731             -18.273
rxn_7406                66.197              49.918              16.279
rxn_7501                51.161              69.949             -18.788
rxn_7888                29.789              87.040             -57.251
rxn_7908                35.983              92.041             -56.058
rxn_7911                34.488              88.235             -53.747
rxn_7985                25.313              83.899             -58.586
rxn_8018                11.905              55.684             -43.779
rxn_8302                47.871              94.479             -46.608
rxn_8317                48.659             101.055             -52.396
rxn_8336                24.332              97.402             -73.070
