#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  10.989              59.194             -48.205
rxn_365                 31.162              69.081             -37.919
rxn_500                 17.866              62.193             -44.327
rxn_552                 10.110              59.477             -49.367
rxn_635                 26.252              59.933             -33.681
rxn_657                 16.343              62.976             -46.633
rxn_695                 18.591              56.933             -38.342
rxn_789                 20.428              37.731             -17.302
rxn_795                 23.237              42.694             -19.457
rxn_816                 12.357              30.164             -17.807
rxn_853                 23.146              33.762             -10.616
rxn_922                 22.963              30.781              -7.818
rxn_1024                17.269              33.358             -16.089
rxn_1083                21.996              34.787             -12.791
rxn_1093                29.128              36.511              -7.383
rxn_1217                20.136              35.018             -14.882
rxn_1228                16.047              32.498             -16.452
rxn_1285                24.353              41.793             -17.441
rxn_1294                15.645              32.187             -16.543
rxn_1344                26.475              47.862             -21.387
rxn_1424                28.298              36.448              -8.150
rxn_1441                27.910              39.314             -11.404
rxn_1487                10.346              59.209             -48.863
rxn_1495                 8.816              59.825             -51.009
rxn_1500                10.372              60.794             -50.422
rxn_1536                13.018              51.098             -38.080
rxn_1606                15.575              54.508             -38.933
rxn_1708                16.005              53.528             -37.524
rxn_1733                15.996              51.366             -35.370
rxn_1814                11.769              56.560             -44.791
rxn_1909                15.903              53.245             -37.342
rxn_2002                14.291              60.169             -45.878
rxn_2012                13.409              54.967             -41.558
rxn_2246                 6.777              57.897             -51.120
rxn_2478                11.845              58.756             -46.911
rxn_2482                11.454              57.617             -46.163
rxn_2551                 7.727              58.233             -50.507
rxn_2645                11.198              56.571             -45.373
rxn_2679                12.614              58.595             -45.981
rxn_2934                13.266              64.933             -51.667
rxn_3009                22.686              45.698             -23.012
rxn_3185                19.482              49.328             -29.846
rxn_3480                17.929              47.429             -29.500
rxn_3483                21.518              46.708             -25.191
rxn_3536                20.632              47.952             -27.320
rxn_3769                -5.194              36.306             -41.500
rxn_4074                -5.749              42.580             -48.329
rxn_4224                -2.717              35.405             -38.122
rxn_4392                 6.599              39.465             -32.866
rxn_4701                 4.405              43.652             -39.247
rxn_5245                39.171              40.261              -1.091
rxn_5345                39.843              43.335              -3.492
rxn_5374                38.367              42.099              -3.732
rxn_5383                44.391              42.112               2.279
rxn_5432                36.878              49.092             -12.214
rxn_5534                41.684              39.845               1.839
rxn_5551                39.345              38.648               0.697
rxn_5575                36.440              54.795             -18.355
rxn_5623                33.404              45.801             -12.396
rxn_5737                29.245              55.733             -26.488
rxn_5751                31.802              45.027             -13.224
rxn_5826                35.395              53.281             -17.886
rxn_5865                29.405              39.315              -9.910
rxn_5894                27.528              40.188             -12.660
rxn_5947                36.123              47.577             -11.454
rxn_5964                32.965              48.620             -15.655
rxn_5966                26.676              51.943             -25.267
rxn_5974                32.629              52.157             -19.527
rxn_6105                41.173              51.081              -9.908
rxn_6117                30.692              45.761             -15.069
rxn_6137                26.573              56.149             -29.576
rxn_6180                30.234              40.882             -10.648
rxn_6192                39.585              52.354             -12.769
rxn_6204                25.106              56.406             -31.299
rxn_6313                60.098              59.483               0.616
rxn_6371                48.693              67.095             -18.403
rxn_6377                24.736              58.638             -33.901
rxn_6424                28.842              28.022               0.820
rxn_6612                32.129              23.675               8.454
rxn_7113                54.626              60.367              -5.741
rxn_7236                28.615              36.900              -8.285
rxn_7406                70.259              43.463              26.796
rxn_7501                53.773              60.385              -6.612
rxn_7888                31.795              76.338             -44.544
rxn_7908                37.109              80.880             -43.771
rxn_7911                35.799              77.436             -41.638
rxn_7985                26.356              73.050             -46.694
rxn_8018                13.189              45.259             -32.070
rxn_8302                48.695              82.989             -34.295
rxn_8317                49.335              89.852             -40.516
rxn_8336                26.058              85.413             -59.355
