,Name,wb2-plyp18-DFT-forward,wb2-plyp18-DFT-reverse,wb2-plyp18-DFT-reaction
0,rxn_33,7.914,53.001,-45.087
1,rxn_53,16.666,57.654,-40.987
2,rxn_216,8.56,43.52,-34.96
3,rxn_365,23.242,63.416,-40.174
6,rxn_632,8.473,53.306,-44.833
10,rxn_721,13.417,58.166,-44.749
11,rxn_745,18.718,27.23,-8.511
12,rxn_769,20.85,28.966,-8.116
16,rxn_853,20.385,29.791,-9.406
18,rxn_971,20.958,39.906,-18.948
19,rxn_1000,29.208,34.494,-5.286
20,rxn_1017,23.391,32.881,-9.49
21,rxn_1024,14.419,29.363,-14.943
23,rxn_1093,19.826,32.434,-12.608
24,rxn_1181,17.473,31.178,-13.705
27,rxn_1248,20.842,30.634,-9.793
28,rxn_1285,21.567,37.839,-16.272
31,rxn_1394,15.742,28.994,-13.252
32,rxn_1424,19.209,32.34,-13.13
33,rxn_1441,24.416,35.104,-10.689
34,rxn_1463,6.017,54.113,-48.096
35,rxn_1466,3.027,53.496,-50.469
36,rxn_1479,14.226,59.659,-45.433
37,rxn_1480,7.419,52.193,-44.775
41,rxn_1536,9.082,45.773,-36.691
43,rxn_1708,11.84,48.001,-36.16
45,rxn_1779,10.45,46.046,-35.597
46,rxn_1814,8.389,51.804,-43.415
48,rxn_1919,10.88,43.861,-32.98
50,rxn_2012,9.399,49.58,-40.181
51,rxn_2211,18.039,58.182,-40.142
53,rxn_2270,4.74,52.146,-47.407
54,rxn_2310,12.091,54.82,-42.729
55,rxn_2334,8.595,54.809,-46.215
56,rxn_2468,16.083,53.125,-37.042
58,rxn_2482,7.813,53.565,-45.751
59,rxn_2517,13.822,53.851,-40.029
60,rxn_2530,9.318,55.118,-45.8
62,rxn_2645,7.526,52.246,-44.72
63,rxn_2672,6.283,54.494,-48.211
65,rxn_2720,2.476,52.661,-50.185
66,rxn_2890,8.025,53.187,-45.162
68,rxn_2972,19.817,46.022,-26.205
71,rxn_3225,7.96,46.05,-38.089
73,rxn_3483,15.4,41.527,-26.128
74,rxn_3536,14.922,42.628,-27.706
75,rxn_3759,-13.374,25.794,-39.168
79,rxn_4392,3.928,33.52,-29.592
80,rxn_4581,17.66,46.332,-28.672
81,rxn_4652,-9.852,38.985,-48.836
83,rxn_5129,-5.547,38.578,-44.124
84,rxn_5245,33.697,36.129,-2.432
85,rxn_5345,34.834,39.326,-4.492
86,rxn_5374,33.387,37.757,-4.37
88,rxn_5432,31.91,45.356,-13.446
89,rxn_5534,37.161,36.136,1.025
92,rxn_5590,28.966,37.268,-8.302
95,rxn_5751,27.322,40.043,-12.721
96,rxn_5756,30.292,47.266,-16.974
98,rxn_5854,29.607,41.463,-11.856
102,rxn_5956,39.226,58.447,-19.22
106,rxn_6105,36.063,46.193,-10.13
109,rxn_6178,38.275,55.77,-17.495
110,rxn_6180,25.524,36.134,-10.61
114,rxn_6322,61.762,57.148,4.614
117,rxn_6410,25.993,21.913,4.079
119,rxn_6583,45.987,37.054,8.934
120,rxn_6612,25.971,20.412,5.559
122,rxn_7236,26.714,32.601,-5.888
127,rxn_7911,29.934,72.318,-42.384
