#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  10.738              56.985             -46.247
rxn_365                 29.830              65.834             -36.004
rxn_500                 17.348              58.290             -40.942
rxn_552                  9.875              55.225             -45.350
rxn_635                 23.746              56.153             -32.407
rxn_657                 15.238              60.676             -45.438
rxn_695                 17.146              53.652             -36.505
rxn_789                 19.895              35.743             -15.848
rxn_795                 23.204              40.305             -17.101
rxn_816                 11.938              28.675             -16.736
rxn_853                 22.815              32.356              -9.540
rxn_922                 22.884              29.021              -6.138
rxn_1024                18.062              31.407             -13.346
rxn_1083                22.036              32.645             -10.609
rxn_1093                28.246              35.024              -6.779
rxn_1217                20.450              33.134             -12.684
rxn_1228                15.229              30.914             -15.685
rxn_1285                24.920              39.337             -14.417
rxn_1294                16.382              30.265             -13.883
rxn_1344                26.730              44.874             -18.144
rxn_1424                27.801              34.907              -7.106
rxn_1441                27.099              37.576             -10.477
rxn_1487                 9.130              58.863             -49.733
rxn_1495                 7.054              59.370             -52.316
rxn_1500                 8.849              60.409             -51.560
rxn_1536                13.260              48.827             -35.567
rxn_1606                15.533              51.982             -36.449
rxn_1708                15.886              51.415             -35.529
rxn_1733                16.520              49.170             -32.649
rxn_1814                12.611              53.347             -40.736
rxn_1909                16.074              51.296             -35.222
rxn_2002                15.358              57.564             -42.206
rxn_2012                14.087              52.371             -38.284
rxn_2246                 6.969              55.638             -48.668
rxn_2478                11.613              56.437             -44.824
rxn_2482                11.613              55.380             -43.767
rxn_2551                 7.915              56.018             -48.103
rxn_2645                11.831              54.327             -42.496
rxn_2679                12.541              56.297             -43.756
rxn_2934                13.425              62.187             -48.762
rxn_3009                21.749              44.119             -22.370
rxn_3185                19.113              48.259             -29.146
rxn_3480                16.861              46.609             -29.748
rxn_3483                19.305              45.127             -25.822
rxn_3536                19.988              47.012             -27.024
rxn_3769                -3.104              34.036             -37.140
rxn_4074                -3.277              39.594             -42.871
rxn_4224                -0.472              33.279             -33.751
rxn_4392                 9.185              37.901             -28.715
rxn_4701                 2.744              41.928             -39.184
rxn_5245                37.055              40.295              -3.240
rxn_5345                38.516              44.324              -5.808
rxn_5374                36.553              42.305              -5.752
rxn_5383                42.330              42.858              -0.528
rxn_5432                35.088              49.377             -14.290
rxn_5534                41.016              40.901               0.115
rxn_5551                38.585              39.909              -1.324
rxn_5575                33.763              52.646             -18.882
rxn_5623                31.602              45.464             -13.862
rxn_5737                26.767              54.069             -27.302
rxn_5751                29.780              44.246             -14.466
rxn_5826                34.377              52.811             -18.434
rxn_5865                26.622              36.624             -10.002
rxn_5894                25.563              39.120             -13.557
rxn_5947                33.409              46.671             -13.262
rxn_5964                31.064              47.898             -16.835
rxn_5966                24.512              50.454             -25.942
rxn_5974                30.412              50.301             -19.889
rxn_6105                37.930              49.959             -12.029
rxn_6117                27.976              44.240             -16.264
rxn_6137                24.668              54.097             -29.429
rxn_6180                27.764              40.322             -12.558
rxn_6192                36.971              51.430             -14.459
rxn_6204                22.797              53.951             -31.153
rxn_6313                60.554              58.149               2.405
rxn_6371                48.656              63.778             -15.122
rxn_6377                25.513              55.758             -30.245
rxn_6424                29.194              28.106               1.088
rxn_6612                31.957              21.751              10.206
rxn_7113                54.404              59.073              -4.669
rxn_7236                28.516              36.043              -7.527
rxn_7406                67.382              39.870              27.511
rxn_7501                52.865              59.035              -6.170
rxn_7888                31.101              72.867             -41.766
rxn_7908                36.360              77.560             -41.199
rxn_7911                35.620              73.154             -37.533
rxn_7985                25.015              68.736             -43.721
rxn_8018                13.613              44.337             -30.725
rxn_8302                47.696              78.947             -31.250
rxn_8317                48.486              85.041             -36.554
rxn_8336                26.566              80.336             -53.770
