,Name,wb97x-v-DFT-forward,wb97x-v-DFT-reverse,wb97x-v-DFT-reaction
0,rxn_33,12.73,62.076,-49.346
1,rxn_53,21.017,65.597,-44.58
2,rxn_216,13.167,51.348,-38.181
3,rxn_310,13.311,61.955,-48.644
4,rxn_365,28.719,70.737,-42.017
7,rxn_632,13.439,61.466,-48.027
11,rxn_721,18.568,65.84,-47.271
12,rxn_745,22.079,33.558,-11.479
13,rxn_751,7.236,26.568,-19.332
14,rxn_769,25.076,36.008,-10.932
18,rxn_853,23.431,36.114,-12.683
20,rxn_971,24.828,45.393,-20.565
21,rxn_1000,32.051,40.292,-8.241
22,rxn_1017,26.516,39.198,-12.682
23,rxn_1024,18.498,35.273,-16.775
25,rxn_1093,23.705,38.757,-15.053
26,rxn_1181,21.415,36.791,-15.376
29,rxn_1248,24.137,36.943,-12.807
30,rxn_1285,25.29,43.316,-18.026
33,rxn_1394,19.594,35.076,-15.481
34,rxn_1424,23.338,38.661,-15.323
35,rxn_1441,27.96,41.265,-13.304
36,rxn_1463,10.667,61.769,-51.102
37,rxn_1466,7.725,60.93,-53.205
38,rxn_1479,17.508,66.424,-48.916
39,rxn_1480,10.292,59.339,-49.047
41,rxn_1495,8.225,63.625,-55.4
43,rxn_1536,14.67,53.615,-38.945
45,rxn_1708,17.316,56.192,-38.876
47,rxn_1779,16.004,54.021,-38.017
48,rxn_1814,13.617,58.095,-44.478
49,rxn_1886,20.72,60.43,-39.71
51,rxn_1919,17.081,52.22,-35.139
53,rxn_2012,15.363,57.19,-41.827
54,rxn_2211,23.114,64.945,-41.83
56,rxn_2260,11.055,62.113,-51.058
57,rxn_2270,10.354,58.085,-47.731
58,rxn_2310,18.625,60.32,-41.695
59,rxn_2334,14.418,60.721,-46.303
60,rxn_2468,22.682,58.679,-35.998
62,rxn_2482,13.608,59.329,-45.721
63,rxn_2517,19.957,59.321,-39.364
64,rxn_2530,14.809,61.056,-46.247
66,rxn_2645,13.563,58.354,-44.791
67,rxn_2672,11.94,60.197,-48.257
68,rxn_2676,7.803,57.849,-50.046
70,rxn_2720,7.491,58.508,-51.017
71,rxn_2760,9.104,59.457,-50.353
72,rxn_2890,14.185,59.265,-45.08
74,rxn_2972,23.517,52.507,-28.99
77,rxn_3198,4.514,48.428,-43.914
78,rxn_3225,11.833,52.308,-40.475
80,rxn_3483,18.046,48.139,-30.093
81,rxn_3536,18.397,49.736,-31.339
82,rxn_3759,-11.43,28.126,-39.555
86,rxn_4392,9.817,40.819,-31.002
87,rxn_4581,20.491,52.03,-31.539
88,rxn_4652,-6.083,44.792,-50.874
90,rxn_4937,4.673,38.748,-34.075
91,rxn_5129,-2.256,45.436,-47.692
92,rxn_5245,40.439,43.412,-2.973
93,rxn_5345,41.611,47.168,-5.557
94,rxn_5374,39.546,45.265,-5.719
96,rxn_5432,37.934,51.881,-13.948
97,rxn_5506,39.286,44.451,-5.165
98,rxn_5534,42.568,42.087,0.481
101,rxn_5590,33.966,44.263,-10.297
103,rxn_5653,35.072,48.428,-13.356
105,rxn_5751,32.404,47.708,-15.304
106,rxn_5756,35.424,54.559,-19.135
108,rxn_5854,34.175,49.287,-15.111
112,rxn_5956,44.443,65.833,-21.39
116,rxn_6105,40.88,53.42,-12.539
119,rxn_6178,44.053,64.259,-20.207
120,rxn_6180,30.637,43.626,-12.989
124,rxn_6322,66.294,65.382,0.912
127,rxn_6410,27.717,29.35,-1.633
129,rxn_6583,48.172,44.939,3.233
130,rxn_6612,27.76,24.2,3.56
132,rxn_7236,28.906,38.907,-10.001
137,rxn_7911,34.551,78.501,-43.95
143,rxn_8339,24.364,77.471,-53.107
