,Name,b3lyp-DFT-forward,b3lyp-DFT-reverse,b3lyp-DFT-reaction
0,rxn_33,29.718,44.741,-15.022
1,rxn_53,37.308,48.833,-11.524
2,rxn_83,25.949,38.331,-12.382
3,rxn_216,29.915,40.166,-10.251
4,rxn_310,27.297,43.773,-16.476
5,rxn_365,40.159,52.071,-11.911
8,rxn_632,31.174,46.762,-15.588
12,rxn_721,28.497,48.609,-20.111
13,rxn_745,34.601,20.636,13.964
14,rxn_751,18.64,11.11,7.53
15,rxn_769,38.763,21.262,17.501
19,rxn_839,31.047,24.268,6.779
20,rxn_853,36.819,23.553,13.266
22,rxn_942,34.728,37.988,-3.26
23,rxn_971,34.626,33.086,1.54
24,rxn_1000,47.749,27.221,20.528
25,rxn_1011,50.886,25.988,24.898
26,rxn_1017,44.009,26.333,17.675
27,rxn_1024,26.301,22.627,3.675
29,rxn_1093,40.891,24.854,16.038
30,rxn_1181,29.136,24.704,4.432
32,rxn_1225,28.163,20.998,7.164
34,rxn_1248,40.853,23.921,16.931
35,rxn_1285,33.191,31.237,1.954
38,rxn_1394,29.12,21.404,7.715
39,rxn_1424,39.244,24.924,14.319
40,rxn_1441,42.184,27.812,14.373
41,rxn_1463,25.615,49.724,-24.109
42,rxn_1466,21.771,48.852,-27.081
43,rxn_1469,24.044,49.978,-25.934
44,rxn_1479,35.231,50.512,-15.281
45,rxn_1480,30.199,46.663,-16.465
47,rxn_1495,25.822,50.504,-24.682
49,rxn_1536,23.787,36.882,-13.096
50,rxn_1606,26.854,41.252,-14.398
51,rxn_1708,26.828,38.555,-11.727
53,rxn_1779,25.426,36.9,-11.474
54,rxn_1801,17.975,44.814,-26.839
55,rxn_1814,19.231,42.948,-23.717
56,rxn_1886,31.754,43.794,-12.04
58,rxn_1919,23.898,33.37,-9.472
60,rxn_2012,23.797,41.776,-17.979
61,rxn_2211,29.786,48.984,-19.198
63,rxn_2260,26.007,47.016,-21.009
64,rxn_2270,27.157,45.268,-18.111
65,rxn_2310,29.157,43.005,-13.848
66,rxn_2326,35.948,46.213,-10.265
67,rxn_2334,27.427,46.637,-19.21
68,rxn_2468,35.619,43.964,-8.345
69,rxn_2473,20.825,47.013,-26.188
71,rxn_2482,26.909,45.721,-18.812
72,rxn_2517,33.468,44.418,-10.95
73,rxn_2530,28.882,46.161,-17.278
75,rxn_2645,24.57,43.882,-19.313
76,rxn_2672,26.39,47.073,-20.683
77,rxn_2676,17.121,43.207,-26.086
79,rxn_2720,23.844,45.976,-22.133
80,rxn_2759,29.666,47.026,-17.36
81,rxn_2760,24.521,46.739,-22.217
82,rxn_2890,24.443,44.158,-19.715
84,rxn_2972,38.34,38.171,0.169
86,rxn_3030,24.005,36.794,-12.789
88,rxn_3198,16.383,34.588,-18.205
89,rxn_3225,25.182,39.631,-14.449
91,rxn_3483,34.668,35.453,-0.786
92,rxn_3536,30.994,33.929,-2.935
93,rxn_3759,-0.917,20.312,-21.229
95,rxn_3781,2.222,23.005,-20.784
97,rxn_4123,9.572,31.087,-21.515
99,rxn_4392,11.871,23.15,-11.279
100,rxn_4581,37.535,32.98,4.555
101,rxn_4652,7.569,28.281,-20.712
103,rxn_4937,21.766,21.435,0.33
104,rxn_5047,13.205,31.014,-17.809
105,rxn_5129,12.727,27.284,-14.558
106,rxn_5191,43.003,36.293,6.71
107,rxn_5245,32.186,35.228,-3.042
108,rxn_5345,33.363,38.58,-5.217
109,rxn_5374,31.62,37.882,-6.262
111,rxn_5432,30.669,46.244,-15.576
112,rxn_5506,31.383,36.138,-4.755
113,rxn_5534,38.828,39.639,-0.811
116,rxn_5581,30.62,42.537,-11.917
117,rxn_5582,21.525,26.421,-4.896
118,rxn_5590,29.161,32.959,-3.798
119,rxn_5616,27.005,30.424,-3.419
121,rxn_5653,27.862,35.216,-7.354
123,rxn_5748,23.379,43.806,-20.427
124,rxn_5751,26.867,36.45,-9.583
125,rxn_5756,29.479,42.924,-13.445
127,rxn_5854,28.186,36.62,-8.434
131,rxn_5956,35.093,52.54,-17.447
135,rxn_5998,25.928,40.561,-14.632
136,rxn_6105,35.845,40.084,-4.239
139,rxn_6178,34.966,50.924,-15.958
140,rxn_6180,26.528,30.683,-4.155
143,rxn_6261,28.234,38.255,-10.021
145,rxn_6317,55.026,47.586,7.44
146,rxn_6322,62.052,51.817,10.235
149,rxn_6410,33.186,17.371,15.815
151,rxn_6583,52.764,30.734,22.03
152,rxn_6612,31.074,13.54,17.535
154,rxn_7236,33.015,26.526,6.49
157,rxn_7614,33.961,24.031,9.93
160,rxn_7911,38.318,65.756,-27.439
161,rxn_7955,34.513,63.558,-29.045
168,rxn_8339,26.105,62.298,-36.194
169,rxn_8396,31.351,63.375,-32.023
